game,2012,7,20121018,201210180sfo,sea,"Seattle Seahawks",6,sfo,"San Francisco 49ers",13
player,201210180sfo,sea,TateGo00,rec_long,0,,,,,
player,201210180sfo,sea,TateGo00,fumbles,0,,,,,
player,201210180sfo,sea,TateGo00,fumbles_lost,0,,,,,
player,201210180sfo,sfo,SmitAl03,pass_cmp,14,,,,,
player,201210180sfo,sfo,SmitAl03,pass_att,23,,,,,
player,201210180sfo,sfo,SmitAl03,pass_yds,140,,,,,
player,201210180sfo,sfo,SmitAl03,pass_td,1,,,,,
player,201210180sfo,sfo,SmitAl03,pass_int,1,,,,,
player,201210180sfo,sfo,SmitAl03,pass_sacked,2,,,,,
player,201210180sfo,sfo,SmitAl03,pass_sacked_yds,2,,,,,
player,201210180sfo,sfo,SmitAl03,pass_long,18,,,,,
player,201210180sfo,sfo,SmitAl03,pass_rating,74.5,,,,,
player,201210180sfo,sfo,SmitAl03,rush_att,5,,,,,
player,201210180sfo,sfo,SmitAl03,rush_yds,11,,,,,
player,201210180sfo,sfo,SmitAl03,rush_td,0,,,,,
player,201210180sfo,sfo,SmitAl03,rush_long,8,,,,,
player,201210180sfo,sfo,SmitAl03,targets,0,,,,,
player,201210180sfo,sfo,SmitAl03,rec,0,,,,,
player,201210180sfo,sfo,SmitAl03,rec_yds,0,,,,,
player,201210180sfo,sfo,SmitAl03,rec_td,0,,,,,
player,201210180sfo,sfo,SmitAl03,rec_long,0,,,,,
player,201210180sfo,sfo,SmitAl03,fumbles,0,,,,,
player,201210180sfo,sfo,SmitAl03,fumbles_lost,0,,,,,
player,201210180sfo,sfo,GoreFr00,pass_cmp,0,,,,,
player,201210180sfo,sfo,GoreFr00,pass_att,0,,,,,
player,201210180sfo,sfo,GoreFr00,pass_yds,0,,,,,
player,201210180sfo,sfo,GoreFr00,pass_td,0,,,,,
player,201210180sfo,sfo,GoreFr00,pass_int,0,,,,,
player,201210180sfo,sfo,GoreFr00,pass_sacked,0,,,,,
player,201210180sfo,sfo,GoreFr00,pass_sacked_yds,0,,,,,
player,201210180sfo,sfo,GoreFr00,pass_long,0,,,,,
player,201210180sfo,sfo,GoreFr00,pass_rating,,,,,,
player,201210180sfo,sfo,GoreFr00,rush_att,16,,,,,
player,201210180sfo,sfo,GoreFr00,rush_yds,131,,,,,
player,201210180sfo,sfo,GoreFr00,rush_td,0,,,,,
player,201210180sfo,sfo,GoreFr00,rush_long,37,,,,,
player,201210180sfo,sfo,GoreFr00,targets,6,,,,,
player,201210180sfo,sfo,GoreFr00,rec,5,,,,,
player,201210180sfo,sfo,GoreFr00,rec_yds,51,,,,,
player,201210180sfo,sfo,GoreFr00,rec_td,0,,,,,
player,201210180sfo,sfo,GoreFr00,rec_long,15,,,,,
player,201210180sfo,sfo,GoreFr00,fumbles,0,,,,,
player,201210180sfo,sfo,GoreFr00,fumbles_lost,0,,,,,
player,201210180sfo,sfo,HuntKe00,pass_cmp,0,,,,,
player,201210180sfo,sfo,HuntKe00,pass_att,0,,,,,
player,201210180sfo,sfo,HuntKe00,pass_yds,0,,,,,
player,201210180sfo,sfo,HuntKe00,pass_td,0,,,,,
player,201210180sfo,sfo,HuntKe00,pass_int,0,,,,,
player,201210180sfo,sfo,HuntKe00,pass_sacked,0,,,,,
player,201210180sfo,sfo,HuntKe00,pass_sacked_yds,0,,,,,
player,201210180sfo,sfo,HuntKe00,pass_long,0,,,,,
player,201210180sfo,sfo,HuntKe00,pass_rating,,,,,,
player,201210180sfo,sfo,HuntKe00,rush_att,9,,,,,
player,201210180sfo,sfo,HuntKe00,rush_yds,31,,,,,
player,201210180sfo,sfo,HuntKe00,rush_td,0,,,,,
player,201210180sfo,sfo,HuntKe00,rush_long,10,,,,,
player,201210180sfo,sfo,HuntKe00,targets,2,,,,,
player,201210180sfo,sfo,HuntKe00,rec,2,,,,,
player,201210180sfo,sfo,HuntKe00,rec_yds,14,,,,,
player,201210180sfo,sfo,HuntKe00,rec_td,0,,,,,
player,201210180sfo,sfo,HuntKe00,rec_long,11,,,,,
player,201210180sfo,sfo,HuntKe00,fumbles,0,,,,,
player,201210180sfo,sfo,HuntKe00,fumbles_lost,0,,,,,
player,201210180sfo,sfo,WillKy01,pass_cmp,0,,,,,
player,201210180sfo,sfo,WillKy01,pass_att,0,,,,,
