game,2012,12,20121125,201211250tam,atl,"Atlanta Falcons",24,tam,"Tampa Bay Buccaneers",23
player,201211250tam,atl,BierKr99,def_int_td,0,,,,,
player,201211250tam,atl,BierKr99,def_int_long,0,,,,,
player,201211250tam,atl,BierKr99,pass_defended,0,,,,,
player,201211250tam,atl,BierKr99,sacks,1.0,,,,,
player,201211250tam,atl,BierKr99,tackles_combined,2,,,,,
player,201211250tam,atl,BierKr99,tackles_solo,2,,,,,
player,201211250tam,atl,BierKr99,tackles_assists,0,,,,,
player,201211250tam,atl,BierKr99,tackles_loss,1,,,,,
player,201211250tam,atl,BierKr99,qb_hits,2,,,,,
player,201211250tam,atl,BierKr99,fumbles_rec,0,,,,,
player,201211250tam,atl,BierKr99,fumbles_rec_yds,0,,,,,
player,201211250tam,atl,BierKr99,fumbles_rec_td,0,,,,,
player,201211250tam,atl,BierKr99,fumbles_forced,0,,,,,
player,201211250tam,atl,NichSt99,def_int,0,,,,,
player,201211250tam,atl,NichSt99,def_int_yds,0,,,,,
player,201211250tam,atl,NichSt99,def_int_td,0,,,,,
player,201211250tam,atl,NichSt99,def_int_long,0,,,,,
player,201211250tam,atl,NichSt99,pass_defended,0,,,,,
player,201211250tam,atl,NichSt99,sacks,0.0,,,,,
player,201211250tam,atl,NichSt99,tackles_combined,7,,,,,
player,201211250tam,atl,NichSt99,tackles_solo,6,,,,,
player,201211250tam,atl,NichSt99,tackles_assists,1,,,,,
player,201211250tam,atl,NichSt99,tackles_loss,0,,,,,
player,201211250tam,atl,NichSt99,qb_hits,0,,,,,
player,201211250tam,atl,NichSt99,fumbles_rec,0,,,,,
player,201211250tam,atl,NichSt99,fumbles_rec_yds,0,,,,,
player,201211250tam,atl,NichSt99,fumbles_rec_td,0,,,,,
player,201211250tam,atl,NichSt99,fumbles_forced,0,,,,,
player,201211250tam,atl,MoorWi99,def_int,0,,,,,
player,201211250tam,atl,MoorWi99,def_int_yds,0,,,,,
player,201211250tam,atl,MoorWi99,def_int_td,0,,,,,
player,201211250tam,atl,MoorWi99,def_int_long,0,,,,,
player,201211250tam,atl,MoorWi99,pass_defended,0,,,,,
player,201211250tam,atl,MoorWi99,sacks,0.0,,,,,
player,201211250tam,atl,MoorWi99,tackles_combined,6,,,,,
player,201211250tam,atl,MoorWi99,tackles_solo,5,,,,,
player,201211250tam,atl,MoorWi99,tackles_assists,1,,,,,
player,201211250tam,atl,MoorWi99,tackles_loss,0,,,,,
player,201211250tam,atl,MoorWi99,qb_hits,1,,,,,
player,201211250tam,atl,MoorWi99,fumbles_rec,0,,,,,
player,201211250tam,atl,MoorWi99,fumbles_rec_yds,0,,,,,
player,201211250tam,atl,MoorWi99,fumbles_rec_td,0,,,,,
player,201211250tam,atl,MoorWi99,fumbles_forced,0,,,,,
player,201211250tam,atl,WeatSe99,def_int,0,,,,,
player,201211250tam,atl,WeatSe99,def_int_yds,0,,,,,
player,201211250tam,atl,WeatSe99,def_int_td,0,,,,,
player,201211250tam,atl,WeatSe99,def_int_long,0,,,,,
player,201211250tam,atl,WeatSe99,pass_defended,0,,,,,
player,201211250tam,atl,WeatSe99,sacks,0.0,,,,,
player,201211250tam,atl,WeatSe99,tackles_combined,6,,,,,
player,201211250tam,atl,WeatSe99,tackles_solo,6,,,,,
player,201211250tam,atl,WeatSe99,tackles_assists,0,,,,,
player,201211250tam,atl,WeatSe99,tackles_loss,1,,,,,
player,201211250tam,atl,WeatSe99,qb_hits,0,,,,,
