game,2012,15,20121216,201212160ram,min,"Minnesota Vikings",36,ram,"St. Louis Rams",22
player,201212160ram,ram,GibsBr00,rec_yds,76,,,,,
player,201212160ram,ram,GibsBr00,rec_td,0,,,,,
player,201212160ram,ram,GibsBr00,rec_long,18,,,,,
player,201212160ram,ram,GibsBr00,fumbles,0,,,,,
player,201212160ram,ram,GibsBr00,fumbles_lost,0,,,,,
player,201212160ram,ram,AmenDa00,pass_cmp,0,,,,,
player,201212160ram,ram,AmenDa00,pass_att,0,,,,,
player,201212160ram,ram,AmenDa00,pass_yds,0,,,,,
player,201212160ram,ram,AmenDa00,pass_td,0,,,,,
player,201212160ram,ram,AmenDa00,pass_int,0,,,,,
player,201212160ram,ram,AmenDa00,pass_sacked,0,,,,,
player,201212160ram,ram,AmenDa00,pass_sacked_yds,0,,,,,
player,201212160ram,ram,AmenDa00,pass_long,0,,,,,
player,201212160ram,ram,AmenDa00,pass_rating,,,,,,
player,201212160ram,ram,AmenDa00,rush_att,0,,,,,
player,201212160ram,ram,AmenDa00,rush_yds,0,,,,,
player,201212160ram,ram,AmenDa00,rush_td,0,,,,,
player,201212160ram,ram,AmenDa00,rush_long,0,,,,,
player,201212160ram,ram,AmenDa00,targets,12,,,,,
player,201212160ram,ram,AmenDa00,rec,6,,,,,
player,201212160ram,ram,AmenDa00,rec_yds,58,,,,,
player,201212160ram,ram,AmenDa00,rec_td,1,,,,,
player,201212160ram,ram,AmenDa00,rec_long,26,,,,,
player,201212160ram,ram,AmenDa00,fumbles,0,,,,,
player,201212160ram,ram,AmenDa00,fumbles_lost,0,,,,,
player,201212160ram,ram,PettAu00,pass_cmp,0,,,,,
player,201212160ram,ram,PettAu00,pass_att,0,,,,,
player,201212160ram,ram,PettAu00,pass_yds,0,,,,,
player,201212160ram,ram,PettAu00,pass_td,0,,,,,
player,201212160ram,ram,PettAu00,pass_int,0,,,,,
player,201212160ram,ram,PettAu00,pass_sacked,0,,,,,
player,201212160ram,ram,PettAu00,pass_sacked_yds,0,,,,,
player,201212160ram,ram,PettAu00,pass_long,0,,,,,
player,201212160ram,ram,PettAu00,pass_rating,,,,,,
player,201212160ram,ram,PettAu00,rush_att,0,,,,,
player,201212160ram,ram,PettAu00,rush_yds,0,,,,,
player,201212160ram,ram,PettAu00,rush_td,0,,,,,
player,201212160ram,ram,PettAu00,rush_long,0,,,,,
player,201212160ram,ram,PettAu00,targets,6,,,,,
player,201212160ram,ram,PettAu00,rec,5,,,,,
player,201212160ram,ram,PettAu00,rec_yds,55,,,,,
player,201212160ram,ram,PettAu00,rec_td,0,,,,,
player,201212160ram,ram,PettAu00,rec_long,23,,,,,
player,201212160ram,ram,PettAu00,fumbles,0,,,,,
player,201212160ram,ram,PettAu00,fumbles_lost,0,,,,,
player,201212160ram,ram,KendLa00,pass_cmp,0,,,,,
player,201212160ram,ram,KendLa00,pass_att,0,,,,,
player,201212160ram,ram,KendLa00,pass_yds,0,,,,,
player,201212160ram,ram,KendLa00,pass_td,0,,,,,
player,201212160ram,ram,KendLa00,pass_int,0,,,,,
player,201212160ram,ram,KendLa00,pass_sacked,0,,,,,
player,201212160ram,ram,KendLa00,pass_sacked_yds,0,,,,,
player,201212160ram,ram,KendLa00,pass_long,0,,,,,
player,201212160ram,ram,KendLa00,pass_rating,,,,,,
player,201212160ram,ram,KendLa00,rush_att,0,,,,,
player,201212160ram,ram,KendLa00,rush_yds,0,,,,,
player,201212160ram,ram,KendLa00,rush_td,0,,,,,
player,201212160ram,ram,KendLa00,rush_long,0,,,,,
player,201212160ram,ram,KendLa00,targets,5,,,,,
player,201212160ram,ram,KendLa00,rec,3,,,,,
player,201212160ram,ram,KendLa00,rec_yds,35,,,,,
player,201212160ram,ram,KendLa00,rec_td,1,,,,,
player,201212160ram,ram,KendLa00,rec_long,16,,,,,
player,201212160ram,ram,KendLa00,fumbles,0,,,,,
player,201212160ram,ram,KendLa00,fumbles_lost,0,,,,,
player,201212160ram,ram,GiveCh00,pass_cmp,0,,,,,
player,201212160ram,ram,GiveCh00,pass_att,0,,,,,
player,201212160ram,ram,GiveCh00,pass_yds,0,,,,,
player,201212160ram,ram,GiveCh00,pass_td,0,,,,,
