game,2012,4,20120930,201209300phi,nyg,"New York Giants",17,phi,"Philadelphia Eagles",19
player,201209300phi,phi,AvanJa00,pass_yds,0,,,,,
player,201209300phi,phi,AvanJa00,pass_td,0,,,,,
player,201209300phi,phi,AvanJa00,pass_int,0,,,,,
player,201209300phi,phi,AvanJa00,pass_sacked,0,,,,,
player,201209300phi,phi,AvanJa00,pass_sacked_yds,0,,,,,
player,201209300phi,phi,AvanJa00,pass_long,0,,,,,
player,201209300phi,phi,AvanJa00,pass_rating,,,,,,
player,201209300phi,phi,AvanJa00,rush_att,0,,,,,
player,201209300phi,phi,AvanJa00,rush_yds,0,,,,,
player,201209300phi,phi,AvanJa00,rush_td,0,,,,,
player,201209300phi,phi,AvanJa00,rush_long,0,,,,,
player,201209300phi,phi,AvanJa00,targets,2,,,,,
player,201209300phi,phi,AvanJa00,rec,2,,,,,
player,201209300phi,phi,AvanJa00,rec_yds,30,,,,,
player,201209300phi,phi,AvanJa00,rec_td,0,,,,,
player,201209300phi,phi,AvanJa00,rec_long,23,,,,,
player,201209300phi,phi,AvanJa00,fumbles,0,,,,,
player,201209300phi,phi,AvanJa00,fumbles_lost,0,,,,,
player,201209300phi,phi,MaclJe00,pass_cmp,0,,,,,
player,201209300phi,phi,MaclJe00,pass_att,0,,,,,
player,201209300phi,phi,MaclJe00,pass_yds,0,,,,,
player,201209300phi,phi,MaclJe00,pass_td,0,,,,,
player,201209300phi,phi,MaclJe00,pass_int,0,,,,,
player,201209300phi,phi,MaclJe00,pass_sacked,0,,,,,
player,201209300phi,phi,MaclJe00,pass_sacked_yds,0,,,,,
player,201209300phi,phi,MaclJe00,pass_long,0,,,,,
player,201209300phi,phi,MaclJe00,pass_rating,,,,,,
player,201209300phi,phi,MaclJe00,rush_att,0,,,,,
player,201209300phi,phi,MaclJe00,rush_yds,0,,,,,
player,201209300phi,phi,MaclJe00,rush_td,0,,,,,
player,201209300phi,phi,MaclJe00,rush_long,0,,,,,
player,201209300phi,phi,MaclJe00,targets,3,,,,,
player,201209300phi,phi,MaclJe00,rec,1,,,,,
player,201209300phi,phi,MaclJe00,rec_yds,7,,,,,
player,201209300phi,phi,MaclJe00,rec_td,0,,,,,
player,201209300phi,phi,MaclJe00,rec_long,7,,,,,
player,201209300phi,phi,MaclJe00,fumbles,0,,,,,
player,201209300phi,phi,MaclJe00,fumbles_lost,0,,,,,
player,201209300phi,phi,HarbCl00,pass_cmp,0,,,,,
player,201209300phi,phi,HarbCl00,pass_att,0,,,,,
player,201209300phi,phi,HarbCl00,pass_yds,0,,,,,
player,201209300phi,phi,HarbCl00,pass_td,0,,,,,
player,201209300phi,phi,HarbCl00,pass_int,0,,,,,
player,201209300phi,phi,HarbCl00,pass_sacked,0,,,,,
player,201209300phi,phi,HarbCl00,pass_sacked_yds,0,,,,,
player,201209300phi,phi,HarbCl00,pass_long,0,,,,,
player,201209300phi,phi,HarbCl00,pass_rating,,,,,,
player,201209300phi,phi,HarbCl00,rush_att,0,,,,,
player,201209300phi,phi,HarbCl00,rush_yds,0,,,,,
player,201209300phi,phi,HarbCl00,rush_td,0,,,,,
player,201209300phi,phi,HarbCl00,rush_long,0,,,,,
player,201209300phi,phi,HarbCl00,targets,1,,,,,
player,201209300phi,phi,HarbCl00,rec,1,,,,,
player,201209300phi,phi,HarbCl00,rec_yds,7,,,,,
player,201209300phi,phi,HarbCl00,rec_td,0,,,,,
player,201209300phi,phi,HarbCl00,rec_long,7,,,,,
player,201209300phi,phi,HarbCl00,fumbles,0,,,,,
player,201209300phi,phi,HarbCl00,fumbles_lost,0,,,,,
player,201209300phi,phi,JohnDa04,pass_cmp,0,,,,,
player,201209300phi,phi,JohnDa04,pass_att,0,,,,,
player,201209300phi,phi,JohnDa04,pass_yds,0,,,,,
player,201209300phi,phi,JohnDa04,pass_td,0,,,,,
player,201209300phi,phi,JohnDa04,pass_int,0,,,,,
player,201209300phi,phi,JohnDa04,pass_sacked,0,,,,,
player,201209300phi,phi,JohnDa04,pass_sacked_yds,0,,,,,
player,201209300phi,phi,JohnDa04,pass_long,0,,,,,
player,201209300phi,phi,JohnDa04,pass_rating,,,,,,
player,201209300phi,phi,JohnDa04,rush_att,1,,,,,
player,201209300phi,phi,JohnDa04,rush_yds,-1,,,,,
player,201209300phi,phi,JohnDa04,rush_td,0,,,,,
player,201209300phi,phi,JohnDa04,rush_long,-1,,,,,
player,201209300phi,phi,JohnDa04,targets,1,,,,,
player,201209300phi,phi,JohnDa04,rec,1,,,,,
player,201209300phi,phi,JohnDa04,rec_yds,17,,,,,
player,201209300phi,phi,JohnDa04,rec_td,0,,,,,
player,201209300phi,phi,JohnDa04,rec_long,17,,,,,
player,201209300phi,phi,JohnDa04,fumbles,0,,,,,
player,201209300phi,phi,JohnDa04,fumbles_lost,0,,,,,
player,201209300phi,nyg,BlacCh21,def_int,0,,,,,
player,201209300phi,nyg,BlacCh21,def_int_yds,0,,,,,
player,201209300phi,nyg,BlacCh21,def_int_td,0,,,,,
player,201209300phi,nyg,BlacCh21,def_int_long,0,,,,,
