game,2012,16,20121223,201212230phi,was,"Washington Redskins",27,phi,"Philadelphia Eagles",20
player,201212230phi,phi,FoleNi00,rush_td,0,,,,,
player,201212230phi,phi,FoleNi00,rush_long,5,,,,,
player,201212230phi,phi,FoleNi00,targets,0,,,,,
player,201212230phi,phi,FoleNi00,rec,0,,,,,
player,201212230phi,phi,FoleNi00,rec_yds,0,,,,,
player,201212230phi,phi,FoleNi00,rec_td,0,,,,,
player,201212230phi,phi,FoleNi00,rec_long,0,,,,,
player,201212230phi,phi,FoleNi00,fumbles,1,,,,,
player,201212230phi,phi,FoleNi00,fumbles_lost,1,,,,,
player,201212230phi,phi,McCoLe01,pass_cmp,0,,,,,
player,201212230phi,phi,McCoLe01,pass_att,0,,,,,
player,201212230phi,phi,McCoLe01,pass_yds,0,,,,,
player,201212230phi,phi,McCoLe01,pass_td,0,,,,,
player,201212230phi,phi,McCoLe01,pass_int,0,,,,,
player,201212230phi,phi,McCoLe01,pass_sacked,0,,,,,
player,201212230phi,phi,McCoLe01,pass_sacked_yds,0,,,,,
player,201212230phi,phi,McCoLe01,pass_long,0,,,,,
player,201212230phi,phi,McCoLe01,pass_rating,,,,,,
player,201212230phi,phi,McCoLe01,rush_att,13,,,,,
player,201212230phi,phi,McCoLe01,rush_yds,45,,,,,
player,201212230phi,phi,McCoLe01,rush_td,0,,,,,
player,201212230phi,phi,McCoLe01,rush_long,8,,,,,
player,201212230phi,phi,McCoLe01,targets,11,,,,,
player,201212230phi,phi,McCoLe01,rec,9,,,,,
player,201212230phi,phi,McCoLe01,rec_yds,77,,,,,
player,201212230phi,phi,McCoLe01,rec_td,0,,,,,
player,201212230phi,phi,McCoLe01,rec_long,21,,,,,
player,201212230phi,phi,McCoLe01,fumbles,0,,,,,
player,201212230phi,phi,McCoLe01,fumbles_lost,0,,,,,
player,201212230phi,phi,BrowBr02,pass_cmp,0,,,,,
player,201212230phi,phi,BrowBr02,pass_att,0,,,,,
player,201212230phi,phi,BrowBr02,pass_yds,0,,,,,
player,201212230phi,phi,BrowBr02,pass_td,0,,,,,
player,201212230phi,phi,BrowBr02,pass_int,0,,,,,
player,201212230phi,phi,BrowBr02,pass_sacked,0,,,,,
player,201212230phi,phi,BrowBr02,pass_sacked_yds,0,,,,,
player,201212230phi,phi,BrowBr02,pass_long,0,,,,,
player,201212230phi,phi,BrowBr02,pass_rating,,,,,,
player,201212230phi,phi,BrowBr02,rush_att,4,,,,,
player,201212230phi,phi,BrowBr02,rush_yds,18,,,,,
player,201212230phi,phi,BrowBr02,rush_td,0,,,,,
player,201212230phi,phi,BrowBr02,rush_long,9,,,,,
player,201212230phi,phi,BrowBr02,targets,0,,,,,
player,201212230phi,phi,BrowBr02,rec,0,,,,,
player,201212230phi,phi,BrowBr02,rec_yds,0,,,,,
player,201212230phi,phi,BrowBr02,rec_td,0,,,,,
player,201212230phi,phi,BrowBr02,rec_long,0,,,,,
player,201212230phi,phi,BrowBr02,fumbles,0,,,,,
player,201212230phi,phi,BrowBr02,fumbles_lost,0,,,,,
player,201212230phi,phi,LewiDi00,pass_cmp,0,,,,,
player,201212230phi,phi,LewiDi00,pass_att,0,,,,,
player,201212230phi,phi,LewiDi00,pass_yds,0,,,,,
player,201212230phi,phi,LewiDi00,pass_td,0,,,,,
player,201212230phi,phi,LewiDi00,pass_int,0,,,,,
player,201212230phi,phi,LewiDi00,pass_sacked,0,,,,,
player,201212230phi,phi,LewiDi00,pass_sacked_yds,0,,,,,
player,201212230phi,phi,LewiDi00,pass_long,0,,,,,
player,201212230phi,phi,LewiDi00,pass_rating,,,,,,
player,201212230phi,phi,LewiDi00,rush_att,1,,,,,
player,201212230phi,phi,LewiDi00,rush_yds,17,,,,,
player,201212230phi,phi,LewiDi00,rush_td,1,,,,,
player,201212230phi,phi,LewiDi00,rush_long,17,,,,,
player,201212230phi,phi,LewiDi00,targets,0,,,,,
player,201212230phi,phi,LewiDi00,rec,0,,,,,
player,201212230phi,phi,LewiDi00,rec_yds,0,,,,,
player,201212230phi,phi,LewiDi00,rec_td,0,,,,,
player,201212230phi,phi,LewiDi00,rec_long,0,,,,,
player,201212230phi,phi,LewiDi00,fumbles,0,,,,,
player,201212230phi,phi,LewiDi00,fumbles_lost,0,,,,,
player,201212230phi,phi,MaclJe00,pass_cmp,0,,,,,
player,201212230phi,phi,MaclJe00,pass_att,0,,,,,
player,201212230phi,phi,MaclJe00,pass_yds,0,,,,,
player,201212230phi,phi,MaclJe00,pass_td,0,,,,,
player,201212230phi,phi,MaclJe00,pass_int,0,,,,,
player,201212230phi,phi,MaclJe00,pass_sacked,0,,,,,
player,201212230phi,phi,MaclJe00,pass_sacked_yds,0,,,,,
player,201212230phi,phi,MaclJe00,pass_long,0,,,,,
player,201212230phi,phi,MaclJe00,pass_rating,,,,,,
player,201212230phi,phi,MaclJe00,rush_att,0,,,,,
player,201212230phi,phi,MaclJe00,rush_yds,0,,,,,
player,201212230phi,phi,MaclJe00,rush_td,0,,,,,
player,201212230phi,phi,MaclJe00,rush_long,0,,,,,
player,201212230phi,phi,MaclJe00,targets,14,,,,,
player,201212230phi,phi,MaclJe00,rec,8,,,,,
player,201212230phi,phi,MaclJe00,rec_yds,116,,,,,
player,201212230phi,phi,MaclJe00,rec_td,1,,,,,
player,201212230phi,phi,MaclJe00,rec_long,38,,,,,
player,201212230phi,phi,MaclJe00,fumbles,0,,,,,
player,201212230phi,phi,MaclJe00,fumbles_lost,0,,,,,
player,201212230phi,phi,AvanJa00,pass_cmp,0,,,,,
player,201212230phi,phi,AvanJa00,pass_att,0,,,,,
player,201212230phi,phi,AvanJa00,pass_yds,0,,,,,
player,201212230phi,phi,AvanJa00,pass_td,0,,,,,
player,201212230phi,phi,AvanJa00,pass_int,0,,,,,
player,201212230phi,phi,AvanJa00,pass_sacked,0,,,,,
player,201212230phi,phi,AvanJa00,pass_sacked_yds,0,,,,,
player,201212230phi,phi,AvanJa00,pass_long,0,,,,,
player,201212230phi,phi,AvanJa00,pass_rating,,,,,,
player,201212230phi,phi,AvanJa00,rush_att,0,,,,,
player,201212230phi,phi,AvanJa00,rush_yds,0,,,,,
player,201212230phi,phi,AvanJa00,rush_td,0,,,,,
player,201212230phi,phi,AvanJa00,rush_long,0,,,,,
player,201212230phi,phi,AvanJa00,targets,12,,,,,
player,201212230phi,phi,AvanJa00,rec,8,,,,,
player,201212230phi,phi,AvanJa00,rec_yds,70,,,,,
player,201212230phi,phi,AvanJa00,rec_td,0,,,,,
player,201212230phi,phi,AvanJa00,rec_long,16,,,,,
player,201212230phi,phi,AvanJa00,fumbles,0,,,,,
player,201212230phi,phi,AvanJa00,fumbles_lost,0,,,,,
player,201212230phi,phi,CeleBr00,pass_cmp,0,,,,,
player,201212230phi,phi,CeleBr00,pass_att,0,,,,,
player,201212230phi,phi,CeleBr00,pass_yds,0,,,,,
player,201212230phi,phi,CeleBr00,pass_td,0,,,,,
player,201212230phi,phi,CeleBr00,pass_int,0,,,,,
player,201212230phi,phi,CeleBr00,pass_sacked,0,,,,,
player,201212230phi,phi,CeleBr00,pass_sacked_yds,0,,,,,
player,201212230phi,phi,CeleBr00,pass_long,0,,,,,
player,201212230phi,phi,CeleBr00,pass_rating,,,,,,
player,201212230phi,phi,CeleBr00,rush_att,0,,,,,
player,201212230phi,phi,CeleBr00,rush_yds,0,,,,,
player,201212230phi,phi,CeleBr00,rush_td,0,,,,,
player,201212230phi,phi,CeleBr00,rush_long,0,,,,,
player,201212230phi,phi,CeleBr00,targets,3,,,,,
player,201212230phi,phi,CeleBr00,rec,3,,,,,
player,201212230phi,phi,CeleBr00,rec_yds,39,,,,,
player,201212230phi,phi,CeleBr00,rec_td,0,,,,,
player,201212230phi,phi,CeleBr00,rec_long,17,,,,,
player,201212230phi,phi,CeleBr00,fumbles,0,,,,,
player,201212230phi,phi,CeleBr00,fumbles_lost,0,,,,,
player,201212230phi,phi,JohnDa04,pass_cmp,0,,,,,
player,201212230phi,phi,JohnDa04,pass_att,0,,,,,
player,201212230phi,phi,JohnDa04,pass_yds,0,,,,,
player,201212230phi,phi,JohnDa04,pass_td,0,,,,,
player,201212230phi,phi,JohnDa04,pass_int,0,,,,,
player,201212230phi,phi,JohnDa04,pass_sacked,0,,,,,
player,201212230phi,phi,JohnDa04,pass_sacked_yds,0,,,,,
player,201212230phi,phi,JohnDa04,pass_long,0,,,,,
player,201212230phi,phi,JohnDa04,pass_rating,,,,,,
player,201212230phi,phi,JohnDa04,rush_att,0,,,,,
player,201212230phi,phi,JohnDa04,rush_yds,0,,,,,
player,201212230phi,phi,JohnDa04,rush_td,0,,,,,
player,201212230phi,phi,JohnDa04,rush_long,0,,,,,
player,201212230phi,phi,JohnDa04,targets,3,,,,,
player,201212230phi,phi,JohnDa04,rec,3,,,,,
player,201212230phi,phi,JohnDa04,rec_yds,25,,,,,
player,201212230phi,phi,JohnDa04,rec_td,0,,,,,
player,201212230phi,phi,JohnDa04,rec_long,12,,,,,
player,201212230phi,phi,JohnDa04,fumbles,0,,,,,
player,201212230phi,phi,JohnDa04,fumbles_lost,0,,,,,
player,201212230phi,phi,CoopRi00,pass_cmp,0,,,,,
player,201212230phi,phi,CoopRi00,pass_att,0,,,,,
player,201212230phi,phi,CoopRi00,pass_yds,0,,,,,
player,201212230phi,phi,CoopRi00,pass_td,0,,,,,
player,201212230phi,phi,CoopRi00,pass_int,0,,,,,
player,201212230phi,phi,CoopRi00,pass_sacked,0,,,,,
player,201212230phi,phi,CoopRi00,pass_sacked_yds,0,,,,,
player,201212230phi,phi,CoopRi00,pass_long,0,,,,,
player,201212230phi,phi,CoopRi00,pass_rating,,,,,,
player,201212230phi,phi,CoopRi00,rush_att,0,,,,,
player,201212230phi,phi,CoopRi00,rush_yds,0,,,,,
player,201212230phi,phi,CoopRi00,rush_td,0,,,,,
player,201212230phi,phi,CoopRi00,rush_long,0,,,,,
player,201212230phi,phi,CoopRi00,targets,2,,,,,
player,201212230phi,phi,CoopRi00,rec,1,,,,,
player,201212230phi,phi,CoopRi00,rec_yds,18,,,,,
