game,2012,4,20120930,201209300atl,car,"Carolina Panthers",28,atl,"Atlanta Falcons",30
player,201209300atl,atl,JoneJu02,pass_sacked_yds,0,,,,,
player,201209300atl,atl,JoneJu02,pass_long,0,,,,,
player,201209300atl,atl,JoneJu02,pass_rating,,,,,,
player,201209300atl,atl,JoneJu02,rush_att,0,,,,,
player,201209300atl,atl,JoneJu02,rush_yds,0,,,,,
player,201209300atl,atl,JoneJu02,rush_td,0,,,,,
player,201209300atl,atl,JoneJu02,rush_long,0,,,,,
player,201209300atl,atl,JoneJu02,targets,8,,,,,
player,201209300atl,atl,JoneJu02,rec,1,,,,,
player,201209300atl,atl,JoneJu02,rec_yds,30,,,,,
player,201209300atl,atl,JoneJu02,rec_td,0,,,,,
player,201209300atl,atl,JoneJu02,rec_long,30,,,,,
player,201209300atl,atl,JoneJu02,fumbles,0,,,,,
player,201209300atl,atl,JoneJu02,fumbles_lost,0,,,,,
player,201209300atl,atl,DougHa00,pass_cmp,0,,,,,
player,201209300atl,atl,DougHa00,pass_att,0,,,,,
player,201209300atl,atl,DougHa00,pass_yds,0,,,,,
player,201209300atl,atl,DougHa00,pass_td,0,,,,,
player,201209300atl,atl,DougHa00,pass_int,0,,,,,
player,201209300atl,atl,DougHa00,pass_sacked,0,,,,,
player,201209300atl,atl,DougHa00,pass_sacked_yds,0,,,,,
player,201209300atl,atl,DougHa00,pass_long,0,,,,,
player,201209300atl,atl,DougHa00,pass_rating,,,,,,
player,201209300atl,atl,DougHa00,rush_att,0,,,,,
player,201209300atl,atl,DougHa00,rush_yds,0,,,,,
player,201209300atl,atl,DougHa00,rush_td,0,,,,,
player,201209300atl,atl,DougHa00,rush_long,0,,,,,
player,201209300atl,atl,DougHa00,targets,2,,,,,
player,201209300atl,atl,DougHa00,rec,1,,,,,
player,201209300atl,atl,DougHa00,rec_yds,6,,,,,
player,201209300atl,atl,DougHa00,rec_td,0,,,,,
player,201209300atl,atl,DougHa00,rec_long,6,,,,,
player,201209300atl,atl,DougHa00,fumbles,0,,,,,
player,201209300atl,atl,DougHa00,fumbles_lost,0,,,,,
player,201209300atl,atl,SnelJa00,pass_cmp,0,,,,,
player,201209300atl,atl,SnelJa00,pass_att,0,,,,,
player,201209300atl,atl,SnelJa00,pass_yds,0,,,,,
player,201209300atl,atl,SnelJa00,pass_td,0,,,,,
player,201209300atl,atl,SnelJa00,pass_int,0,,,,,
player,201209300atl,atl,SnelJa00,pass_sacked,0,,,,,
player,201209300atl,atl,SnelJa00,pass_sacked_yds,0,,,,,
player,201209300atl,atl,SnelJa00,pass_long,0,,,,,
player,201209300atl,atl,SnelJa00,pass_rating,,,,,,
player,201209300atl,atl,SnelJa00,rush_att,0,,,,,
player,201209300atl,atl,SnelJa00,rush_yds,0,,,,,
