game,2012,5,20121007,201210070clt,gnb,"Green Bay Packers",27,clt,"Indianapolis Colts",30
player,201210070clt,clt,AlleDw00,rec_long,11,,,,,
player,201210070clt,clt,AlleDw00,fumbles,0,,,,,
player,201210070clt,clt,AlleDw00,fumbles_lost,0,,,,,
player,201210070clt,clt,HiltT.00,pass_cmp,0,,,,,
player,201210070clt,clt,HiltT.00,pass_att,0,,,,,
player,201210070clt,clt,HiltT.00,pass_yds,0,,,,,
player,201210070clt,clt,HiltT.00,pass_td,0,,,,,
player,201210070clt,clt,HiltT.00,pass_int,0,,,,,
player,201210070clt,clt,HiltT.00,pass_sacked,0,,,,,
player,201210070clt,clt,HiltT.00,pass_sacked_yds,0,,,,,
player,201210070clt,clt,HiltT.00,pass_long,0,,,,,
player,201210070clt,clt,HiltT.00,pass_rating,,,,,,
player,201210070clt,clt,HiltT.00,rush_att,1,,,,,
player,201210070clt,clt,HiltT.00,rush_yds,0,,,,,
player,201210070clt,clt,HiltT.00,rush_td,0,,,,,
player,201210070clt,clt,HiltT.00,rush_long,0,,,,,
player,201210070clt,clt,HiltT.00,targets,9,,,,,
player,201210070clt,clt,HiltT.00,rec,3,,,,,
player,201210070clt,clt,HiltT.00,rec_yds,37,,,,,
player,201210070clt,clt,HiltT.00,rec_td,0,,,,,
player,201210070clt,clt,HiltT.00,rec_long,26,,,,,
player,201210070clt,clt,HiltT.00,fumbles,0,,,,,
player,201210070clt,clt,HiltT.00,fumbles_lost,0,,,,,
player,201210070clt,clt,AverDo00,pass_cmp,0,,,,,
player,201210070clt,clt,AverDo00,pass_att,0,,,,,
player,201210070clt,clt,AverDo00,pass_yds,0,,,,,
player,201210070clt,clt,AverDo00,pass_td,0,,,,,
player,201210070clt,clt,AverDo00,pass_int,0,,,,,
player,201210070clt,clt,AverDo00,pass_sacked,0,,,,,
player,201210070clt,clt,AverDo00,pass_sacked_yds,0,,,,,
player,201210070clt,clt,AverDo00,pass_long,0,,,,,
player,201210070clt,clt,AverDo00,pass_rating,,,,,,
player,201210070clt,clt,AverDo00,rush_att,0,,,,,
player,201210070clt,clt,AverDo00,rush_yds,0,,,,,
player,201210070clt,clt,AverDo00,rush_td,0,,,,,
player,201210070clt,clt,AverDo00,rush_long,0,,,,,
player,201210070clt,clt,AverDo00,targets,8,,,,,
player,201210070clt,clt,AverDo00,rec,3,,,,,
player,201210070clt,clt,AverDo00,rec_yds,22,,,,,
player,201210070clt,clt,AverDo00,rec_td,0,,,,,
player,201210070clt,clt,AverDo00,rec_long,10,,,,,
player,201210070clt,clt,AverDo00,fumbles,0,,,,,
player,201210070clt,clt,AverDo00,fumbles_lost,0,,,,,
