game,2012,14,20121209,201212090car,atl,"Atlanta Falcons",20,car,"Carolina Panthers",30
player,201212090car,car,WillDe02,rec,2,,,,,
player,201212090car,car,WillDe02,rec_yds,56,,,,,
player,201212090car,car,WillDe02,rec_td,1,,,,,
player,201212090car,car,WillDe02,rec_long,53,,,,,
player,201212090car,car,WillDe02,fumbles,0,,,,,
player,201212090car,car,WillDe02,fumbles_lost,0,,,,,
player,201212090car,car,TolbMi00,pass_cmp,0,,,,,
player,201212090car,car,TolbMi00,pass_att,0,,,,,
player,201212090car,car,TolbMi00,pass_yds,0,,,,,
player,201212090car,car,TolbMi00,pass_td,0,,,,,
player,201212090car,car,TolbMi00,pass_int,0,,,,,
player,201212090car,car,TolbMi00,pass_sacked,0,,,,,
player,201212090car,car,TolbMi00,pass_sacked_yds,0,,,,,
player,201212090car,car,TolbMi00,pass_long,0,,,,,
player,201212090car,car,TolbMi00,pass_rating,,,,,,
player,201212090car,car,TolbMi00,rush_att,5,,,,,
player,201212090car,car,TolbMi00,rush_yds,20,,,,,
player,201212090car,car,TolbMi00,rush_td,0,,,,,
player,201212090car,car,TolbMi00,rush_long,7,,,,,
player,201212090car,car,TolbMi00,targets,3,,,,,
player,201212090car,car,TolbMi00,rec,3,,,,,
player,201212090car,car,TolbMi00,rec_yds,18,,,,,
player,201212090car,car,TolbMi00,rec_td,0,,,,,
player,201212090car,car,TolbMi00,rec_long,8,,,,,
player,201212090car,car,TolbMi00,fumbles,0,,,,,
player,201212090car,car,TolbMi00,fumbles_lost,0,,,,,
player,201212090car,car,AdamJo01,pass_cmp,0,,,,,
player,201212090car,car,AdamJo01,pass_att,0,,,,,
player,201212090car,car,AdamJo01,pass_yds,0,,,,,
player,201212090car,car,AdamJo01,pass_td,0,,,,,
player,201212090car,car,AdamJo01,pass_int,0,,,,,
player,201212090car,car,AdamJo01,pass_sacked,0,,,,,
player,201212090car,car,AdamJo01,pass_sacked_yds,0,,,,,
player,201212090car,car,AdamJo01,pass_long,0,,,,,
player,201212090car,car,AdamJo01,pass_rating,,,,,,
player,201212090car,car,AdamJo01,rush_att,1,,,,,
player,201212090car,car,AdamJo01,rush_yds,3,,,,,
player,201212090car,car,AdamJo01,rush_td,0,,,,,
player,201212090car,car,AdamJo01,rush_long,3,,,,,
player,201212090car,car,AdamJo01,targets,0,,,,,
player,201212090car,car,AdamJo01,rec,0,,,,,
player,201212090car,car,AdamJo01,rec_yds,0,,,,,
player,201212090car,car,AdamJo01,rec_td,0,,,,,
player,201212090car,car,AdamJo01,rec_long,0,,,,,
player,201212090car,car,AdamJo01,fumbles,0,,,,,
player,201212090car,car,AdamJo01,fumbles_lost,0,,,,,
player,201212090car,car,SmitSt01,pass_cmp,0,,,,,
player,201212090car,car,SmitSt01,pass_att,0,,,,,
player,201212090car,car,SmitSt01,pass_yds,0,,,,,
player,201212090car,car,SmitSt01,pass_td,0,,,,,
player,201212090car,car,SmitSt01,pass_int,0,,,,,
player,201212090car,car,SmitSt01,pass_sacked,0,,,,,
player,201212090car,car,SmitSt01,pass_sacked_yds,0,,,,,
player,201212090car,car,SmitSt01,pass_long,0,,,,,
player,201212090car,car,SmitSt01,pass_rating,,,,,,
player,201212090car,car,SmitSt01,rush_att,0,,,,,
player,201212090car,car,SmitSt01,rush_yds,0,,,,,
player,201212090car,car,SmitSt01,rush_td,0,,,,,
player,201212090car,car,SmitSt01,rush_long,0,,,,,
player,201212090car,car,SmitSt01,targets,12,,,,,
player,201212090car,car,SmitSt01,rec,7,,,,,
player,201212090car,car,SmitSt01,rec_yds,109,,,,,
player,201212090car,car,SmitSt01,rec_td,0,,,,,
player,201212090car,car,SmitSt01,rec_long,22,,,,,
player,201212090car,car,SmitSt01,fumbles,0,,,,,
player,201212090car,car,SmitSt01,fumbles_lost,0,,,,,
player,201212090car,car,OlseGr00,pass_cmp,0,,,,,
player,201212090car,car,OlseGr00,pass_att,0,,,,,
player,201212090car,car,OlseGr00,pass_yds,0,,,,,
player,201212090car,car,OlseGr00,pass_td,0,,,,,
player,201212090car,car,OlseGr00,pass_int,0,,,,,
player,201212090car,car,OlseGr00,pass_sacked,0,,,,,
player,201212090car,car,OlseGr00,pass_sacked_yds,0,,,,,
player,201212090car,car,OlseGr00,pass_long,0,,,,,
player,201212090car,car,OlseGr00,pass_rating,,,,,,
player,201212090car,car,OlseGr00,rush_att,0,,,,,
player,201212090car,car,OlseGr00,rush_yds,0,,,,,
player,201212090car,car,OlseGr00,rush_td,0,,,,,
player,201212090car,car,OlseGr00,rush_long,0,,,,,
player,201212090car,car,OlseGr00,targets,5,,,,,
player,201212090car,car,OlseGr00,rec,4,,,,,
player,201212090car,car,OlseGr00,rec_yds,55,,,,,
player,201212090car,car,OlseGr00,rec_td,1,,,,,
player,201212090car,car,OlseGr00,rec_long,25,,,,,
player,201212090car,car,OlseGr00,fumbles,0,,,,,
player,201212090car,car,OlseGr00,fumbles_lost,0,,,,,
player,201212090car,car,MurpLo00,pass_cmp,0,,,,,
player,201212090car,car,MurpLo00,pass_att,0,,,,,
player,201212090car,car,MurpLo00,pass_yds,0,,,,,
player,201212090car,car,MurpLo00,pass_td,0,,,,,
player,201212090car,car,MurpLo00,pass_int,0,,,,,
player,201212090car,car,MurpLo00,pass_sacked,0,,,,,
player,201212090car,car,MurpLo00,pass_sacked_yds,0,,,,,
player,201212090car,car,MurpLo00,pass_long,0,,,,,
player,201212090car,car,MurpLo00,pass_rating,,,,,,
player,201212090car,car,MurpLo00,rush_att,0,,,,,
player,201212090car,car,MurpLo00,rush_yds,0,,,,,
player,201212090car,car,MurpLo00,rush_td,0,,,,,
player,201212090car,car,MurpLo00,rush_long,0,,,,,
player,201212090car,car,MurpLo00,targets,9,,,,,
player,201212090car,car,MurpLo00,rec,5,,,,,
player,201212090car,car,MurpLo00,rec_yds,36,,,,,
player,201212090car,car,MurpLo00,rec_td,0,,,,,
player,201212090car,car,MurpLo00,rec_long,16,,,,,
player,201212090car,car,MurpLo00,fumbles,1,,,,,
player,201212090car,car,MurpLo00,fumbles_lost,0,,,,,
player,201212090car,car,EdwaAr00,pass_cmp,0,,,,,
player,201212090car,car,EdwaAr00,pass_att,0,,,,,
player,201212090car,car,EdwaAr00,pass_yds,0,,,,,
player,201212090car,car,EdwaAr00,pass_td,0,,,,,
player,201212090car,car,EdwaAr00,pass_int,0,,,,,
player,201212090car,car,EdwaAr00,pass_sacked,0,,,,,
player,201212090car,car,EdwaAr00,pass_sacked_yds,0,,,,,
player,201212090car,car,EdwaAr00,pass_long,0,,,,,
player,201212090car,car,EdwaAr00,pass_rating,,,,,,
player,201212090car,car,EdwaAr00,rush_att,0,,,,,
player,201212090car,car,EdwaAr00,rush_yds,0,,,,,
player,201212090car,car,EdwaAr00,rush_td,0,,,,,
player,201212090car,car,EdwaAr00,rush_long,0,,,,,
player,201212090car,car,EdwaAr00,targets,2,,,,,
player,201212090car,car,EdwaAr00,rec,1,,,,,
player,201212090car,car,EdwaAr00,rec_yds,7,,,,,
player,201212090car,car,EdwaAr00,rec_td,0,,,,,
player,201212090car,car,EdwaAr00,rec_long,7,,,,,
player,201212090car,car,EdwaAr00,fumbles,0,,,,,
player,201212090car,car,EdwaAr00,fumbles_lost,0,,,,,
player,201212090car,car,BarnGa01,pass_cmp,0,,,,,
player,201212090car,car,BarnGa01,pass_att,0,,,,,
player,201212090car,car,BarnGa01,pass_yds,0,,,,,
player,201212090car,car,BarnGa01,pass_td,0,,,,,
player,201212090car,car,BarnGa01,pass_int,0,,,,,
player,201212090car,car,BarnGa01,pass_sacked,0,,,,,
player,201212090car,car,BarnGa01,pass_sacked_yds,0,,,,,
player,201212090car,car,BarnGa01,pass_long,0,,,,,
player,201212090car,car,BarnGa01,pass_rating,,,,,,
player,201212090car,car,BarnGa01,rush_att,0,,,,,
player,201212090car,car,BarnGa01,rush_yds,0,,,,,
player,201212090car,car,BarnGa01,rush_td,0,,,,,
player,201212090car,car,BarnGa01,rush_long,0,,,,,
player,201212090car,car,BarnGa01,targets,1,,,,,
player,201212090car,car,BarnGa01,rec,1,,,,,
player,201212090car,car,BarnGa01,rec_yds,6,,,,,
player,201212090car,car,BarnGa01,rec_td,0,,,,,
player,201212090car,car,BarnGa01,rec_long,6,,,,,
player,201212090car,car,BarnGa01,fumbles,0,,,,,
player,201212090car,car,BarnGa01,fumbles_lost,0,,,,,
player,201212090car,atl,WalkVa99,def_int,0,,,,,
player,201212090car,atl,WalkVa99,def_int_yds,0,,,,,
player,201212090car,atl,WalkVa99,def_int_td,0,,,,,
player,201212090car,atl,WalkVa99,def_int_long,0,,,,,
player,201212090car,atl,WalkVa99,pass_defended,0,,,,,
player,201212090car,atl,WalkVa99,sacks,1.0,,,,,
player,201212090car,atl,WalkVa99,tackles_combined,2,,,,,
player,201212090car,atl,WalkVa99,tackles_solo,2,,,,,
