game,2012,5,20121007,201210070nyg,cle,"Cleveland Browns",27,nyg,"New York Giants",41
player,201210070nyg,cle,SkriBu00,tackles_combined,9,,,,,
player,201210070nyg,cle,SkriBu00,tackles_solo,8,,,,,
player,201210070nyg,cle,SkriBu00,tackles_assists,1,,,,,
player,201210070nyg,cle,SkriBu00,tackles_loss,0,,,,,
player,201210070nyg,cle,SkriBu00,qb_hits,0,,,,,
player,201210070nyg,cle,SkriBu00,fumbles_rec,0,,,,,
player,201210070nyg,cle,SkriBu00,fumbles_rec_yds,0,,,,,
player,201210070nyg,cle,SkriBu00,fumbles_rec_td,0,,,,,
player,201210070nyg,cle,SkriBu00,fumbles_forced,0,,,,,
player,201210070nyg,cle,RobeCr00,def_int,0,,,,,
player,201210070nyg,cle,RobeCr00,def_int_yds,0,,,,,
player,201210070nyg,cle,RobeCr00,def_int_td,0,,,,,
player,201210070nyg,cle,RobeCr00,def_int_long,0,,,,,
player,201210070nyg,cle,RobeCr00,pass_defended,0,,,,,
player,201210070nyg,cle,RobeCr00,sacks,0.0,,,,,
player,201210070nyg,cle,RobeCr00,tackles_combined,7,,,,,
player,201210070nyg,cle,RobeCr00,tackles_solo,4,,,,,
player,201210070nyg,cle,RobeCr00,tackles_assists,3,,,,,
player,201210070nyg,cle,RobeCr00,tackles_loss,0,,,,,
player,201210070nyg,cle,RobeCr00,qb_hits,0,,,,,
player,201210070nyg,cle,RobeCr00,fumbles_rec,0,,,,,
player,201210070nyg,cle,RobeCr00,fumbles_rec_yds,0,,,,,
player,201210070nyg,cle,RobeCr00,fumbles_rec_td,0,,,,,
player,201210070nyg,cle,RobeCr00,fumbles_forced,0,,,,,
player,201210070nyg,cle,JackDQ20,def_int,0,,,,,
player,201210070nyg,cle,JackDQ20,def_int_yds,0,,,,,
player,201210070nyg,cle,JackDQ20,def_int_td,0,,,,,
player,201210070nyg,cle,JackDQ20,def_int_long,0,,,,,
player,201210070nyg,cle,JackDQ20,pass_defended,0,,,,,
player,201210070nyg,cle,JackDQ20,sacks,0.0,,,,,
player,201210070nyg,cle,JackDQ20,tackles_combined,5,,,,,
player,201210070nyg,cle,JackDQ20,tackles_solo,3,,,,,
player,201210070nyg,cle,JackDQ20,tackles_assists,2,,,,,
player,201210070nyg,cle,JackDQ20,tackles_loss,0,,,,,
