game,2012,13,20121202,201212020ram,sfo,"San Francisco 49ers",13,ram,"St. Louis Rams",16
player,201212020ram,ram,SmitSt02,rush_yds,0,,,,,
player,201212020ram,ram,SmitSt02,rush_td,0,,,,,
player,201212020ram,ram,SmitSt02,rush_long,0,,,,,
player,201212020ram,ram,SmitSt02,targets,2,,,,,
player,201212020ram,ram,SmitSt02,rec,1,,,,,
player,201212020ram,ram,SmitSt02,rec_yds,6,,,,,
player,201212020ram,ram,SmitSt02,rec_td,0,,,,,
player,201212020ram,ram,SmitSt02,rec_long,6,,,,,
player,201212020ram,ram,SmitSt02,fumbles,0,,,,,
player,201212020ram,ram,SmitSt02,fumbles_lost,0,,,,,
player,201212020ram,ram,QuicBr00,pass_cmp,0,,,,,
player,201212020ram,ram,QuicBr00,pass_att,0,,,,,
player,201212020ram,ram,QuicBr00,pass_yds,0,,,,,
player,201212020ram,ram,QuicBr00,pass_td,0,,,,,
player,201212020ram,ram,QuicBr00,pass_int,0,,,,,
player,201212020ram,ram,QuicBr00,pass_sacked,0,,,,,
player,201212020ram,ram,QuicBr00,pass_sacked_yds,0,,,,,
player,201212020ram,ram,QuicBr00,pass_long,0,,,,,
player,201212020ram,ram,QuicBr00,pass_rating,,,,,,
player,201212020ram,ram,QuicBr00,rush_att,0,,,,,
player,201212020ram,ram,QuicBr00,rush_yds,0,,,,,
player,201212020ram,ram,QuicBr00,rush_td,0,,,,,
player,201212020ram,ram,QuicBr00,rush_long,0,,,,,
player,201212020ram,ram,QuicBr00,targets,2,,,,,
player,201212020ram,ram,QuicBr00,rec,1,,,,,
player,201212020ram,ram,QuicBr00,rec_yds,3,,,,,
player,201212020ram,ram,QuicBr00,rec_td,0,,,,,
player,201212020ram,ram,QuicBr00,rec_long,3,,,,,
player,201212020ram,ram,QuicBr00,fumbles,0,,,,,
player,201212020ram,ram,QuicBr00,fumbles_lost,0,,,,,
player,201212020ram,ram,PeadIs00,pass_cmp,0,,,,,
player,201212020ram,ram,PeadIs00,pass_att,0,,,,,
player,201212020ram,ram,PeadIs00,pass_yds,0,,,,,
player,201212020ram,ram,PeadIs00,pass_td,0,,,,,
player,201212020ram,ram,PeadIs00,pass_int,0,,,,,
player,201212020ram,ram,PeadIs00,pass_sacked,0,,,,,
player,201212020ram,ram,PeadIs00,pass_sacked_yds,0,,,,,
player,201212020ram,ram,PeadIs00,pass_long,0,,,,,
player,201212020ram,ram,PeadIs00,pass_rating,,,,,,
player,201212020ram,ram,PeadIs00,rush_att,0,,,,,
player,201212020ram,ram,PeadIs00,rush_yds,0,,,,,
player,201212020ram,ram,PeadIs00,rush_td,0,,,,,
player,201212020ram,ram,PeadIs00,rush_long,0,,,,,
player,201212020ram,ram,PeadIs00,targets,1,,,,,
player,201212020ram,ram,PeadIs00,rec,0,,,,,
player,201212020ram,ram,PeadIs00,rec_yds,0,,,,,
player,201212020ram,ram,PeadIs00,rec_td,0,,,,,
player,201212020ram,ram,PeadIs00,rec_long,0,,,,,
player,201212020ram,ram,PeadIs00,fumbles,0,,,,,
player,201212020ram,ram,PeadIs00,fumbles_lost,0,,,,,
player,201212020ram,sfo,SmitJu20,def_int,0,,,,,
player,201212020ram,sfo,SmitJu20,def_int_yds,0,,,,,
player,201212020ram,sfo,SmitJu20,def_int_td,0,,,,,
