game,2012,9,20121105,201211050nor,phi,"Philadelphia Eagles",13,nor,"New Orleans Saints",28
player,201211050nor,nor,MoorLa00,pass_yds,0,,,,,
player,201211050nor,nor,MoorLa00,pass_td,0,,,,,
player,201211050nor,nor,MoorLa00,pass_int,0,,,,,
player,201211050nor,nor,MoorLa00,pass_sacked,0,,,,,
player,201211050nor,nor,MoorLa00,pass_sacked_yds,0,,,,,
player,201211050nor,nor,MoorLa00,pass_long,0,,,,,
player,201211050nor,nor,MoorLa00,pass_rating,,,,,,
player,201211050nor,nor,MoorLa00,rush_att,0,,,,,
player,201211050nor,nor,MoorLa00,rush_yds,0,,,,,
player,201211050nor,nor,MoorLa00,rush_td,0,,,,,
player,201211050nor,nor,MoorLa00,rush_long,0,,,,,
player,201211050nor,nor,MoorLa00,targets,2,,,,,
player,201211050nor,nor,MoorLa00,rec,2,,,,,
player,201211050nor,nor,MoorLa00,rec_yds,61,,,,,
player,201211050nor,nor,MoorLa00,rec_td,0,,,,,
player,201211050nor,nor,MoorLa00,rec_long,38,,,,,
player,201211050nor,nor,MoorLa00,fumbles,0,,,,,
player,201211050nor,nor,MoorLa00,fumbles_lost,0,,,,,
player,201211050nor,nor,ColsMa00,pass_cmp,0,,,,,
player,201211050nor,nor,ColsMa00,pass_att,0,,,,,
player,201211050nor,nor,ColsMa00,pass_yds,0,,,,,
player,201211050nor,nor,ColsMa00,pass_td,0,,,,,
player,201211050nor,nor,ColsMa00,pass_int,0,,,,,
player,201211050nor,nor,ColsMa00,pass_sacked,0,,,,,
player,201211050nor,nor,ColsMa00,pass_sacked_yds,0,,,,,
player,201211050nor,nor,ColsMa00,pass_long,0,,,,,
player,201211050nor,nor,ColsMa00,pass_rating,,,,,,
player,201211050nor,nor,ColsMa00,rush_att,0,,,,,
player,201211050nor,nor,ColsMa00,rush_yds,0,,,,,
player,201211050nor,nor,ColsMa00,rush_td,0,,,,,
player,201211050nor,nor,ColsMa00,rush_long,0,,,,,
player,201211050nor,nor,ColsMa00,targets,4,,,,,
player,201211050nor,nor,ColsMa00,rec,4,,,,,
player,201211050nor,nor,ColsMa00,rec_yds,46,,,,,
player,201211050nor,nor,ColsMa00,rec_td,1,,,,,
player,201211050nor,nor,ColsMa00,rec_long,21,,,,,
player,201211050nor,nor,ColsMa00,fumbles,0,,,,,
player,201211050nor,nor,ColsMa00,fumbles_lost,0,,,,,
player,201211050nor,nor,HendDe00,pass_cmp,0,,,,,
player,201211050nor,nor,HendDe00,pass_att,0,,,,,
player,201211050nor,nor,HendDe00,pass_yds,0,,,,,
player,201211050nor,nor,HendDe00,pass_td,0,,,,,
player,201211050nor,nor,HendDe00,pass_int,0,,,,,
player,201211050nor,nor,HendDe00,pass_sacked,0,,,,,
player,201211050nor,nor,HendDe00,pass_sacked_yds,0,,,,,
