game,2012,2,20120916,201209160mia,rai,"Oakland Raiders",13,mia,"Miami Dolphins",35
player,201209160mia,rai,ShauMa99,tackles_combined,4,,,,,
player,201209160mia,rai,ShauMa99,tackles_solo,4,,,,,
player,201209160mia,rai,ShauMa99,tackles_assists,0,,,,,
player,201209160mia,rai,ShauMa99,tackles_loss,2,,,,,
player,201209160mia,rai,ShauMa99,qb_hits,1,,,,,
player,201209160mia,rai,ShauMa99,fumbles_rec,0,,,,,
player,201209160mia,rai,ShauMa99,fumbles_rec_yds,0,,,,,
player,201209160mia,rai,ShauMa99,fumbles_rec_td,0,,,,,
player,201209160mia,rai,ShauMa99,fumbles_forced,0,,,,,
player,201209160mia,rai,BranTy99,def_int,0,,,,,
player,201209160mia,rai,BranTy99,def_int_yds,0,,,,,
player,201209160mia,rai,BranTy99,def_int_td,0,,,,,
player,201209160mia,rai,BranTy99,def_int_long,0,,,,,
player,201209160mia,rai,BranTy99,pass_defended,0,,,,,
player,201209160mia,rai,BranTy99,sacks,0.0,,,,,
player,201209160mia,rai,BranTy99,tackles_combined,7,,,,,
player,201209160mia,rai,BranTy99,tackles_solo,7,,,,,
player,201209160mia,rai,BranTy99,tackles_assists,0,,,,,
player,201209160mia,rai,BranTy99,tackles_loss,0,,,,,
player,201209160mia,rai,BranTy99,qb_hits,0,,,,,
player,201209160mia,rai,BranTy99,fumbles_rec,0,,,,,
player,201209160mia,rai,BranTy99,fumbles_rec_yds,0,,,,,
player,201209160mia,rai,BranTy99,fumbles_rec_td,0,,,,,
player,201209160mia,rai,BranTy99,fumbles_forced,0,,,,,
