game,2012,8,20121028,201210280dal,nyg,"New York Giants",29,dal,"Dallas Cowboys",24
player,201210280dal,dal,HannJa00,pass_sacked,0,,,,,
player,201210280dal,dal,HannJa00,pass_sacked_yds,0,,,,,
player,201210280dal,dal,HannJa00,pass_long,0,,,,,
player,201210280dal,dal,HannJa00,pass_rating,,,,,,
player,201210280dal,dal,HannJa00,rush_att,0,,,,,
player,201210280dal,dal,HannJa00,rush_yds,0,,,,,
player,201210280dal,dal,HannJa00,rush_td,0,,,,,
player,201210280dal,dal,HannJa00,rush_long,0,,,,,
player,201210280dal,dal,HannJa00,targets,1,,,,,
player,201210280dal,dal,HannJa00,rec,0,,,,,
player,201210280dal,dal,HannJa00,rec_yds,0,,,,,
player,201210280dal,dal,HannJa00,rec_td,0,,,,,
player,201210280dal,dal,HannJa00,rec_long,0,,,,,
player,201210280dal,dal,HannJa00,fumbles,0,,,,,
player,201210280dal,dal,HannJa00,fumbles_lost,0,,,,,
player,201210280dal,nyg,BrowSt99,def_int,2,,,,,
player,201210280dal,nyg,BrowSt99,def_int_yds,37,,,,,
player,201210280dal,nyg,BrowSt99,def_int_td,0,,,,,
player,201210280dal,nyg,BrowSt99,def_int_long,37,,,,,
player,201210280dal,nyg,BrowSt99,pass_defended,2,,,,,
player,201210280dal,nyg,BrowSt99,sacks,0.0,,,,,
player,201210280dal,nyg,BrowSt99,tackles_combined,8,,,,,
player,201210280dal,nyg,BrowSt99,tackles_solo,8,,,,,
player,201210280dal,nyg,BrowSt99,tackles_assists,0,,,,,
player,201210280dal,nyg,BrowSt99,tackles_loss,0,,,,,
player,201210280dal,nyg,BrowSt99,qb_hits,0,,,,,
player,201210280dal,nyg,BrowSt99,fumbles_rec,1,,,,,
player,201210280dal,nyg,BrowSt99,fumbles_rec_yds,0,,,,,
player,201210280dal,nyg,BrowSt99,fumbles_rec_td,0,,,,,
player,201210280dal,nyg,BrowSt99,fumbles_forced,0,,,,,
player,201210280dal,nyg,PierJa99,def_int,1,,,,,
player,201210280dal,nyg,PierJa99,def_int_yds,28,,,,,
player,201210280dal,nyg,PierJa99,def_int_td,1,,,,,
player,201210280dal,nyg,PierJa99,def_int_long,28,,,,,
player,201210280dal,nyg,PierJa99,pass_defended,1,,,,,
player,201210280dal,nyg,PierJa99,sacks,1.0,,,,,
player,201210280dal,nyg,PierJa99,tackles_combined,4,,,,,
player,201210280dal,nyg,PierJa99,tackles_solo,3,,,,,
player,201210280dal,nyg,PierJa99,tackles_assists,1,,,,,
player,201210280dal,nyg,PierJa99,tackles_loss,1,,,,,
