game,2016,14,20161211,201612110gnb,sea,"Seattle Seahawks",10,gnb,"Green Bay Packers",38
player,201612110gnb,gnb,StarJa00,pass_sacked,0,,,,,
player,201612110gnb,gnb,StarJa00,pass_sacked_yds,0,,,,,
player,201612110gnb,gnb,StarJa00,pass_long,0,,,,,
player,201612110gnb,gnb,StarJa00,pass_rating,,,,,,
player,201612110gnb,gnb,StarJa00,rush_att,2,,,,,
player,201612110gnb,gnb,StarJa00,rush_yds,3,,,,,
player,201612110gnb,gnb,StarJa00,rush_td,0,,,,,
player,201612110gnb,gnb,StarJa00,rush_long,2,,,,,
player,201612110gnb,gnb,StarJa00,targets,0,,,,,
player,201612110gnb,gnb,StarJa00,rec,0,,,,,
player,201612110gnb,gnb,StarJa00,rec_yds,0,,,,,
player,201612110gnb,gnb,StarJa00,rec_td,0,,,,,
player,201612110gnb,gnb,StarJa00,rec_long,0,,,,,
player,201612110gnb,gnb,StarJa00,fumbles,0,,,,,
player,201612110gnb,gnb,StarJa00,fumbles_lost,0,,,,,
player,201612110gnb,gnb,RipkAa00,pass_cmp,0,,,,,
player,201612110gnb,gnb,RipkAa00,pass_att,0,,,,,
player,201612110gnb,gnb,RipkAa00,pass_yds,0,,,,,
player,201612110gnb,gnb,RipkAa00,pass_td,0,,,,,
player,201612110gnb,gnb,RipkAa00,pass_int,0,,,,,
player,201612110gnb,gnb,RipkAa00,pass_sacked,0,,,,,
player,201612110gnb,gnb,RipkAa00,pass_sacked_yds,0,,,,,
player,201612110gnb,gnb,RipkAa00,pass_long,0,,,,,
player,201612110gnb,gnb,RipkAa00,pass_rating,,,,,,
player,201612110gnb,gnb,RipkAa00,rush_att,3,,,,,
player,201612110gnb,gnb,RipkAa00,rush_yds,2,,,,,
player,201612110gnb,gnb,RipkAa00,rush_td,0,,,,,
player,201612110gnb,gnb,RipkAa00,rush_long,2,,,,,
player,201612110gnb,gnb,RipkAa00,targets,1,,,,,
player,201612110gnb,gnb,RipkAa00,rec,0,,,,,
player,201612110gnb,gnb,RipkAa00,rec_yds,0,,,,,
player,201612110gnb,gnb,RipkAa00,rec_td,0,,,,,
player,201612110gnb,gnb,RipkAa00,rec_long,0,,,,,
player,201612110gnb,gnb,RipkAa00,fumbles,0,,,,,
player,201612110gnb,gnb,RipkAa00,fumbles_lost,0,,,,,
player,201612110gnb,gnb,AdamDa01,pass_cmp,0,,,,,
player,201612110gnb,gnb,AdamDa01,pass_att,0,,,,,
player,201612110gnb,gnb,AdamDa01,pass_yds,0,,,,,
player,201612110gnb,gnb,AdamDa01,pass_td,0,,,,,
player,201612110gnb,gnb,AdamDa01,pass_int,0,,,,,
player,201612110gnb,gnb,AdamDa01,pass_sacked,0,,,,,
player,201612110gnb,gnb,AdamDa01,pass_sacked_yds,0,,,,,
player,201612110gnb,gnb,AdamDa01,pass_long,0,,,,,
player,201612110gnb,gnb,AdamDa01,pass_rating,,,,,,
player,201612110gnb,gnb,AdamDa01,rush_att,0,,,,,
player,201612110gnb,gnb,AdamDa01,rush_yds,0,,,,,
player,201612110gnb,gnb,AdamDa01,rush_td,0,,,,,
player,201612110gnb,gnb,AdamDa01,rush_long,0,,,,,
player,201612110gnb,gnb,AdamDa01,targets,6,,,,,
player,201612110gnb,gnb,AdamDa01,rec,4,,,,,
player,201612110gnb,gnb,AdamDa01,rec_yds,104,,,,,
