game,2016,2,20160918,201609180nyg,nor,"New Orleans Saints",13,nyg,"New York Giants",16
player,201609180nyg,nyg,MannEl00,rush_long,-1,,,,,
player,201609180nyg,nyg,MannEl00,targets,0,,,,,
player,201609180nyg,nyg,MannEl00,rec,0,,,,,
player,201609180nyg,nyg,MannEl00,rec_yds,0,,,,,
player,201609180nyg,nyg,MannEl00,rec_td,0,,,,,
player,201609180nyg,nyg,MannEl00,rec_long,0,,,,,
player,201609180nyg,nyg,MannEl00,fumbles,1,,,,,
player,201609180nyg,nyg,MannEl00,fumbles_lost,1,,,,,
player,201609180nyg,nyg,VereSh00,pass_cmp,0,,,,,
player,201609180nyg,nyg,VereSh00,pass_att,0,,,,,
player,201609180nyg,nyg,VereSh00,pass_yds,0,,,,,
player,201609180nyg,nyg,VereSh00,pass_td,0,,,,,
player,201609180nyg,nyg,VereSh00,pass_int,0,,,,,
player,201609180nyg,nyg,VereSh00,pass_sacked,0,,,,,
player,201609180nyg,nyg,VereSh00,pass_sacked_yds,0,,,,,
player,201609180nyg,nyg,VereSh00,pass_long,0,,,,,
player,201609180nyg,nyg,VereSh00,pass_rating,,,,,,
player,201609180nyg,nyg,VereSh00,rush_att,14,,,,,
player,201609180nyg,nyg,VereSh00,rush_yds,42,,,,,
player,201609180nyg,nyg,VereSh00,rush_td,0,,,,,
player,201609180nyg,nyg,VereSh00,rush_long,9,,,,,
player,201609180nyg,nyg,VereSh00,targets,3,,,,,
player,201609180nyg,nyg,VereSh00,rec,3,,,,,
player,201609180nyg,nyg,VereSh00,rec_yds,24,,,,,
player,201609180nyg,nyg,VereSh00,rec_td,0,,,,,
player,201609180nyg,nyg,VereSh00,rec_long,12,,,,,
player,201609180nyg,nyg,VereSh00,fumbles,1,,,,,
player,201609180nyg,nyg,VereSh00,fumbles_lost,1,,,,,
player,201609180nyg,nyg,JennRa00,pass_cmp,0,,,,,
player,201609180nyg,nyg,JennRa00,pass_att,0,,,,,
player,201609180nyg,nyg,JennRa00,pass_yds,0,,,,,
player,201609180nyg,nyg,JennRa00,pass_td,0,,,,,
player,201609180nyg,nyg,JennRa00,pass_int,0,,,,,
player,201609180nyg,nyg,JennRa00,pass_sacked,0,,,,,
player,201609180nyg,nyg,JennRa00,pass_sacked_yds,0,,,,,
player,201609180nyg,nyg,JennRa00,pass_long,0,,,,,
player,201609180nyg,nyg,JennRa00,pass_rating,,,,,,
player,201609180nyg,nyg,JennRa00,rush_att,13,,,,,
player,201609180nyg,nyg,JennRa00,rush_yds,27,,,,,
player,201609180nyg,nyg,JennRa00,rush_td,0,,,,,
player,201609180nyg,nyg,JennRa00,rush_long,7,,,,,
player,201609180nyg,nyg,JennRa00,targets,2,,,,,
player,201609180nyg,nyg,JennRa00,rec,2,,,,,
player,201609180nyg,nyg,JennRa00,rec_yds,13,,,,,
player,201609180nyg,nyg,JennRa00,rec_td,0,,,,,
player,201609180nyg,nyg,JennRa00,rec_long,7,,,,,
player,201609180nyg,nyg,JennRa00,fumbles,0,,,,,
player,201609180nyg,nyg,JennRa00,fumbles_lost,0,,,,,
player,201609180nyg,nyg,ShepSt00,pass_cmp,0,,,,,
player,201609180nyg,nyg,ShepSt00,pass_att,0,,,,,
