game,2016,4,20161002,201610020htx,oti,"Tennessee Titans",20,htx,"Houston Texans",27
player,201610020htx,htx,StroJa01,pass_td,0,,,,,
player,201610020htx,htx,StroJa01,pass_int,0,,,,,
player,201610020htx,htx,StroJa01,pass_sacked,0,,,,,
player,201610020htx,htx,StroJa01,pass_sacked_yds,0,,,,,
player,201610020htx,htx,StroJa01,pass_long,0,,,,,
player,201610020htx,htx,StroJa01,pass_rating,,,,,,
player,201610020htx,htx,StroJa01,rush_att,0,,,,,
player,201610020htx,htx,StroJa01,rush_yds,0,,,,,
player,201610020htx,htx,StroJa01,rush_td,0,,,,,
player,201610020htx,htx,StroJa01,rush_long,0,,,,,
player,201610020htx,htx,StroJa01,targets,6,,,,,
player,201610020htx,htx,StroJa01,rec,5,,,,,
player,201610020htx,htx,StroJa01,rec_yds,31,,,,,
player,201610020htx,htx,StroJa01,rec_td,0,,,,,
player,201610020htx,htx,StroJa01,rec_long,9,,,,,
player,201610020htx,htx,StroJa01,fumbles,0,,,,,
player,201610020htx,htx,StroJa01,fumbles_lost,0,,,,,
player,201610020htx,htx,ProsJa00,pass_cmp,0,,,,,
player,201610020htx,htx,ProsJa00,pass_att,0,,,,,
player,201610020htx,htx,ProsJa00,pass_yds,0,,,,,
player,201610020htx,htx,ProsJa00,pass_td,0,,,,,
player,201610020htx,htx,ProsJa00,pass_int,0,,,,,
player,201610020htx,htx,ProsJa00,pass_sacked,0,,,,,
player,201610020htx,htx,ProsJa00,pass_sacked_yds,0,,,,,
player,201610020htx,htx,ProsJa00,pass_long,0,,,,,
player,201610020htx,htx,ProsJa00,pass_rating,,,,,,
player,201610020htx,htx,ProsJa00,rush_att,1,,,,,
player,201610020htx,htx,ProsJa00,rush_yds,0,,,,,
player,201610020htx,htx,ProsJa00,rush_td,0,,,,,
player,201610020htx,htx,ProsJa00,rush_long,0,,,,,
player,201610020htx,htx,ProsJa00,targets,1,,,,,
player,201610020htx,htx,ProsJa00,rec,1,,,,,
player,201610020htx,htx,ProsJa00,rec_yds,6,,,,,
player,201610020htx,htx,ProsJa00,rec_td,0,,,,,
player,201610020htx,htx,ProsJa00,rec_long,6,,,,,
player,201610020htx,htx,ProsJa00,fumbles,0,,,,,
player,201610020htx,htx,ProsJa00,fumbles_lost,0,,,,,
player,201610020htx,htx,HopkDe00,pass_cmp,0,,,,,
player,201610020htx,htx,HopkDe00,pass_att,0,,,,,
player,201610020htx,htx,HopkDe00,pass_yds,0,,,,,
player,201610020htx,htx,HopkDe00,pass_td,0,,,,,
player,201610020htx,htx,HopkDe00,pass_int,0,,,,,
player,201610020htx,htx,HopkDe00,pass_sacked,0,,,,,
player,201610020htx,htx,HopkDe00,pass_sacked_yds,0,,,,,
player,201610020htx,htx,HopkDe00,pass_long,0,,,,,
player,201610020htx,htx,HopkDe00,pass_rating,,,,,,
player,201610020htx,htx,HopkDe00,rush_att,0,,,,,
player,201610020htx,htx,HopkDe00,rush_yds,0,,,,,
player,201610020htx,htx,HopkDe00,rush_td,0,,,,,
player,201610020htx,htx,HopkDe00,rush_long,0,,,,,
player,201610020htx,htx,HopkDe00,targets,6,,,,,
player,201610020htx,htx,HopkDe00,rec,1,,,,,
player,201610020htx,htx,HopkDe00,rec_yds,4,,,,,
player,201610020htx,htx,HopkDe00,rec_td,0,,,,,
player,201610020htx,htx,HopkDe00,rec_long,4,,,,,
player,201610020htx,htx,HopkDe00,fumbles,0,,,,,
player,201610020htx,htx,HopkDe00,fumbles_lost,0,,,,,
player,201610020htx,oti,CoxxPe99,def_int,1,,,,,
player,201610020htx,oti,CoxxPe99,def_int_yds,0,,,,,
player,201610020htx,oti,CoxxPe99,def_int_td,0,,,,,
player,201610020htx,oti,CoxxPe99,def_int_long,0,,,,,
player,201610020htx,oti,CoxxPe99,pass_defended,2,,,,,
player,201610020htx,oti,CoxxPe99,sacks,0.0,,,,,
player,201610020htx,oti,CoxxPe99,tackles_combined,5,,,,,
player,201610020htx,oti,CoxxPe99,tackles_solo,3,,,,,
player,201610020htx,oti,CoxxPe99,tackles_assists,2,,,,,
player,201610020htx,oti,CoxxPe99,tackles_loss,0,,,,,
player,201610020htx,oti,CoxxPe99,qb_hits,0,,,,,
player,201610020htx,oti,CoxxPe99,fumbles_rec,0,,,,,
player,201610020htx,oti,CoxxPe99,fumbles_rec_yds,0,,,,,
player,201610020htx,oti,CoxxPe99,fumbles_rec_td,0,,,,,
player,201610020htx,oti,CoxxPe99,fumbles_forced,0,,,,,
player,201610020htx,oti,McCoJa99,def_int,1,,,,,
player,201610020htx,oti,McCoJa99,def_int_yds,6,,,,,
player,201610020htx,oti,McCoJa99,def_int_td,0,,,,,
player,201610020htx,oti,McCoJa99,def_int_long,6,,,,,
player,201610020htx,oti,McCoJa99,pass_defended,1,,,,,
player,201610020htx,oti,McCoJa99,sacks,0.0,,,,,
player,201610020htx,oti,McCoJa99,tackles_combined,4,,,,,
player,201610020htx,oti,McCoJa99,tackles_solo,3,,,,,
player,201610020htx,oti,McCoJa99,tackles_assists,1,,,,,
player,201610020htx,oti,McCoJa99,tackles_loss,0,,,,,
