game,2016,15,20161218,201612180min,clt,"Indianapolis Colts",34,min,"Minnesota Vikings",6
player,201612180min,clt,AdamMi21,tackles_assists,1,,,,,
player,201612180min,clt,AdamMi21,tackles_loss,0,,,,,
player,201612180min,clt,AdamMi21,qb_hits,0,,,,,
player,201612180min,clt,AdamMi21,fumbles_rec,1,,,,,
player,201612180min,clt,AdamMi21,fumbles_rec_yds,0,,,,,
player,201612180min,clt,AdamMi21,fumbles_rec_td,0,,,,,
player,201612180min,clt,AdamMi21,fumbles_forced,1,,,,,
player,201612180min,clt,WaldEr99,def_int,0,,,,,
player,201612180min,clt,WaldEr99,def_int_yds,0,,,,,
player,201612180min,clt,WaldEr99,def_int_td,0,,,,,
player,201612180min,clt,WaldEr99,def_int_long,0,,,,,
player,201612180min,clt,WaldEr99,pass_defended,0,,,,,
player,201612180min,clt,WaldEr99,sacks,2.0,,,,,
player,201612180min,clt,WaldEr99,tackles_combined,3,,,,,
player,201612180min,clt,WaldEr99,tackles_solo,2,,,,,
player,201612180min,clt,WaldEr99,tackles_assists,1,,,,,
player,201612180min,clt,WaldEr99,tackles_loss,2,,,,,
player,201612180min,clt,WaldEr99,qb_hits,2,,,,,
player,201612180min,clt,WaldEr99,fumbles_rec,0,,,,,
player,201612180min,clt,WaldEr99,fumbles_rec_yds,0,,,,,
