game,2016,11,20161120,201611200was,gnb,"Green Bay Packers",24,was,"Washington Redskins",42
player,201611200was,was,GarcPi00,pass_sacked_yds,0,,,,,
player,201611200was,was,GarcPi00,pass_long,0,,,,,
player,201611200was,was,GarcPi00,pass_rating,,,,,,
player,201611200was,was,GarcPi00,rush_att,0,,,,,
player,201611200was,was,GarcPi00,rush_yds,0,,,,,
player,201611200was,was,GarcPi00,rush_td,0,,,,,
player,201611200was,was,GarcPi00,rush_long,0,,,,,
player,201611200was,was,GarcPi00,targets,7,,,,,
player,201611200was,was,GarcPi00,rec,6,,,,,
player,201611200was,was,GarcPi00,rec_yds,116,,,,,
player,201611200was,was,GarcPi00,rec_td,1,,,,,
player,201611200was,was,GarcPi00,rec_long,70,,,,,
player,201611200was,was,GarcPi00,fumbles,0,,,,,
player,201611200was,was,GarcPi00,fumbles_lost,0,,,,,
player,201611200was,was,CrowJa00,pass_cmp,0,,,,,
player,201611200was,was,CrowJa00,pass_att,0,,,,,
player,201611200was,was,CrowJa00,pass_yds,0,,,,,
player,201611200was,was,CrowJa00,pass_td,0,,,,,
player,201611200was,was,CrowJa00,pass_int,0,,,,,
player,201611200was,was,CrowJa00,pass_sacked,0,,,,,
player,201611200was,was,CrowJa00,pass_sacked_yds,0,,,,,
player,201611200was,was,CrowJa00,pass_long,0,,,,,
player,201611200was,was,CrowJa00,pass_rating,,,,,,
player,201611200was,was,CrowJa00,rush_att,0,,,,,
player,201611200was,was,CrowJa00,rush_yds,0,,,,,
player,201611200was,was,CrowJa00,rush_td,0,,,,,
player,201611200was,was,CrowJa00,rush_long,0,,,,,
player,201611200was,was,CrowJa00,targets,3,,,,,
player,201611200was,was,CrowJa00,rec,3,,,,,
player,201611200was,was,CrowJa00,rec_yds,102,,,,,
player,201611200was,was,CrowJa00,rec_td,1,,,,,
player,201611200was,was,CrowJa00,rec_long,53,,,,,
player,201611200was,was,CrowJa00,fumbles,0,,,,,
player,201611200was,was,CrowJa00,fumbles_lost,0,,,,,
player,201611200was,was,ReedJo02,pass_cmp,0,,,,,
player,201611200was,was,ReedJo02,pass_att,0,,,,,
player,201611200was,was,ReedJo02,pass_yds,0,,,,,
player,201611200was,was,ReedJo02,pass_td,0,,,,,
player,201611200was,was,ReedJo02,pass_int,0,,,,,
player,201611200was,was,ReedJo02,pass_sacked,0,,,,,
player,201611200was,was,ReedJo02,pass_sacked_yds,0,,,,,
player,201611200was,was,ReedJo02,pass_long,0,,,,,
player,201611200was,was,ReedJo02,pass_rating,,,,,,
player,201611200was,was,ReedJo02,rush_att,0,,,,,
player,201611200was,was,ReedJo02,rush_yds,0,,,,,
player,201611200was,was,ReedJo02,rush_td,0,,,,,
player,201611200was,was,ReedJo02,rush_long,0,,,,,
player,201611200was,was,ReedJo02,targets,6,,,,,
player,201611200was,was,ReedJo02,rec,5,,,,,
player,201611200was,was,ReedJo02,rec_yds,79,,,,,
player,201611200was,was,ReedJo02,rec_td,0,,,,,
player,201611200was,was,ReedJo02,rec_long,28,,,,,
player,201611200was,was,ReedJo02,fumbles,0,,,,,
player,201611200was,was,ReedJo02,fumbles_lost,0,,,,,
player,201611200was,was,JackDe00,pass_cmp,0,,,,,
player,201611200was,was,JackDe00,pass_att,0,,,,,
player,201611200was,was,JackDe00,pass_yds,0,,,,,
player,201611200was,was,JackDe00,pass_td,0,,,,,
player,201611200was,was,JackDe00,pass_int,0,,,,,
player,201611200was,was,JackDe00,pass_sacked,0,,,,,
player,201611200was,was,JackDe00,pass_sacked_yds,0,,,,,
player,201611200was,was,JackDe00,pass_long,0,,,,,
player,201611200was,was,JackDe00,pass_rating,,,,,,
player,201611200was,was,JackDe00,rush_att,0,,,,,
player,201611200was,was,JackDe00,rush_yds,0,,,,,
player,201611200was,was,JackDe00,rush_td,0,,,,,
player,201611200was,was,JackDe00,rush_long,0,,,,,
player,201611200was,was,JackDe00,targets,6,,,,,
player,201611200was,was,JackDe00,rec,4,,,,,
player,201611200was,was,JackDe00,rec_yds,51,,,,,
player,201611200was,was,JackDe00,rec_td,1,,,,,
player,201611200was,was,JackDe00,rec_long,17,,,,,
player,201611200was,was,JackDe00,fumbles,0,,,,,
player,201611200was,was,JackDe00,fumbles_lost,0,,,,,
player,201611200was,was,HarrMa05,pass_cmp,0,,,,,
player,201611200was,was,HarrMa05,pass_att,0,,,,,
player,201611200was,was,HarrMa05,pass_yds,0,,,,,
player,201611200was,was,HarrMa05,pass_td,0,,,,,
player,201611200was,was,HarrMa05,pass_int,0,,,,,
player,201611200was,was,HarrMa05,pass_sacked,0,,,,,
player,201611200was,was,HarrMa05,pass_sacked_yds,0,,,,,
player,201611200was,was,HarrMa05,pass_long,0,,,,,
player,201611200was,was,HarrMa05,pass_rating,,,,,,
player,201611200was,was,HarrMa05,rush_att,0,,,,,
player,201611200was,was,HarrMa05,rush_yds,0,,,,,
player,201611200was,was,HarrMa05,rush_td,0,,,,,
player,201611200was,was,HarrMa05,rush_long,0,,,,,
player,201611200was,was,HarrMa05,targets,1,,,,,
player,201611200was,was,HarrMa05,rec,1,,,,,
player,201611200was,was,HarrMa05,rec_yds,14,,,,,
