game,2016,8,20161030,201610300dal,phi,"Philadelphia Eagles",23,dal,"Dallas Cowboys",29
player,201610300dal,dal,BryaDe01,pass_att,0,,,,,
player,201610300dal,dal,BryaDe01,pass_yds,0,,,,,
player,201610300dal,dal,BryaDe01,pass_td,0,,,,,
player,201610300dal,dal,BryaDe01,pass_int,0,,,,,
player,201610300dal,dal,BryaDe01,pass_sacked,0,,,,,
player,201610300dal,dal,BryaDe01,pass_sacked_yds,0,,,,,
player,201610300dal,dal,BryaDe01,pass_long,0,,,,,
player,201610300dal,dal,BryaDe01,pass_rating,,,,,,
player,201610300dal,dal,BryaDe01,rush_att,0,,,,,
player,201610300dal,dal,BryaDe01,rush_yds,0,,,,,
player,201610300dal,dal,BryaDe01,rush_td,0,,,,,
player,201610300dal,dal,BryaDe01,rush_long,0,,,,,
player,201610300dal,dal,BryaDe01,targets,14,,,,,
player,201610300dal,dal,BryaDe01,rec,4,,,,,
player,201610300dal,dal,BryaDe01,rec_yds,113,,,,,
player,201610300dal,dal,BryaDe01,rec_td,1,,,,,
player,201610300dal,dal,BryaDe01,rec_long,53,,,,,
player,201610300dal,dal,BryaDe01,fumbles,0,,,,,
player,201610300dal,dal,BryaDe01,fumbles_lost,0,,,,,
player,201610300dal,dal,WillTe01,pass_cmp,0,,,,,
player,201610300dal,dal,WillTe01,pass_att,0,,,,,
player,201610300dal,dal,WillTe01,pass_yds,0,,,,,
player,201610300dal,dal,WillTe01,pass_td,0,,,,,
player,201610300dal,dal,WillTe01,pass_int,0,,,,,
player,201610300dal,dal,WillTe01,pass_sacked,0,,,,,
player,201610300dal,dal,WillTe01,pass_sacked_yds,0,,,,,
player,201610300dal,dal,WillTe01,pass_long,0,,,,,
player,201610300dal,dal,WillTe01,pass_rating,,,,,,
player,201610300dal,dal,WillTe01,rush_att,0,,,,,
player,201610300dal,dal,WillTe01,rush_yds,0,,,,,
player,201610300dal,dal,WillTe01,rush_td,0,,,,,
player,201610300dal,dal,WillTe01,rush_long,0,,,,,
player,201610300dal,dal,WillTe01,targets,7,,,,,
player,201610300dal,dal,WillTe01,rec,2,,,,,
player,201610300dal,dal,WillTe01,rec_yds,25,,,,,
player,201610300dal,dal,WillTe01,rec_td,0,,,,,
player,201610300dal,dal,WillTe01,rec_long,15,,,,,
player,201610300dal,dal,WillTe01,fumbles,0,,,,,
player,201610300dal,dal,WillTe01,fumbles_lost,0,,,,,
player,201610300dal,dal,ButlBr00,pass_cmp,0,,,,,
player,201610300dal,dal,ButlBr00,pass_att,0,,,,,
player,201610300dal,dal,ButlBr00,pass_yds,0,,,,,
player,201610300dal,dal,ButlBr00,pass_td,0,,,,,
player,201610300dal,dal,ButlBr00,pass_int,0,,,,,
player,201610300dal,dal,ButlBr00,pass_sacked,0,,,,,
player,201610300dal,dal,ButlBr00,pass_sacked_yds,0,,,,,
player,201610300dal,dal,ButlBr00,pass_long,0,,,,,
player,201610300dal,dal,ButlBr00,pass_rating,,,,,,
player,201610300dal,dal,ButlBr00,rush_att,0,,,,,
player,201610300dal,dal,ButlBr00,rush_yds,0,,,,,
player,201610300dal,dal,ButlBr00,rush_td,0,,,,,
player,201610300dal,dal,ButlBr00,rush_long,0,,,,,
player,201610300dal,dal,ButlBr00,targets,3,,,,,
player,201610300dal,dal,ButlBr00,rec,1,,,,,
player,201610300dal,dal,ButlBr00,rec_yds,19,,,,,
player,201610300dal,dal,ButlBr00,rec_td,0,,,,,
player,201610300dal,dal,ButlBr00,rec_long,19,,,,,
player,201610300dal,dal,ButlBr00,fumbles,0,,,,,
player,201610300dal,dal,ButlBr00,fumbles_lost,0,,,,,
player,201610300dal,dal,WittJa00,pass_cmp,0,,,,,
player,201610300dal,dal,WittJa00,pass_att,0,,,,,
player,201610300dal,dal,WittJa00,pass_yds,0,,,,,
player,201610300dal,dal,WittJa00,pass_td,0,,,,,
player,201610300dal,dal,WittJa00,pass_int,0,,,,,
player,201610300dal,dal,WittJa00,pass_sacked,0,,,,,
player,201610300dal,dal,WittJa00,pass_sacked_yds,0,,,,,
player,201610300dal,dal,WittJa00,pass_long,0,,,,,
player,201610300dal,dal,WittJa00,pass_rating,,,,,,
player,201610300dal,dal,WittJa00,rush_att,0,,,,,
player,201610300dal,dal,WittJa00,rush_yds,0,,,,,
player,201610300dal,dal,WittJa00,rush_td,0,,,,,
player,201610300dal,dal,WittJa00,rush_long,0,,,,,
player,201610300dal,dal,WittJa00,targets,3,,,,,
player,201610300dal,dal,WittJa00,rec,2,,,,,
player,201610300dal,dal,WittJa00,rec_yds,16,,,,,
player,201610300dal,dal,WittJa00,rec_td,1,,,,,
player,201610300dal,dal,WittJa00,rec_long,11,,,,,
player,201610300dal,dal,WittJa00,fumbles,0,,,,,
player,201610300dal,dal,WittJa00,fumbles_lost,0,,,,,
player,201610300dal,dal,SwaiGe00,pass_cmp,0,,,,,
player,201610300dal,dal,SwaiGe00,pass_att,0,,,,,
player,201610300dal,dal,SwaiGe00,pass_yds,0,,,,,
player,201610300dal,dal,SwaiGe00,pass_td,0,,,,,
player,201610300dal,dal,SwaiGe00,pass_int,0,,,,,
player,201610300dal,dal,SwaiGe00,pass_sacked,0,,,,,
player,201610300dal,dal,SwaiGe00,pass_sacked_yds,0,,,,,
player,201610300dal,dal,SwaiGe00,pass_long,0,,,,,
player,201610300dal,dal,SwaiGe00,pass_rating,,,,,,
