game,2016,1,20160911,201609110phi,cle,"Cleveland Browns",10,phi,"Philadelphia Eagles",29
player,201609110phi,phi,SproDa00,rush_yds,12,,,,,
player,201609110phi,phi,SproDa00,rush_td,0,,,,,
player,201609110phi,phi,SproDa00,rush_long,6,,,,,
player,201609110phi,phi,SproDa00,targets,5,,,,,
player,201609110phi,phi,SproDa00,rec,2,,,,,
player,201609110phi,phi,SproDa00,rec_yds,24,,,,,
player,201609110phi,phi,SproDa00,rec_td,0,,,,,
player,201609110phi,phi,SproDa00,rec_long,15,,,,,
player,201609110phi,phi,SproDa00,fumbles,0,,,,,
player,201609110phi,phi,SproDa00,fumbles_lost,0,,,,,
player,201609110phi,phi,SmalWe00,pass_cmp,0,,,,,
player,201609110phi,phi,SmalWe00,pass_att,0,,,,,
player,201609110phi,phi,SmalWe00,pass_yds,0,,,,,
player,201609110phi,phi,SmalWe00,pass_td,0,,,,,
player,201609110phi,phi,SmalWe00,pass_int,0,,,,,
player,201609110phi,phi,SmalWe00,pass_sacked,0,,,,,
player,201609110phi,phi,SmalWe00,pass_sacked_yds,0,,,,,
player,201609110phi,phi,SmalWe00,pass_long,0,,,,,
player,201609110phi,phi,SmalWe00,pass_rating,,,,,,
player,201609110phi,phi,SmalWe00,rush_att,1,,,,,
player,201609110phi,phi,SmalWe00,rush_yds,1,,,,,
player,201609110phi,phi,SmalWe00,rush_td,0,,,,,
player,201609110phi,phi,SmalWe00,rush_long,1,,,,,
player,201609110phi,phi,SmalWe00,targets,0,,,,,
player,201609110phi,phi,SmalWe00,rec,0,,,,,
player,201609110phi,phi,SmalWe00,rec_yds,0,,,,,
player,201609110phi,phi,SmalWe00,rec_td,0,,,,,
player,201609110phi,phi,SmalWe00,rec_long,0,,,,,
player,201609110phi,phi,SmalWe00,fumbles,0,,,,,
player,201609110phi,phi,SmalWe00,fumbles_lost,0,,,,,
player,201609110phi,phi,MattJo00,pass_cmp,0,,,,,
player,201609110phi,phi,MattJo00,pass_att,0,,,,,
player,201609110phi,phi,MattJo00,pass_yds,0,,,,,
player,201609110phi,phi,MattJo00,pass_td,0,,,,,
player,201609110phi,phi,MattJo00,pass_int,0,,,,,
player,201609110phi,phi,MattJo00,pass_sacked,0,,,,,
player,201609110phi,phi,MattJo00,pass_sacked_yds,0,,,,,
player,201609110phi,phi,MattJo00,pass_long,0,,,,,
player,201609110phi,phi,MattJo00,pass_rating,,,,,,
player,201609110phi,phi,MattJo00,rush_att,0,,,,,
player,201609110phi,phi,MattJo00,rush_yds,0,,,,,
player,201609110phi,phi,MattJo00,rush_td,0,,,,,
player,201609110phi,phi,MattJo00,rush_long,0,,,,,
player,201609110phi,phi,MattJo00,targets,14,,,,,
player,201609110phi,phi,MattJo00,rec,7,,,,,
player,201609110phi,phi,MattJo00,rec_yds,114,,,,,
player,201609110phi,phi,MattJo00,rec_td,1,,,,,
player,201609110phi,phi,MattJo00,rec_long,28,,,,,
player,201609110phi,phi,MattJo00,fumbles,0,,,,,
player,201609110phi,phi,MattJo00,fumbles_lost,0,,,,,
player,201609110phi,phi,ErtzZa00,pass_cmp,0,,,,,
player,201609110phi,phi,ErtzZa00,pass_att,0,,,,,
player,201609110phi,phi,ErtzZa00,pass_yds,0,,,,,
player,201609110phi,phi,ErtzZa00,pass_td,0,,,,,
player,201609110phi,phi,ErtzZa00,pass_int,0,,,,,
player,201609110phi,phi,ErtzZa00,pass_sacked,0,,,,,
player,201609110phi,phi,ErtzZa00,pass_sacked_yds,0,,,,,
player,201609110phi,phi,ErtzZa00,pass_long,0,,,,,
player,201609110phi,phi,ErtzZa00,pass_rating,,,,,,
player,201609110phi,phi,ErtzZa00,rush_att,0,,,,,
player,201609110phi,phi,ErtzZa00,rush_yds,0,,,,,
player,201609110phi,phi,ErtzZa00,rush_td,0,,,,,
player,201609110phi,phi,ErtzZa00,rush_long,0,,,,,
player,201609110phi,phi,ErtzZa00,targets,7,,,,,
player,201609110phi,phi,ErtzZa00,rec,6,,,,,
player,201609110phi,phi,ErtzZa00,rec_yds,58,,,,,
player,201609110phi,phi,ErtzZa00,rec_td,0,,,,,
player,201609110phi,phi,ErtzZa00,rec_long,15,,,,,
player,201609110phi,phi,ErtzZa00,fumbles,0,,,,,
player,201609110phi,phi,ErtzZa00,fumbles_lost,0,,,,,
player,201609110phi,phi,AghoNe00,pass_cmp,0,,,,,
player,201609110phi,phi,AghoNe00,pass_att,0,,,,,
