game,2016,14,20161212,201612120nwe,rav,"Baltimore Ravens",23,nwe,"New England Patriots",30
player,201612120nwe,nwe,LewiDi00,rec_long,5,,,,,
player,201612120nwe,nwe,LewiDi00,fumbles,0,,,,,
player,201612120nwe,nwe,LewiDi00,fumbles_lost,0,,,,,
player,201612120nwe,nwe,HogaCh00,pass_cmp,0,,,,,
player,201612120nwe,nwe,HogaCh00,pass_att,0,,,,,
player,201612120nwe,nwe,HogaCh00,pass_yds,0,,,,,
player,201612120nwe,nwe,HogaCh00,pass_td,0,,,,,
player,201612120nwe,nwe,HogaCh00,pass_int,0,,,,,
player,201612120nwe,nwe,HogaCh00,pass_sacked,0,,,,,
player,201612120nwe,nwe,HogaCh00,pass_sacked_yds,0,,,,,
player,201612120nwe,nwe,HogaCh00,pass_long,0,,,,,
player,201612120nwe,nwe,HogaCh00,pass_rating,,,,,,
player,201612120nwe,nwe,HogaCh00,rush_att,2,,,,,
player,201612120nwe,nwe,HogaCh00,rush_yds,7,,,,,
player,201612120nwe,nwe,HogaCh00,rush_td,0,,,,,
player,201612120nwe,nwe,HogaCh00,rush_long,6,,,,,
player,201612120nwe,nwe,HogaCh00,targets,7,,,,,
player,201612120nwe,nwe,HogaCh00,rec,5,,,,,
player,201612120nwe,nwe,HogaCh00,rec_yds,129,,,,,
player,201612120nwe,nwe,HogaCh00,rec_td,1,,,,,
player,201612120nwe,nwe,HogaCh00,rec_long,79,,,,,
player,201612120nwe,nwe,HogaCh00,fumbles,0,,,,,
player,201612120nwe,nwe,HogaCh00,fumbles_lost,0,,,,,
player,201612120nwe,nwe,WhitJa02,pass_cmp,0,,,,,
player,201612120nwe,nwe,WhitJa02,pass_att,0,,,,,
player,201612120nwe,nwe,WhitJa02,pass_yds,0,,,,,
player,201612120nwe,nwe,WhitJa02,pass_td,0,,,,,
player,201612120nwe,nwe,WhitJa02,pass_int,0,,,,,
player,201612120nwe,nwe,WhitJa02,pass_sacked,0,,,,,
player,201612120nwe,nwe,WhitJa02,pass_sacked_yds,0,,,,,
player,201612120nwe,nwe,WhitJa02,pass_long,0,,,,,
player,201612120nwe,nwe,WhitJa02,pass_rating,,,,,,
player,201612120nwe,nwe,WhitJa02,rush_att,2,,,,,
