game,2016,15,20161218,201612180dal,tam,"Tampa Bay Buccaneers",20,dal,"Dallas Cowboys",26
player,201612180dal,tam,HargVe00,tackles_loss,0,,,,,
player,201612180dal,tam,HargVe00,qb_hits,0,,,,,
player,201612180dal,tam,HargVe00,fumbles_rec,0,,,,,
player,201612180dal,tam,HargVe00,fumbles_rec_yds,0,,,,,
player,201612180dal,tam,HargVe00,fumbles_rec_td,0,,,,,
player,201612180dal,tam,HargVe00,fumbles_forced,0,,,,,
player,201612180dal,tam,RobiJo01,def_int,0,,,,,
player,201612180dal,tam,RobiJo01,def_int_yds,0,,,,,
player,201612180dal,tam,RobiJo01,def_int_td,0,,,,,
player,201612180dal,tam,RobiJo01,def_int_long,0,,,,,
player,201612180dal,tam,RobiJo01,pass_defended,0,,,,,
player,201612180dal,tam,RobiJo01,sacks,0.0,,,,,
player,201612180dal,tam,RobiJo01,tackles_combined,2,,,,,
player,201612180dal,tam,RobiJo01,tackles_solo,2,,,,,
player,201612180dal,tam,RobiJo01,tackles_assists,0,,,,,
player,201612180dal,tam,RobiJo01,tackles_loss,0,,,,,
player,201612180dal,tam,RobiJo01,qb_hits,0,,,,,
player,201612180dal,tam,RobiJo01,fumbles_rec,0,,,,,
player,201612180dal,tam,RobiJo01,fumbles_rec_yds,0,,,,,
player,201612180dal,tam,RobiJo01,fumbles_rec_td,0,,,,,
player,201612180dal,tam,RobiJo01,fumbles_forced,0,,,,,
player,201612180dal,tam,BarbPe01,def_int,0,,,,,
player,201612180dal,tam,BarbPe01,def_int_yds,0,,,,,
player,201612180dal,tam,BarbPe01,def_int_td,0,,,,,
player,201612180dal,tam,BarbPe01,def_int_long,0,,,,,
player,201612180dal,tam,BarbPe01,pass_defended,0,,,,,
player,201612180dal,tam,BarbPe01,sacks,0.0,,,,,
player,201612180dal,tam,BarbPe01,tackles_combined,1,,,,,
player,201612180dal,tam,BarbPe01,tackles_solo,0,,,,,
player,201612180dal,tam,BarbPe01,tackles_assists,1,,,,,
player,201612180dal,tam,BarbPe01,tackles_loss,0,,,,,
player,201612180dal,tam,BarbPe01,qb_hits,0,,,,,
player,201612180dal,tam,BarbPe01,fumbles_rec,0,,,,,
player,201612180dal,tam,BarbPe01,fumbles_rec_yds,0,,,,,
player,201612180dal,tam,BarbPe01,fumbles_rec_td,0,,,,,
player,201612180dal,tam,BarbPe01,fumbles_forced,0,,,,,
player,201612180dal,tam,ContCh00,def_int,0,,,,,
player,201612180dal,tam,ContCh00,def_int_yds,0,,,,,
player,201612180dal,tam,ContCh00,def_int_td,0,,,,,
player,201612180dal,tam,ContCh00,def_int_long,0,,,,,
player,201612180dal,tam,ContCh00,pass_defended,0,,,,,
player,201612180dal,tam,ContCh00,sacks,0.0,,,,,
player,201612180dal,tam,ContCh00,tackles_combined,1,,,,,
player,201612180dal,tam,ContCh00,tackles_solo,1,,,,,
player,201612180dal,tam,ContCh00,tackles_assists,0,,,,,
player,201612180dal,tam,ContCh00,tackles_loss,0,,,,,
player,201612180dal,tam,ContCh00,qb_hits,0,,,,,
player,201612180dal,tam,ContCh00,fumbles_rec,0,,,,,
player,201612180dal,tam,ContCh00,fumbles_rec_yds,0,,,,,
player,201612180dal,tam,ContCh00,fumbles_rec_td,0,,,,,
player,201612180dal,tam,ContCh00,fumbles_forced,0,,,,,
player,201612180dal,tam,SmitDa24,def_int,0,,,,,
player,201612180dal,tam,SmitDa24,def_int_yds,0,,,,,
player,201612180dal,tam,SmitDa24,def_int_td,0,,,,,
player,201612180dal,tam,SmitDa24,def_int_long,0,,,,,
player,201612180dal,tam,SmitDa24,pass_defended,0,,,,,
player,201612180dal,tam,SmitDa24,sacks,0.0,,,,,
player,201612180dal,tam,SmitDa24,tackles_combined,1,,,,,
player,201612180dal,tam,SmitDa24,tackles_solo,1,,,,,
player,201612180dal,tam,SmitDa24,tackles_assists,0,,,,,
player,201612180dal,tam,SmitDa24,tackles_loss,0,,,,,
player,201612180dal,tam,SmitDa24,qb_hits,0,,,,,
player,201612180dal,tam,SmitDa24,fumbles_rec,0,,,,,
player,201612180dal,tam,SmitDa24,fumbles_rec_yds,0,,,,,
player,201612180dal,tam,SmitDa24,fumbles_rec_td,0,,,,,
player,201612180dal,tam,SmitDa24,fumbles_forced,0,,,,,
player,201612180dal,tam,RussRy00,def_int,0,,,,,
player,201612180dal,tam,RussRy00,def_int_yds,0,,,,,
player,201612180dal,tam,RussRy00,def_int_td,0,,,,,
player,201612180dal,tam,RussRy00,def_int_long,0,,,,,
player,201612180dal,tam,RussRy00,pass_defended,0,,,,,
player,201612180dal,tam,RussRy00,sacks,0.0,,,,,
player,201612180dal,tam,RussRy00,tackles_combined,0,,,,,
player,201612180dal,tam,RussRy00,tackles_solo,0,,,,,
player,201612180dal,tam,RussRy00,tackles_assists,0,,,,,
player,201612180dal,tam,RussRy00,tackles_loss,0,,,,,
player,201612180dal,tam,RussRy00,qb_hits,1,,,,,
player,201612180dal,tam,RussRy00,fumbles_rec,0,,,,,
player,201612180dal,tam,RussRy00,fumbles_rec_yds,0,,,,,
player,201612180dal,tam,RussRy00,fumbles_rec_td,0,,,,,
player,201612180dal,tam,RussRy00,fumbles_forced,0,,,,,
player,201612180dal,tam,WestLe00,def_int,0,,,,,
player,201612180dal,tam,WestLe00,def_int_yds,0,,,,,
player,201612180dal,tam,WestLe00,def_int_td,0,,,,,
player,201612180dal,tam,WestLe00,def_int_long,0,,,,,
player,201612180dal,tam,WestLe00,pass_defended,0,,,,,
player,201612180dal,tam,WestLe00,sacks,0.0,,,,,
player,201612180dal,tam,WestLe00,tackles_combined,0,,,,,
player,201612180dal,tam,WestLe00,tackles_solo,0,,,,,
player,201612180dal,tam,WestLe00,tackles_assists,0,,,,,
player,201612180dal,tam,WestLe00,tackles_loss,,,,,,
player,201612180dal,tam,WestLe00,qb_hits,,,,,,
player,201612180dal,tam,WestLe00,fumbles_rec,1,,,,,
player,201612180dal,tam,WestLe00,fumbles_rec_yds,0,,,,,
player,201612180dal,tam,WestLe00,fumbles_rec_td,0,,,,,
player,201612180dal,tam,WestLe00,fumbles_forced,0,,,,,
player,201612180dal,dal,JoneBy00,def_int,1,,,,,
player,201612180dal,dal,JoneBy00,def_int_yds,7,,,,,
player,201612180dal,dal,JoneBy00,def_int_td,0,,,,,
player,201612180dal,dal,JoneBy00,def_int_long,7,,,,,
player,201612180dal,dal,JoneBy00,pass_defended,2,,,,,
player,201612180dal,dal,JoneBy00,sacks,0.0,,,,,
player,201612180dal,dal,JoneBy00,tackles_combined,7,,,,,
player,201612180dal,dal,JoneBy00,tackles_solo,4,,,,,
player,201612180dal,dal,JoneBy00,tackles_assists,3,,,,,
player,201612180dal,dal,JoneBy00,tackles_loss,1,,,,,
player,201612180dal,dal,JoneBy00,qb_hits,0,,,,,
player,201612180dal,dal,JoneBy00,fumbles_rec,0,,,,,
player,201612180dal,dal,JoneBy00,fumbles_rec_yds,0,,,,,
player,201612180dal,dal,JoneBy00,fumbles_rec_td,0,,,,,
player,201612180dal,dal,JoneBy00,fumbles_forced,0,,,,,
player,201612180dal,dal,HeatJe00,def_int,1,,,,,
player,201612180dal,dal,HeatJe00,def_int_yds,19,,,,,
player,201612180dal,dal,HeatJe00,def_int_td,0,,,,,
player,201612180dal,dal,HeatJe00,def_int_long,19,,,,,
player,201612180dal,dal,HeatJe00,pass_defended,1,,,,,
player,201612180dal,dal,HeatJe00,sacks,0.0,,,,,
player,201612180dal,dal,HeatJe00,tackles_combined,1,,,,,
player,201612180dal,dal,HeatJe00,tackles_solo,1,,,,,
player,201612180dal,dal,HeatJe00,tackles_assists,0,,,,,
player,201612180dal,dal,HeatJe00,tackles_loss,0,,,,,
player,201612180dal,dal,HeatJe00,qb_hits,0,,,,,
player,201612180dal,dal,HeatJe00,fumbles_rec,0,,,,,
player,201612180dal,dal,HeatJe00,fumbles_rec_yds,0,,,,,
player,201612180dal,dal,HeatJe00,fumbles_rec_td,0,,,,,
player,201612180dal,dal,HeatJe00,fumbles_forced,0,,,,,
player,201612180dal,dal,ScanOr99,def_int,1,,,,,
player,201612180dal,dal,ScanOr99,def_int_yds,0,,,,,
player,201612180dal,dal,ScanOr99,def_int_td,0,,,,,
player,201612180dal,dal,ScanOr99,def_int_long,0,,,,,
player,201612180dal,dal,ScanOr99,pass_defended,3,,,,,
player,201612180dal,dal,ScanOr99,sacks,0.0,,,,,
player,201612180dal,dal,ScanOr99,tackles_combined,1,,,,,
player,201612180dal,dal,ScanOr99,tackles_solo,1,,,,,
player,201612180dal,dal,ScanOr99,tackles_assists,0,,,,,
player,201612180dal,dal,ScanOr99,tackles_loss,0,,,,,
player,201612180dal,dal,ScanOr99,qb_hits,0,,,,,
player,201612180dal,dal,ScanOr99,fumbles_rec,0,,,,,
player,201612180dal,dal,ScanOr99,fumbles_rec_yds,0,,,,,
player,201612180dal,dal,ScanOr99,fumbles_rec_td,0,,,,,
player,201612180dal,dal,ScanOr99,fumbles_forced,0,,,,,
player,201612180dal,dal,IrviDa00,def_int,0,,,,,
player,201612180dal,dal,IrviDa00,def_int_yds,0,,,,,
player,201612180dal,dal,IrviDa00,def_int_td,0,,,,,
player,201612180dal,dal,IrviDa00,def_int_long,0,,,,,
player,201612180dal,dal,IrviDa00,pass_defended,1,,,,,
player,201612180dal,dal,IrviDa00,sacks,1.5,,,,,
player,201612180dal,dal,IrviDa00,tackles_combined,2,,,,,
player,201612180dal,dal,IrviDa00,tackles_solo,1,,,,,
player,201612180dal,dal,IrviDa00,tackles_assists,1,,,,,
player,201612180dal,dal,IrviDa00,tackles_loss,1,,,,,
player,201612180dal,dal,IrviDa00,qb_hits,5,,,,,
player,201612180dal,dal,IrviDa00,fumbles_rec,0,,,,,
player,201612180dal,dal,IrviDa00,fumbles_rec_yds,0,,,,,
player,201612180dal,dal,IrviDa00,fumbles_rec_td,0,,,,,
player,201612180dal,dal,IrviDa00,fumbles_forced,0,,,,,
player,201612180dal,dal,McClTe00,def_int,0,,,,,
player,201612180dal,dal,McClTe00,def_int_yds,0,,,,,
player,201612180dal,dal,McClTe00,def_int_td,0,,,,,
player,201612180dal,dal,McClTe00,def_int_long,0,,,,,
player,201612180dal,dal,McClTe00,pass_defended,0,,,,,
player,201612180dal,dal,McClTe00,sacks,1.0,,,,,
player,201612180dal,dal,McClTe00,tackles_combined,2,,,,,
player,201612180dal,dal,McClTe00,tackles_solo,1,,,,,
player,201612180dal,dal,McClTe00,tackles_assists,1,,,,,
player,201612180dal,dal,McClTe00,tackles_loss,0,,,,,
player,201612180dal,dal,McClTe00,qb_hits,1,,,,,
player,201612180dal,dal,McClTe00,fumbles_rec,0,,,,,
player,201612180dal,dal,McClTe00,fumbles_rec_yds,0,,,,,
player,201612180dal,dal,McClTe00,fumbles_rec_td,0,,,,,
player,201612180dal,dal,McClTe00,fumbles_forced,1,,,,,
player,201612180dal,dal,CollMa00,def_int,0,,,,,
