game,2016,12,20161128,201611280phi,gnb,"Green Bay Packers",27,phi,"Philadelphia Eagles",13
player,201611280phi,gnb,CookJa02,rush_td,0,,,,,
player,201611280phi,gnb,CookJa02,rush_long,0,,,,,
player,201611280phi,gnb,CookJa02,targets,2,,,,,
player,201611280phi,gnb,CookJa02,rec,1,,,,,
player,201611280phi,gnb,CookJa02,rec_yds,7,,,,,
player,201611280phi,gnb,CookJa02,rec_td,0,,,,,
player,201611280phi,gnb,CookJa02,rec_long,7,,,,,
player,201611280phi,gnb,CookJa02,fumbles,0,,,,,
player,201611280phi,gnb,CookJa02,fumbles_lost,0,,,,,
player,201611280phi,gnb,RodgRi00,pass_cmp,0,,,,,
player,201611280phi,gnb,RodgRi00,pass_att,0,,,,,
player,201611280phi,gnb,RodgRi00,pass_yds,0,,,,,
player,201611280phi,gnb,RodgRi00,pass_td,0,,,,,
player,201611280phi,gnb,RodgRi00,pass_int,0,,,,,
player,201611280phi,gnb,RodgRi00,pass_sacked,0,,,,,
player,201611280phi,gnb,RodgRi00,pass_sacked_yds,0,,,,,
player,201611280phi,gnb,RodgRi00,pass_long,0,,,,,
player,201611280phi,gnb,RodgRi00,pass_rating,,,,,,
player,201611280phi,gnb,RodgRi00,rush_att,0,,,,,
player,201611280phi,gnb,RodgRi00,rush_yds,0,,,,,
player,201611280phi,gnb,RodgRi00,rush_td,0,,,,,
player,201611280phi,gnb,RodgRi00,rush_long,0,,,,,
player,201611280phi,gnb,RodgRi00,targets,1,,,,,
player,201611280phi,gnb,RodgRi00,rec,0,,,,,
player,201611280phi,gnb,RodgRi00,rec_yds,0,,,,,
player,201611280phi,gnb,RodgRi00,rec_td,0,,,,,
player,201611280phi,gnb,RodgRi00,rec_long,0,,,,,
player,201611280phi,gnb,RodgRi00,fumbles,0,,,,,
player,201611280phi,gnb,RodgRi00,fumbles_lost,0,,,,,
player,201611280phi,phi,WentCa00,pass_cmp,24,,,,,
player,201611280phi,phi,WentCa00,pass_att,36,,,,,
player,201611280phi,phi,WentCa00,pass_yds,254,,,,,
player,201611280phi,phi,WentCa00,pass_td,0,,,,,
player,201611280phi,phi,WentCa00,pass_int,1,,,,,
player,201611280phi,phi,WentCa00,pass_sacked,4,,,,,
player,201611280phi,phi,WentCa00,pass_sacked_yds,43,,,,,
player,201611280phi,phi,WentCa00,pass_long,24,,,,,
player,201611280phi,phi,WentCa00,pass_rating,75.5,,,,,
player,201611280phi,phi,WentCa00,rush_att,4,,,,,
player,201611280phi,phi,WentCa00,rush_yds,33,,,,,
player,201611280phi,phi,WentCa00,rush_td,1,,,,,
player,201611280phi,phi,WentCa00,rush_long,17,,,,,
player,201611280phi,phi,WentCa00,targets,0,,,,,
player,201611280phi,phi,WentCa00,rec,0,,,,,
player,201611280phi,phi,WentCa00,rec_yds,0,,,,,
player,201611280phi,phi,WentCa00,rec_td,0,,,,,
player,201611280phi,phi,WentCa00,rec_long,0,,,,,
player,201611280phi,phi,WentCa00,fumbles,0,,,,,
player,201611280phi,phi,WentCa00,fumbles_lost,0,,,,,
player,201611280phi,phi,SmalWe00,pass_cmp,0,,,,,
player,201611280phi,phi,SmalWe00,pass_att,0,,,,,
player,201611280phi,phi,SmalWe00,pass_yds,0,,,,,
player,201611280phi,phi,SmalWe00,pass_td,0,,,,,
player,201611280phi,phi,SmalWe00,pass_int,0,,,,,
player,201611280phi,phi,SmalWe00,pass_sacked,0,,,,,
player,201611280phi,phi,SmalWe00,pass_sacked_yds,0,,,,,
player,201611280phi,phi,SmalWe00,pass_long,0,,,,,
player,201611280phi,phi,SmalWe00,pass_rating,,,,,,
player,201611280phi,phi,SmalWe00,rush_att,9,,,,,
player,201611280phi,phi,SmalWe00,rush_yds,37,,,,,
player,201611280phi,phi,SmalWe00,rush_td,0,,,,,
player,201611280phi,phi,SmalWe00,rush_long,9,,,,,
player,201611280phi,phi,SmalWe00,targets,1,,,,,
player,201611280phi,phi,SmalWe00,rec,1,,,,,
player,201611280phi,phi,SmalWe00,rec_yds,10,,,,,
player,201611280phi,phi,SmalWe00,rec_td,0,,,,,
player,201611280phi,phi,SmalWe00,rec_long,10,,,,,
player,201611280phi,phi,SmalWe00,fumbles,0,,,,,
player,201611280phi,phi,SmalWe00,fumbles_lost,0,,,,,
player,201611280phi,phi,SproDa00,pass_cmp,0,,,,,
player,201611280phi,phi,SproDa00,pass_att,0,,,,,
player,201611280phi,phi,SproDa00,pass_yds,0,,,,,
player,201611280phi,phi,SproDa00,pass_td,0,,,,,
player,201611280phi,phi,SproDa00,pass_int,0,,,,,
player,201611280phi,phi,SproDa00,pass_sacked,0,,,,,
player,201611280phi,phi,SproDa00,pass_sacked_yds,0,,,,,
player,201611280phi,phi,SproDa00,pass_long,0,,,,,
player,201611280phi,phi,SproDa00,pass_rating,,,,,,
player,201611280phi,phi,SproDa00,rush_att,3,,,,,
player,201611280phi,phi,SproDa00,rush_yds,6,,,,,
player,201611280phi,phi,SproDa00,rush_td,0,,,,,
player,201611280phi,phi,SproDa00,rush_long,3,,,,,
player,201611280phi,phi,SproDa00,targets,7,,,,,
player,201611280phi,phi,SproDa00,rec,5,,,,,
player,201611280phi,phi,SproDa00,rec_yds,48,,,,,
player,201611280phi,phi,SproDa00,rec_td,0,,,,,
player,201611280phi,phi,SproDa00,rec_long,17,,,,,
player,201611280phi,phi,SproDa00,fumbles,0,,,,,
player,201611280phi,phi,SproDa00,fumbles_lost,0,,,,,
player,201611280phi,phi,TregBr00,pass_cmp,0,,,,,
player,201611280phi,phi,TregBr00,pass_att,0,,,,,
player,201611280phi,phi,TregBr00,pass_yds,0,,,,,
player,201611280phi,phi,TregBr00,pass_td,0,,,,,
player,201611280phi,phi,TregBr00,pass_int,0,,,,,
player,201611280phi,phi,TregBr00,pass_sacked,0,,,,,
player,201611280phi,phi,TregBr00,pass_sacked_yds,0,,,,,
player,201611280phi,phi,TregBr00,pass_long,0,,,,,
player,201611280phi,phi,TregBr00,pass_rating,,,,,,
player,201611280phi,phi,TregBr00,rush_att,1,,,,,
player,201611280phi,phi,TregBr00,rush_yds,3,,,,,
player,201611280phi,phi,TregBr00,rush_td,0,,,,,
player,201611280phi,phi,TregBr00,rush_long,3,,,,,
player,201611280phi,phi,TregBr00,targets,3,,,,,
player,201611280phi,phi,TregBr00,rec,1,,,,,
player,201611280phi,phi,TregBr00,rec_yds,11,,,,,
player,201611280phi,phi,TregBr00,rec_td,0,,,,,
player,201611280phi,phi,TregBr00,rec_long,11,,,,,
player,201611280phi,phi,TregBr00,fumbles,0,,,,,
player,201611280phi,phi,TregBr00,fumbles_lost,0,,,,,
player,201611280phi,phi,BarnKe00,pass_cmp,0,,,,,
player,201611280phi,phi,BarnKe00,pass_att,0,,,,,
player,201611280phi,phi,BarnKe00,pass_yds,0,,,,,
player,201611280phi,phi,BarnKe00,pass_td,0,,,,,
player,201611280phi,phi,BarnKe00,pass_int,0,,,,,
player,201611280phi,phi,BarnKe00,pass_sacked,0,,,,,
player,201611280phi,phi,BarnKe00,pass_sacked_yds,0,,,,,
player,201611280phi,phi,BarnKe00,pass_long,0,,,,,
player,201611280phi,phi,BarnKe00,pass_rating,,,,,,
player,201611280phi,phi,BarnKe00,rush_att,1,,,,,
player,201611280phi,phi,BarnKe00,rush_yds,2,,,,,
player,201611280phi,phi,BarnKe00,rush_td,0,,,,,
player,201611280phi,phi,BarnKe00,rush_long,2,,,,,
player,201611280phi,phi,BarnKe00,targets,1,,,,,
player,201611280phi,phi,BarnKe00,rec,1,,,,,
player,201611280phi,phi,BarnKe00,rec_yds,10,,,,,
player,201611280phi,phi,BarnKe00,rec_td,0,,,,,
player,201611280phi,phi,BarnKe00,rec_long,10,,,,,
player,201611280phi,phi,BarnKe00,fumbles,0,,,,,
player,201611280phi,phi,BarnKe00,fumbles_lost,0,,,,,
player,201611280phi,phi,GreeDo00,pass_cmp,0,,,,,
player,201611280phi,phi,GreeDo00,pass_att,0,,,,,
player,201611280phi,phi,GreeDo00,pass_yds,0,,,,,
player,201611280phi,phi,GreeDo00,pass_td,0,,,,,
player,201611280phi,phi,GreeDo00,pass_int,0,,,,,
player,201611280phi,phi,GreeDo00,pass_sacked,0,,,,,
player,201611280phi,phi,GreeDo00,pass_sacked_yds,0,,,,,
player,201611280phi,phi,GreeDo00,pass_long,0,,,,,
player,201611280phi,phi,GreeDo00,pass_rating,,,,,,
player,201611280phi,phi,GreeDo00,rush_att,0,,,,,
player,201611280phi,phi,GreeDo00,rush_yds,0,,,,,
player,201611280phi,phi,GreeDo00,rush_td,0,,,,,
player,201611280phi,phi,GreeDo00,rush_long,0,,,,,
player,201611280phi,phi,GreeDo00,targets,10,,,,,
player,201611280phi,phi,GreeDo00,rec,6,,,,,
player,201611280phi,phi,GreeDo00,rec_yds,82,,,,,
player,201611280phi,phi,GreeDo00,rec_td,0,,,,,
player,201611280phi,phi,GreeDo00,rec_long,24,,,,,
player,201611280phi,phi,GreeDo00,fumbles,0,,,,,
player,201611280phi,phi,GreeDo00,fumbles_lost,0,,,,,
player,201611280phi,phi,MattJo00,pass_cmp,0,,,,,
player,201611280phi,phi,MattJo00,pass_att,0,,,,,
player,201611280phi,phi,MattJo00,pass_yds,0,,,,,
player,201611280phi,phi,MattJo00,pass_td,0,,,,,
