game,2016,3,20160925,201609250phi,pit,"Pittsburgh Steelers",3,phi,"Philadelphia Eagles",34
player,201609250phi,phi,AghoNe00,fumbles_lost,0,,,,,
player,201609250phi,phi,HuffJo00,pass_cmp,0,,,,,
player,201609250phi,phi,HuffJo00,pass_att,0,,,,,
player,201609250phi,phi,HuffJo00,pass_yds,0,,,,,
player,201609250phi,phi,HuffJo00,pass_td,0,,,,,
player,201609250phi,phi,HuffJo00,pass_int,0,,,,,
player,201609250phi,phi,HuffJo00,pass_sacked,0,,,,,
player,201609250phi,phi,HuffJo00,pass_sacked_yds,0,,,,,
player,201609250phi,phi,HuffJo00,pass_long,0,,,,,
player,201609250phi,phi,HuffJo00,pass_rating,,,,,,
player,201609250phi,phi,HuffJo00,rush_att,0,,,,,
player,201609250phi,phi,HuffJo00,rush_yds,0,,,,,
player,201609250phi,phi,HuffJo00,rush_td,0,,,,,
player,201609250phi,phi,HuffJo00,rush_long,0,,,,,
player,201609250phi,phi,HuffJo00,targets,5,,,,,
player,201609250phi,phi,HuffJo00,rec,4,,,,,
player,201609250phi,phi,HuffJo00,rec_yds,20,,,,,
player,201609250phi,phi,HuffJo00,rec_td,0,,,,,
player,201609250phi,phi,HuffJo00,rec_long,11,,,,,
player,201609250phi,phi,HuffJo00,fumbles,0,,,,,
player,201609250phi,phi,HuffJo00,fumbles_lost,0,,,,,
player,201609250phi,phi,MattJo00,pass_cmp,0,,,,,
player,201609250phi,phi,MattJo00,pass_att,0,,,,,
player,201609250phi,phi,MattJo00,pass_yds,0,,,,,
player,201609250phi,phi,MattJo00,pass_td,0,,,,,
player,201609250phi,phi,MattJo00,pass_int,0,,,,,
player,201609250phi,phi,MattJo00,pass_sacked,0,,,,,
player,201609250phi,phi,MattJo00,pass_sacked_yds,0,,,,,
player,201609250phi,phi,MattJo00,pass_long,0,,,,,
player,201609250phi,phi,MattJo00,pass_rating,,,,,,
player,201609250phi,phi,MattJo00,rush_att,0,,,,,
player,201609250phi,phi,MattJo00,rush_yds,0,,,,,
player,201609250phi,phi,MattJo00,rush_td,0,,,,,
player,201609250phi,phi,MattJo00,rush_long,0,,,,,
player,201609250phi,phi,MattJo00,targets,3,,,,,
player,201609250phi,phi,MattJo00,rec,2,,,,,
player,201609250phi,phi,MattJo00,rec_yds,19,,,,,
player,201609250phi,phi,MattJo00,rec_td,1,,,,,
player,201609250phi,phi,MattJo00,rec_long,12,,,,,
player,201609250phi,phi,MattJo00,fumbles,0,,,,,
player,201609250phi,phi,MattJo00,fumbles_lost,0,,,,,
player,201609250phi,phi,BurtTr01,pass_cmp,0,,,,,
player,201609250phi,phi,BurtTr01,pass_att,0,,,,,
player,201609250phi,phi,BurtTr01,pass_yds,0,,,,,
player,201609250phi,phi,BurtTr01,pass_td,0,,,,,
player,201609250phi,phi,BurtTr01,pass_int,0,,,,,
player,201609250phi,phi,BurtTr01,pass_sacked,0,,,,,
player,201609250phi,phi,BurtTr01,pass_sacked_yds,0,,,,,
player,201609250phi,phi,BurtTr01,pass_long,0,,,,,
player,201609250phi,phi,BurtTr01,pass_rating,,,,,,
player,201609250phi,phi,BurtTr01,rush_att,0,,,,,
player,201609250phi,phi,BurtTr01,rush_yds,0,,,,,
player,201609250phi,phi,BurtTr01,rush_td,0,,,,,
player,201609250phi,phi,BurtTr01,rush_long,0,,,,,
player,201609250phi,phi,BurtTr01,targets,6,,,,,
player,201609250phi,phi,BurtTr01,rec,2,,,,,
player,201609250phi,phi,BurtTr01,rec_yds,19,,,,,
player,201609250phi,phi,BurtTr01,rec_td,0,,,,,
