game,2019,9,20191103,201911030car,oti,"Tennessee Titans",20,car,"Carolina Panthers",30
player,201911030car,car,JoneCo01,rec_long,0,,,,,
player,201911030car,car,JoneCo01,fumbles,0,,,,,
player,201911030car,car,JoneCo01,fumbles_lost,0,,,,,
player,201911030car,car,MoorD.00,pass_cmp,0,,,,,
player,201911030car,car,MoorD.00,pass_att,0,,,,,
player,201911030car,car,MoorD.00,pass_yds,0,,,,,
player,201911030car,car,MoorD.00,pass_td,0,,,,,
player,201911030car,car,MoorD.00,pass_int,0,,,,,
player,201911030car,car,MoorD.00,pass_sacked,0,,,,,
player,201911030car,car,MoorD.00,pass_sacked_yds,0,,,,,
player,201911030car,car,MoorD.00,pass_long,0,,,,,
player,201911030car,car,MoorD.00,pass_rating,,,,,,
player,201911030car,car,MoorD.00,rush_att,0,,,,,
player,201911030car,car,MoorD.00,rush_yds,0,,,,,
player,201911030car,car,MoorD.00,rush_td,0,,,,,
player,201911030car,car,MoorD.00,rush_long,0,,,,,
player,201911030car,car,MoorD.00,targets,10,,,,,
player,201911030car,car,MoorD.00,rec,7,,,,,
player,201911030car,car,MoorD.00,rec_yds,101,,,,,
player,201911030car,car,MoorD.00,rec_td,0,,,,,
player,201911030car,car,MoorD.00,rec_long,32,,,,,
player,201911030car,car,MoorD.00,fumbles,0,,,,,
player,201911030car,car,MoorD.00,fumbles_lost,0,,,,,
player,201911030car,car,OlseGr00,pass_cmp,0,,,,,
player,201911030car,car,OlseGr00,pass_att,0,,,,,
player,201911030car,car,OlseGr00,pass_yds,0,,,,,
player,201911030car,car,OlseGr00,pass_td,0,,,,,
player,201911030car,car,OlseGr00,pass_int,0,,,,,
player,201911030car,car,OlseGr00,pass_sacked,0,,,,,
player,201911030car,car,OlseGr00,pass_sacked_yds,0,,,,,
player,201911030car,car,OlseGr00,pass_long,0,,,,,
player,201911030car,car,OlseGr00,pass_rating,,,,,,
player,201911030car,car,OlseGr00,rush_att,0,,,,,
player,201911030car,car,OlseGr00,rush_yds,0,,,,,
player,201911030car,car,OlseGr00,rush_td,0,,,,,
player,201911030car,car,OlseGr00,rush_long,0,,,,,
player,201911030car,car,OlseGr00,targets,5,,,,,
player,201911030car,car,OlseGr00,rec,3,,,,,
player,201911030car,car,OlseGr00,rec_yds,40,,,,,
player,201911030car,car,OlseGr00,rec_td,0,,,,,
player,201911030car,car,OlseGr00,rec_long,23,,,,,
player,201911030car,car,OlseGr00,fumbles,0,,,,,
player,201911030car,car,OlseGr00,fumbles_lost,0,,,,,
player,201911030car,car,WrigJa02,pass_cmp,0,,,,,
player,201911030car,car,WrigJa02,pass_att,0,,,,,
player,201911030car,car,WrigJa02,pass_yds,0,,,,,
player,201911030car,car,WrigJa02,pass_td,0,,,,,
player,201911030car,car,WrigJa02,pass_int,0,,,,,
player,201911030car,car,WrigJa02,pass_sacked,0,,,,,
player,201911030car,car,WrigJa02,pass_sacked_yds,0,,,,,
player,201911030car,car,WrigJa02,pass_long,0,,,,,
player,201911030car,car,WrigJa02,pass_rating,,,,,,
player,201911030car,car,WrigJa02,rush_att,1,,,,,
player,201911030car,car,WrigJa02,rush_yds,-7,,,,,
player,201911030car,car,WrigJa02,rush_td,0,,,,,
player,201911030car,car,WrigJa02,rush_long,-7,,,,,
player,201911030car,car,WrigJa02,targets,4,,,,,
player,201911030car,car,WrigJa02,rec,0,,,,,
player,201911030car,car,WrigJa02,rec_yds,0,,,,,
player,201911030car,car,WrigJa02,rec_td,0,,,,,
player,201911030car,car,WrigJa02,rec_long,0,,,,,
player,201911030car,car,WrigJa02,fumbles,0,,,,,
player,201911030car,car,WrigJa02,fumbles_lost,0,,,,,
player,201911030car,oti,LandHa00,def_int,1,,,,,
player,201911030car,oti,LandHa00,def_int_yds,-2,,,,,
player,201911030car,oti,LandHa00,def_int_td,0,,,,,
player,201911030car,oti,LandHa00,def_int_long,-2,,,,,
player,201911030car,oti,LandHa00,pass_defended,1,,,,,
player,201911030car,oti,LandHa00,sacks,1.0,,,,,
player,201911030car,oti,LandHa00,tackles_combined,8,,,,,
player,201911030car,oti,LandHa00,tackles_solo,2,,,,,
player,201911030car,oti,LandHa00,tackles_assists,6,,,,,
player,201911030car,oti,LandHa00,tackles_loss,2,,,,,
player,201911030car,oti,LandHa00,qb_hits,1,,,,,
player,201911030car,oti,LandHa00,fumbles_rec,0,,,,,
player,201911030car,oti,LandHa00,fumbles_rec_yds,0,,,,,
player,201911030car,oti,LandHa00,fumbles_rec_td,0,,,,,
player,201911030car,oti,LandHa00,fumbles_forced,0,,,,,
player,201911030car,oti,CorrKa00,def_int,0,,,,,
player,201911030car,oti,CorrKa00,def_int_yds,0,,,,,
player,201911030car,oti,CorrKa00,def_int_td,0,,,,,
player,201911030car,oti,CorrKa00,def_int_long,0,,,,,
player,201911030car,oti,CorrKa00,pass_defended,0,,,,,
player,201911030car,oti,CorrKa00,sacks,1.0,,,,,
player,201911030car,oti,CorrKa00,tackles_combined,3,,,,,
player,201911030car,oti,CorrKa00,tackles_solo,1,,,,,
player,201911030car,oti,CorrKa00,tackles_assists,2,,,,,
player,201911030car,oti,CorrKa00,tackles_loss,1,,,,,
player,201911030car,oti,CorrKa00,qb_hits,1,,,,,
player,201911030car,oti,CorrKa00,fumbles_rec,0,,,,,
player,201911030car,oti,CorrKa00,fumbles_rec_yds,0,,,,,
player,201911030car,oti,CorrKa00,fumbles_rec_td,0,,,,,
player,201911030car,oti,CorrKa00,fumbles_forced,0,,,,,
player,201911030car,oti,FincSh00,def_int,0,,,,,
player,201911030car,oti,FincSh00,def_int_yds,0,,,,,
player,201911030car,oti,FincSh00,def_int_td,0,,,,,
player,201911030car,oti,FincSh00,def_int_long,0,,,,,
player,201911030car,oti,FincSh00,pass_defended,0,,,,,
player,201911030car,oti,FincSh00,sacks,1.0,,,,,
player,201911030car,oti,FincSh00,tackles_combined,1,,,,,
player,201911030car,oti,FincSh00,tackles_solo,1,,,,,
player,201911030car,oti,FincSh00,tackles_assists,0,,,,,
player,201911030car,oti,FincSh00,tackles_loss,1,,,,,
player,201911030car,oti,FincSh00,qb_hits,1,,,,,
player,201911030car,oti,FincSh00,fumbles_rec,0,,,,,
player,201911030car,oti,FincSh00,fumbles_rec_yds,0,,,,,
player,201911030car,oti,FincSh00,fumbles_rec_td,0,,,,,
player,201911030car,oti,FincSh00,fumbles_forced,0,,,,,
player,201911030car,oti,RyanLo00,def_int,0,,,,,
player,201911030car,oti,RyanLo00,def_int_yds,0,,,,,
player,201911030car,oti,RyanLo00,def_int_td,0,,,,,
player,201911030car,oti,RyanLo00,def_int_long,0,,,,,
player,201911030car,oti,RyanLo00,pass_defended,1,,,,,
player,201911030car,oti,RyanLo00,sacks,0.0,,,,,
player,201911030car,oti,RyanLo00,tackles_combined,10,,,,,
player,201911030car,oti,RyanLo00,tackles_solo,3,,,,,
player,201911030car,oti,RyanLo00,tackles_assists,7,,,,,
player,201911030car,oti,RyanLo00,tackles_loss,0,,,,,
player,201911030car,oti,RyanLo00,qb_hits,0,,,,,
player,201911030car,oti,RyanLo00,fumbles_rec,0,,,,,
player,201911030car,oti,RyanLo00,fumbles_rec_yds,0,,,,,
player,201911030car,oti,RyanLo00,fumbles_rec_td,0,,,,,
player,201911030car,oti,RyanLo00,fumbles_forced,0,,,,,
player,201911030car,oti,EvanRa01,def_int,0,,,,,
player,201911030car,oti,EvanRa01,def_int_yds,0,,,,,
player,201911030car,oti,EvanRa01,def_int_td,0,,,,,
player,201911030car,oti,EvanRa01,def_int_long,0,,,,,
player,201911030car,oti,EvanRa01,pass_defended,0,,,,,
player,201911030car,oti,EvanRa01,sacks,0.0,,,,,
player,201911030car,oti,EvanRa01,tackles_combined,9,,,,,
player,201911030car,oti,EvanRa01,tackles_solo,4,,,,,
player,201911030car,oti,EvanRa01,tackles_assists,5,,,,,
player,201911030car,oti,EvanRa01,tackles_loss,0,,,,,
player,201911030car,oti,EvanRa01,qb_hits,1,,,,,
player,201911030car,oti,EvanRa01,fumbles_rec,0,,,,,
player,201911030car,oti,EvanRa01,fumbles_rec_yds,0,,,,,
player,201911030car,oti,EvanRa01,fumbles_rec_td,0,,,,,
player,201911030car,oti,EvanRa01,fumbles_forced,0,,,,,
player,201911030car,oti,BrowJa06,def_int,0,,,,,
player,201911030car,oti,BrowJa06,def_int_yds,0,,,,,
player,201911030car,oti,BrowJa06,def_int_td,0,,,,,
player,201911030car,oti,BrowJa06,def_int_long,0,,,,,
player,201911030car,oti,BrowJa06,pass_defended,0,,,,,
player,201911030car,oti,BrowJa06,sacks,0.0,,,,,
player,201911030car,oti,BrowJa06,tackles_combined,8,,,,,
player,201911030car,oti,BrowJa06,tackles_solo,4,,,,,
player,201911030car,oti,BrowJa06,tackles_assists,4,,,,,
player,201911030car,oti,BrowJa06,tackles_loss,0,,,,,
