game,2019,3,20190922,201909220kan,rav,"Baltimore Ravens",28,kan,"Kansas City Chiefs",33
player,201909220kan,kan,RobiDe01,rush_yds,0,,,,,
player,201909220kan,kan,RobiDe01,rush_td,0,,,,,
player,201909220kan,kan,RobiDe01,rush_long,0,,,,,
player,201909220kan,kan,RobiDe01,targets,4,,,,,
player,201909220kan,kan,RobiDe01,rec,3,,,,,
player,201909220kan,kan,RobiDe01,rec_yds,43,,,,,
player,201909220kan,kan,RobiDe01,rec_td,1,,,,,
player,201909220kan,kan,RobiDe01,rec_long,18,,,,,
player,201909220kan,kan,RobiDe01,fumbles,0,,,,,
player,201909220kan,kan,RobiDe01,fumbles_lost,0,,,,,
player,201909220kan,kan,PrinBy00,pass_cmp,0,,,,,
player,201909220kan,kan,PrinBy00,pass_att,0,,,,,
player,201909220kan,kan,PrinBy00,pass_yds,0,,,,,
player,201909220kan,kan,PrinBy00,pass_td,0,,,,,
player,201909220kan,kan,PrinBy00,pass_int,0,,,,,
player,201909220kan,kan,PrinBy00,pass_sacked,0,,,,,
player,201909220kan,kan,PrinBy00,pass_sacked_yds,0,,,,,
player,201909220kan,kan,PrinBy00,pass_long,0,,,,,
player,201909220kan,kan,PrinBy00,pass_rating,,,,,,
player,201909220kan,kan,PrinBy00,rush_att,0,,,,,
player,201909220kan,kan,PrinBy00,rush_yds,0,,,,,
player,201909220kan,kan,PrinBy00,rush_td,0,,,,,
player,201909220kan,kan,PrinBy00,rush_long,0,,,,,
player,201909220kan,kan,PrinBy00,targets,1,,,,,
player,201909220kan,kan,PrinBy00,rec,1,,,,,
player,201909220kan,kan,PrinBy00,rec_yds,7,,,,,
player,201909220kan,kan,PrinBy00,rec_td,0,,,,,
player,201909220kan,kan,PrinBy00,rec_long,7,,,,,
player,201909220kan,kan,PrinBy00,fumbles,0,,,,,
player,201909220kan,kan,PrinBy00,fumbles_lost,0,,,,,
player,201909220kan,kan,BellBl00,pass_cmp,0,,,,,
player,201909220kan,kan,BellBl00,pass_att,0,,,,,
player,201909220kan,kan,BellBl00,pass_yds,0,,,,,
player,201909220kan,kan,BellBl00,pass_td,0,,,,,
player,201909220kan,kan,BellBl00,pass_int,0,,,,,
player,201909220kan,kan,BellBl00,pass_sacked,0,,,,,
player,201909220kan,kan,BellBl00,pass_sacked_yds,0,,,,,
player,201909220kan,kan,BellBl00,pass_long,0,,,,,
player,201909220kan,kan,BellBl00,pass_rating,,,,,,
player,201909220kan,kan,BellBl00,rush_att,0,,,,,
player,201909220kan,kan,BellBl00,rush_yds,0,,,,,
player,201909220kan,kan,BellBl00,rush_td,0,,,,,
player,201909220kan,kan,BellBl00,rush_long,0,,,,,
player,201909220kan,kan,BellBl00,targets,1,,,,,
player,201909220kan,kan,BellBl00,rec,1,,,,,
player,201909220kan,kan,BellBl00,rec_yds,1,,,,,
player,201909220kan,kan,BellBl00,rec_td,0,,,,,
player,201909220kan,kan,BellBl00,rec_long,1,,,,,
player,201909220kan,kan,BellBl00,fumbles,0,,,,,
player,201909220kan,kan,BellBl00,fumbles_lost,0,,,,,
player,201909220kan,rav,JudoMa00,def_int,0,,,,,
player,201909220kan,rav,JudoMa00,def_int_yds,0,,,,,
player,201909220kan,rav,JudoMa00,def_int_td,0,,,,,
player,201909220kan,rav,JudoMa00,def_int_long,0,,,,,
player,201909220kan,rav,JudoMa00,pass_defended,0,,,,,
player,201909220kan,rav,JudoMa00,sacks,1.0,,,,,
player,201909220kan,rav,JudoMa00,tackles_combined,4,,,,,
player,201909220kan,rav,JudoMa00,tackles_solo,3,,,,,
player,201909220kan,rav,JudoMa00,tackles_assists,1,,,,,
