game,2019,7,20191020,201910200was,sfo,"San Francisco 49ers",9,was,"Washington Redskins",0
player,201910200was,sfo,FordDe00,def_int_long,0,,,,,
player,201910200was,sfo,FordDe00,pass_defended,0,,,,,
player,201910200was,sfo,FordDe00,sacks,1.0,,,,,
player,201910200was,sfo,FordDe00,tackles_combined,2,,,,,
player,201910200was,sfo,FordDe00,tackles_solo,1,,,,,
player,201910200was,sfo,FordDe00,tackles_assists,1,,,,,
player,201910200was,sfo,FordDe00,tackles_loss,1,,,,,
player,201910200was,sfo,FordDe00,qb_hits,1,,,,,
player,201910200was,sfo,FordDe00,fumbles_rec,0,,,,,
player,201910200was,sfo,FordDe00,fumbles_rec_yds,0,,,,,
player,201910200was,sfo,FordDe00,fumbles_rec_td,0,,,,,
player,201910200was,sfo,FordDe00,fumbles_forced,0,,,,,
player,201910200was,sfo,BuckDe00,def_int,0,,,,,
player,201910200was,sfo,BuckDe00,def_int_yds,0,,,,,
player,201910200was,sfo,BuckDe00,def_int_td,0,,,,,
player,201910200was,sfo,BuckDe00,def_int_long,0,,,,,
player,201910200was,sfo,BuckDe00,pass_defended,0,,,,,
player,201910200was,sfo,BuckDe00,sacks,0.0,,,,,
player,201910200was,sfo,BuckDe00,tackles_combined,6,,,,,
player,201910200was,sfo,BuckDe00,tackles_solo,3,,,,,
player,201910200was,sfo,BuckDe00,tackles_assists,3,,,,,
player,201910200was,sfo,BuckDe00,tackles_loss,0,,,,,
player,201910200was,sfo,BuckDe00,qb_hits,0,,,,,
player,201910200was,sfo,BuckDe00,fumbles_rec,0,,,,,
player,201910200was,sfo,BuckDe00,fumbles_rec_yds,0,,,,,
