game,2019,13,20191201,201912010kan,rai,"Oakland Raiders",9,kan,"Kansas City Chiefs",40
player,201912010kan,kan,McCoLe01,rec_long,9,,,,,
player,201912010kan,kan,McCoLe01,fumbles,0,,,,,
player,201912010kan,kan,McCoLe01,fumbles_lost,0,,,,,
player,201912010kan,kan,HardMe00,pass_cmp,0,,,,,
player,201912010kan,kan,HardMe00,pass_att,0,,,,,
player,201912010kan,kan,HardMe00,pass_yds,0,,,,,
player,201912010kan,kan,HardMe00,pass_td,0,,,,,
player,201912010kan,kan,HardMe00,pass_int,0,,,,,
player,201912010kan,kan,HardMe00,pass_sacked,0,,,,,
player,201912010kan,kan,HardMe00,pass_sacked_yds,0,,,,,
player,201912010kan,kan,HardMe00,pass_long,0,,,,,
player,201912010kan,kan,HardMe00,pass_rating,,,,,,
player,201912010kan,kan,HardMe00,rush_att,1,,,,,
player,201912010kan,kan,HardMe00,rush_yds,9,,,,,
player,201912010kan,kan,HardMe00,rush_td,0,,,,,
player,201912010kan,kan,HardMe00,rush_long,9,,,,,
player,201912010kan,kan,HardMe00,targets,0,,,,,
player,201912010kan,kan,HardMe00,rec,0,,,,,
player,201912010kan,kan,HardMe00,rec_yds,0,,,,,
player,201912010kan,kan,HardMe00,rec_td,0,,,,,
player,201912010kan,kan,HardMe00,rec_long,0,,,,,
player,201912010kan,kan,HardMe00,fumbles,0,,,,,
player,201912010kan,kan,HardMe00,fumbles_lost,0,,,,,
player,201912010kan,kan,KelcTr00,pass_cmp,0,,,,,
player,201912010kan,kan,KelcTr00,pass_att,0,,,,,
player,201912010kan,kan,KelcTr00,pass_yds,0,,,,,
player,201912010kan,kan,KelcTr00,pass_td,0,,,,,
player,201912010kan,kan,KelcTr00,pass_int,0,,,,,
player,201912010kan,kan,KelcTr00,pass_sacked,0,,,,,
player,201912010kan,kan,KelcTr00,pass_sacked_yds,0,,,,,
player,201912010kan,kan,KelcTr00,pass_long,0,,,,,
player,201912010kan,kan,KelcTr00,pass_rating,,,,,,
player,201912010kan,kan,KelcTr00,rush_att,0,,,,,
player,201912010kan,kan,KelcTr00,rush_yds,0,,,,,
player,201912010kan,kan,KelcTr00,rush_td,0,,,,,
player,201912010kan,kan,KelcTr00,rush_long,0,,,,,
player,201912010kan,kan,KelcTr00,targets,9,,,,,
player,201912010kan,kan,KelcTr00,rec,5,,,,,
player,201912010kan,kan,KelcTr00,rec_yds,90,,,,,
player,201912010kan,kan,KelcTr00,rec_td,0,,,,,
player,201912010kan,kan,KelcTr00,rec_long,47,,,,,
player,201912010kan,kan,KelcTr00,fumbles,0,,,,,
player,201912010kan,kan,KelcTr00,fumbles_lost,0,,,,,
player,201912010kan,kan,SherAn00,pass_cmp,0,,,,,
player,201912010kan,kan,SherAn00,pass_att,0,,,,,
player,201912010kan,kan,SherAn00,pass_yds,0,,,,,
player,201912010kan,kan,SherAn00,pass_td,0,,,,,
player,201912010kan,kan,SherAn00,pass_int,0,,,,,
player,201912010kan,kan,SherAn00,pass_sacked,0,,,,,
player,201912010kan,kan,SherAn00,pass_sacked_yds,0,,,,,
player,201912010kan,kan,SherAn00,pass_long,0,,,,,
player,201912010kan,kan,SherAn00,pass_rating,,,,,,
player,201912010kan,kan,SherAn00,rush_att,1,,,,,
player,201912010kan,kan,SherAn00,rush_yds,0,,,,,
player,201912010kan,kan,SherAn00,rush_td,0,,,,,
player,201912010kan,kan,SherAn00,rush_long,0,,,,,
player,201912010kan,kan,SherAn00,targets,1,,,,,
player,201912010kan,kan,SherAn00,rec,1,,,,,
player,201912010kan,kan,SherAn00,rec_yds,7,,,,,
player,201912010kan,kan,SherAn00,rec_td,0,,,,,
player,201912010kan,kan,SherAn00,rec_long,7,,,,,
player,201912010kan,kan,SherAn00,fumbles,0,,,,,
player,201912010kan,kan,SherAn00,fumbles_lost,0,,,,,
player,201912010kan,kan,WatkSa00,pass_cmp,0,,,,,
player,201912010kan,kan,WatkSa00,pass_att,0,,,,,
player,201912010kan,kan,WatkSa00,pass_yds,0,,,,,
player,201912010kan,kan,WatkSa00,pass_td,0,,,,,
player,201912010kan,kan,WatkSa00,pass_int,0,,,,,
