game,2019,14,20191208,201912080gnb,was,"Washington Redskins",15,gnb,"Green Bay Packers",20
player,201912080gnb,gnb,GrahJi00,targets,5,,,,,
player,201912080gnb,gnb,GrahJi00,rec,3,,,,,
player,201912080gnb,gnb,GrahJi00,rec_yds,49,,,,,
player,201912080gnb,gnb,GrahJi00,rec_td,0,,,,,
player,201912080gnb,gnb,GrahJi00,rec_long,25,,,,,
player,201912080gnb,gnb,GrahJi00,fumbles,0,,,,,
player,201912080gnb,gnb,GrahJi00,fumbles_lost,0,,,,,
player,201912080gnb,gnb,AdamDa01,pass_cmp,0,,,,,
player,201912080gnb,gnb,AdamDa01,pass_att,0,,,,,
player,201912080gnb,gnb,AdamDa01,pass_yds,0,,,,,
player,201912080gnb,gnb,AdamDa01,pass_td,0,,,,,
player,201912080gnb,gnb,AdamDa01,pass_int,0,,,,,
player,201912080gnb,gnb,AdamDa01,pass_sacked,0,,,,,
player,201912080gnb,gnb,AdamDa01,pass_sacked_yds,0,,,,,
player,201912080gnb,gnb,AdamDa01,pass_long,0,,,,,
player,201912080gnb,gnb,AdamDa01,pass_rating,,,,,,
player,201912080gnb,gnb,AdamDa01,rush_att,0,,,,,
player,201912080gnb,gnb,AdamDa01,rush_yds,0,,,,,
player,201912080gnb,gnb,AdamDa01,rush_td,0,,,,,
player,201912080gnb,gnb,AdamDa01,rush_long,0,,,,,
player,201912080gnb,gnb,AdamDa01,targets,6,,,,,
player,201912080gnb,gnb,AdamDa01,rec,4,,,,,
player,201912080gnb,gnb,AdamDa01,rec_yds,41,,,,,
player,201912080gnb,gnb,AdamDa01,rec_td,0,,,,,
player,201912080gnb,gnb,AdamDa01,rec_long,15,,,,,
player,201912080gnb,gnb,AdamDa01,fumbles,0,,,,,
player,201912080gnb,gnb,AdamDa01,fumbles_lost,0,,,,,
player,201912080gnb,gnb,LazaAl00,pass_cmp,0,,,,,
player,201912080gnb,gnb,LazaAl00,pass_att,0,,,,,
player,201912080gnb,gnb,LazaAl00,pass_yds,0,,,,,
player,201912080gnb,gnb,LazaAl00,pass_td,0,,,,,
player,201912080gnb,gnb,LazaAl00,pass_int,0,,,,,
player,201912080gnb,gnb,LazaAl00,pass_sacked,0,,,,,
player,201912080gnb,gnb,LazaAl00,pass_sacked_yds,0,,,,,
player,201912080gnb,gnb,LazaAl00,pass_long,0,,,,,
player,201912080gnb,gnb,LazaAl00,pass_rating,,,,,,
player,201912080gnb,gnb,LazaAl00,rush_att,0,,,,,
player,201912080gnb,gnb,LazaAl00,rush_yds,0,,,,,
player,201912080gnb,gnb,LazaAl00,rush_td,0,,,,,
player,201912080gnb,gnb,LazaAl00,rush_long,0,,,,,
player,201912080gnb,gnb,LazaAl00,targets,3,,,,,
player,201912080gnb,gnb,LazaAl00,rec,2,,,,,
player,201912080gnb,gnb,LazaAl00,rec_yds,19,,,,,
player,201912080gnb,gnb,LazaAl00,rec_td,0,,,,,
player,201912080gnb,gnb,LazaAl00,rec_long,17,,,,,
player,201912080gnb,gnb,LazaAl00,fumbles,0,,,,,
player,201912080gnb,gnb,LazaAl00,fumbles_lost,0,,,,,
player,201912080gnb,gnb,TonyRo00,pass_cmp,0,,,,,
player,201912080gnb,gnb,TonyRo00,pass_att,0,,,,,
player,201912080gnb,gnb,TonyRo00,pass_yds,0,,,,,
player,201912080gnb,gnb,TonyRo00,pass_td,0,,,,,
player,201912080gnb,gnb,TonyRo00,pass_int,0,,,,,
player,201912080gnb,gnb,TonyRo00,pass_sacked,0,,,,,
player,201912080gnb,gnb,TonyRo00,pass_sacked_yds,0,,,,,
player,201912080gnb,gnb,TonyRo00,pass_long,0,,,,,
player,201912080gnb,gnb,TonyRo00,pass_rating,,,,,,
player,201912080gnb,gnb,TonyRo00,rush_att,0,,,,,
player,201912080gnb,gnb,TonyRo00,rush_yds,0,,,,,
player,201912080gnb,gnb,TonyRo00,rush_td,0,,,,,
player,201912080gnb,gnb,TonyRo00,rush_long,0,,,,,
player,201912080gnb,gnb,TonyRo00,targets,1,,,,,
player,201912080gnb,gnb,TonyRo00,rec,1,,,,,
player,201912080gnb,gnb,TonyRo00,rec_yds,12,,,,,
player,201912080gnb,gnb,TonyRo00,rec_td,1,,,,,
player,201912080gnb,gnb,TonyRo00,rec_long,12,,,,,
player,201912080gnb,gnb,TonyRo00,fumbles,0,,,,,
player,201912080gnb,gnb,TonyRo00,fumbles_lost,0,,,,,
player,201912080gnb,gnb,AlliGe01,pass_cmp,0,,,,,
player,201912080gnb,gnb,AlliGe01,pass_att,0,,,,,
player,201912080gnb,gnb,AlliGe01,pass_yds,0,,,,,
player,201912080gnb,gnb,AlliGe01,pass_td,0,,,,,
player,201912080gnb,gnb,AlliGe01,pass_int,0,,,,,
player,201912080gnb,gnb,AlliGe01,pass_sacked,0,,,,,
player,201912080gnb,gnb,AlliGe01,pass_sacked_yds,0,,,,,
player,201912080gnb,gnb,AlliGe01,pass_long,0,,,,,
player,201912080gnb,gnb,AlliGe01,pass_rating,,,,,,
player,201912080gnb,gnb,AlliGe01,rush_att,0,,,,,
player,201912080gnb,gnb,AlliGe01,rush_yds,0,,,,,
player,201912080gnb,gnb,AlliGe01,rush_td,0,,,,,
player,201912080gnb,gnb,AlliGe01,rush_long,0,,,,,
player,201912080gnb,gnb,AlliGe01,targets,1,,,,,
player,201912080gnb,gnb,AlliGe01,rec,1,,,,,
player,201912080gnb,gnb,AlliGe01,rec_yds,11,,,,,
player,201912080gnb,gnb,AlliGe01,rec_td,0,,,,,
player,201912080gnb,gnb,AlliGe01,rec_long,11,,,,,
player,201912080gnb,gnb,AlliGe01,fumbles,0,,,,,
player,201912080gnb,gnb,AlliGe01,fumbles_lost,0,,,,,
