game,2018,2,20180916,201809160tam,phi,"Philadelphia Eagles",21,tam,"Tampa Bay Buccaneers",27
player,201809160tam,phi,CoxxFl00,tackles_loss,1,,,,,
player,201809160tam,phi,CoxxFl00,qb_hits,3,,,,,
player,201809160tam,phi,CoxxFl00,fumbles_rec,0,,,,,
player,201809160tam,phi,CoxxFl00,fumbles_rec_yds,0,,,,,
player,201809160tam,phi,CoxxFl00,fumbles_rec_td,0,,,,,
player,201809160tam,phi,CoxxFl00,fumbles_forced,0,,,,,
player,201809160tam,phi,HickJo00,def_int,0,,,,,
player,201809160tam,phi,HickJo00,def_int_yds,0,,,,,
player,201809160tam,phi,HickJo00,def_int_td,0,,,,,
player,201809160tam,phi,HickJo00,def_int_long,0,,,,,
player,201809160tam,phi,HickJo00,pass_defended,0,,,,,
player,201809160tam,phi,HickJo00,sacks,0.0,,,,,
player,201809160tam,phi,HickJo00,tackles_combined,9,,,,,
player,201809160tam,phi,HickJo00,tackles_solo,6,,,,,
player,201809160tam,phi,HickJo00,tackles_assists,3,,,,,
player,201809160tam,phi,HickJo00,tackles_loss,0,,,,,
player,201809160tam,phi,HickJo00,qb_hits,0,,,,,
player,201809160tam,phi,HickJo00,fumbles_rec,1,,,,,
player,201809160tam,phi,HickJo00,fumbles_rec_yds,13,,,,,
player,201809160tam,phi,HickJo00,fumbles_rec_td,0,,,,,
player,201809160tam,phi,HickJo00,fumbles_forced,0,,,,,
player,201809160tam,phi,GrahBr99,def_int,0,,,,,
player,201809160tam,phi,GrahBr99,def_int_yds,0,,,,,
