game,2018,10,20181111,201811110chi,det,"Detroit Lions",22,chi,"Chicago Bears",34
player,201811110chi,chi,ParkCo03,special_teams,12,,,,,
player,201811110chi,chi,ParkCo03,st_pct,44%,,,,,
player,201811110chi,chi,ScalPa00,pos,LS,,,,,
player,201811110chi,chi,ScalPa00,offense,0,,,,,
player,201811110chi,chi,ScalPa00,off_pct,0%,,,,,
player,201811110chi,chi,ScalPa00,defense,0,,,,,
player,201811110chi,chi,ScalPa00,def_pct,0%,,,,,
player,201811110chi,chi,ScalPa00,special_teams,9,,,,,
player,201811110chi,chi,ScalPa00,st_pct,33%,,,,,
player,201811110chi,chi,ODonPa00,pos,P,,,,,
player,201811110chi,chi,ODonPa00,offense,0,,,,,
player,201811110chi,chi,ODonPa00,off_pct,0%,,,,,
player,201811110chi,chi,ODonPa00,defense,0,,,,,
player,201811110chi,chi,ODonPa00,def_pct,0%,,,,,
player,201811110chi,chi,ODonPa00,special_teams,9,,,,,
player,201811110chi,chi,ODonPa00,st_pct,33%,,,,,
player,201811110chi,chi,KushEr00,pos,G,,,,,
player,201811110chi,chi,KushEr00,offense,0,,,,,
player,201811110chi,chi,KushEr00,off_pct,0%,,,,,
player,201811110chi,chi,KushEr00,defense,0,,,,,
player,201811110chi,chi,KushEr00,def_pct,0%,,,,,
player,201811110chi,chi,KushEr00,special_teams,6,,,,,
player,201811110chi,chi,KushEr00,st_pct,22%,,,,,
player,201811110chi,chi,ToliKe00,pos,CB,,,,,
player,201811110chi,chi,ToliKe00,offense,0,,,,,
player,201811110chi,chi,ToliKe00,off_pct,0%,,,,,
player,201811110chi,chi,ToliKe00,defense,0,,,,,
player,201811110chi,chi,ToliKe00,def_pct,0%,,,,,
player,201811110chi,chi,ToliKe00,special_teams,4,,,,,
player,201811110chi,chi,ToliKe00,st_pct,15%,,,,,
player,201811110chi,det,WagnRi00,pos,T,,,,,
player,201811110chi,det,WagnRi00,offense,78,,,,,
player,201811110chi,det,WagnRi00,off_pct,100%,,,,,
player,201811110chi,det,WagnRi00,defense,0,,,,,
player,201811110chi,det,WagnRi00,def_pct,0%,,,,,
player,201811110chi,det,WagnRi00,special_teams,2,,,,,
