game,2018,17,20181230,201812300rav,cle,"Cleveland Browns",24,rav,"Baltimore Ravens",26
player,201812300rav,rav,SneaWi00,fumbles_lost,0,,,,,
player,201812300rav,rav,CrabMi00,pass_cmp,0,,,,,
player,201812300rav,rav,CrabMi00,pass_att,0,,,,,
player,201812300rav,rav,CrabMi00,pass_yds,0,,,,,
player,201812300rav,rav,CrabMi00,pass_td,0,,,,,
player,201812300rav,rav,CrabMi00,pass_int,0,,,,,
player,201812300rav,rav,CrabMi00,pass_sacked,0,,,,,
player,201812300rav,rav,CrabMi00,pass_sacked_yds,0,,,,,
player,201812300rav,rav,CrabMi00,pass_long,0,,,,,
player,201812300rav,rav,CrabMi00,pass_rating,,,,,,
player,201812300rav,rav,CrabMi00,rush_att,0,,,,,
player,201812300rav,rav,CrabMi00,rush_yds,0,,,,,
player,201812300rav,rav,CrabMi00,rush_td,0,,,,,
player,201812300rav,rav,CrabMi00,rush_long,0,,,,,
player,201812300rav,rav,CrabMi00,targets,2,,,,,
player,201812300rav,rav,CrabMi00,rec,2,,,,,
player,201812300rav,rav,CrabMi00,rec_yds,20,,,,,
player,201812300rav,rav,CrabMi00,rec_td,0,,,,,
player,201812300rav,rav,CrabMi00,rec_long,13,,,,,
player,201812300rav,rav,CrabMi00,fumbles,0,,,,,
player,201812300rav,rav,CrabMi00,fumbles_lost,0,,,,,
player,201812300rav,rav,MoorCh00,pass_cmp,0,,,,,
player,201812300rav,rav,MoorCh00,pass_att,0,,,,,
player,201812300rav,rav,MoorCh00,pass_yds,0,,,,,
player,201812300rav,rav,MoorCh00,pass_td,0,,,,,
player,201812300rav,rav,MoorCh00,pass_int,0,,,,,
player,201812300rav,rav,MoorCh00,pass_sacked,0,,,,,
player,201812300rav,rav,MoorCh00,pass_sacked_yds,0,,,,,
player,201812300rav,rav,MoorCh00,pass_long,0,,,,,
player,201812300rav,rav,MoorCh00,pass_rating,,,,,,
player,201812300rav,rav,MoorCh00,rush_att,0,,,,,
player,201812300rav,rav,MoorCh00,rush_yds,0,,,,,
player,201812300rav,rav,MoorCh00,rush_td,0,,,,,
player,201812300rav,rav,MoorCh00,rush_long,0,,,,,
player,201812300rav,rav,MoorCh00,targets,3,,,,,
player,201812300rav,rav,MoorCh00,rec,2,,,,,
player,201812300rav,rav,MoorCh00,rec_yds,19,,,,,
player,201812300rav,rav,MoorCh00,rec_td,0,,,,,
player,201812300rav,rav,MoorCh00,rec_long,10,,,,,
player,201812300rav,rav,MoorCh00,fumbles,0,,,,,
player,201812300rav,rav,MoorCh00,fumbles_lost,0,,,,,
player,201812300rav,rav,BrowJo02,pass_cmp,0,,,,,
player,201812300rav,rav,BrowJo02,pass_att,0,,,,,
player,201812300rav,rav,BrowJo02,pass_yds,0,,,,,
player,201812300rav,rav,BrowJo02,pass_td,0,,,,,
player,201812300rav,rav,BrowJo02,pass_int,0,,,,,
player,201812300rav,rav,BrowJo02,pass_sacked,0,,,,,
player,201812300rav,rav,BrowJo02,pass_sacked_yds,0,,,,,
player,201812300rav,rav,BrowJo02,pass_long,0,,,,,
player,201812300rav,rav,BrowJo02,pass_rating,,,,,,
player,201812300rav,rav,BrowJo02,rush_att,0,,,,,
player,201812300rav,rav,BrowJo02,rush_yds,0,,,,,
player,201812300rav,rav,BrowJo02,rush_td,0,,,,,
