game,2018,11,20181119,201811190ram,kan,"Kansas City Chiefs",51,ram,"Los Angeles Rams",54
player,201811190ram,ram,HodgKh00,rec_yds,3,,,,,
player,201811190ram,ram,HodgKh00,rec_td,0,,,,,
player,201811190ram,ram,HodgKh00,rec_long,3,,,,,
player,201811190ram,ram,HodgKh00,fumbles,0,,,,,
player,201811190ram,ram,HodgKh00,fumbles_lost,0,,,,,
player,201811190ram,kan,JoneCh09,def_int,0,,,,,
player,201811190ram,kan,JoneCh09,def_int_yds,0,,,,,
player,201811190ram,kan,JoneCh09,def_int_td,0,,,,,
player,201811190ram,kan,JoneCh09,def_int_long,0,,,,,
player,201811190ram,kan,JoneCh09,pass_defended,1,,,,,
player,201811190ram,kan,JoneCh09,sacks,2.0,,,,,
player,201811190ram,kan,JoneCh09,tackles_combined,6,,,,,
player,201811190ram,kan,JoneCh09,tackles_solo,6,,,,,
player,201811190ram,kan,JoneCh09,tackles_assists,0,,,,,
player,201811190ram,kan,JoneCh09,tackles_loss,3,,,,,
player,201811190ram,kan,JoneCh09,qb_hits,4,,,,,
player,201811190ram,kan,JoneCh09,fumbles_rec,0,,,,,
player,201811190ram,kan,JoneCh09,fumbles_rec_yds,0,,,,,
player,201811190ram,kan,JoneCh09,fumbles_rec_td,0,,,,,
player,201811190ram,kan,JoneCh09,fumbles_forced,0,,,,,
player,201811190ram,kan,HousJu00,def_int,0,,,,,
player,201811190ram,kan,HousJu00,def_int_yds,0,,,,,
player,201811190ram,kan,HousJu00,def_int_td,0,,,,,
player,201811190ram,kan,HousJu00,def_int_long,0,,,,,
player,201811190ram,kan,HousJu00,pass_defended,0,,,,,
player,201811190ram,kan,HousJu00,sacks,1.0,,,,,
player,201811190ram,kan,HousJu00,tackles_combined,4,,,,,
player,201811190ram,kan,HousJu00,tackles_solo,4,,,,,
player,201811190ram,kan,HousJu00,tackles_assists,0,,,,,
player,201811190ram,kan,HousJu00,tackles_loss,1,,,,,
player,201811190ram,kan,HousJu00,qb_hits,0,,,,,
player,201811190ram,kan,HousJu00,fumbles_rec,0,,,,,
player,201811190ram,kan,HousJu00,fumbles_rec_yds,0,,,,,
