game,2018,16,20181223,201812230crd,ram,"Los Angeles Rams",31,crd,"Arizona Cardinals",9
player,201812230crd,ram,SuhxNd99,pass_defended,2,,,,,
player,201812230crd,ram,SuhxNd99,sacks,1.0,,,,,
player,201812230crd,ram,SuhxNd99,tackles_combined,5,,,,,
player,201812230crd,ram,SuhxNd99,tackles_solo,1,,,,,
player,201812230crd,ram,SuhxNd99,tackles_assists,4,,,,,
player,201812230crd,ram,SuhxNd99,tackles_loss,1,,,,,
player,201812230crd,ram,SuhxNd99,qb_hits,2,,,,,
player,201812230crd,ram,SuhxNd99,fumbles_rec,0,,,,,
player,201812230crd,ram,SuhxNd99,fumbles_rec_yds,0,,,,,
player,201812230crd,ram,SuhxNd99,fumbles_rec_td,0,,,,,
player,201812230crd,ram,SuhxNd99,fumbles_forced,0,,,,,
player,201812230crd,ram,LittCo01,def_int,0,,,,,
player,201812230crd,ram,LittCo01,def_int_yds,0,,,,,
player,201812230crd,ram,LittCo01,def_int_td,0,,,,,
player,201812230crd,ram,LittCo01,def_int_long,0,,,,,
player,201812230crd,ram,LittCo01,pass_defended,1,,,,,
player,201812230crd,ram,LittCo01,sacks,0.0,,,,,
player,201812230crd,ram,LittCo01,tackles_combined,9,,,,,
player,201812230crd,ram,LittCo01,tackles_solo,7,,,,,
player,201812230crd,ram,LittCo01,tackles_assists,2,,,,,
player,201812230crd,ram,LittCo01,tackles_loss,0,,,,,
player,201812230crd,ram,LittCo01,qb_hits,0,,,,,
player,201812230crd,ram,LittCo01,fumbles_rec,0,,,,,
player,201812230crd,ram,LittCo01,fumbles_rec_yds,0,,,,,
player,201812230crd,ram,LittCo01,fumbles_rec_td,0,,,,,
player,201812230crd,ram,LittCo01,fumbles_forced,0,,,,,
player,201812230crd,ram,JohnJo10,def_int,0,,,,,
player,201812230crd,ram,JohnJo10,def_int_yds,0,,,,,
player,201812230crd,ram,JohnJo10,def_int_td,0,,,,,
