game,2018,1,20180909,201809090car,dal,"Dallas Cowboys",8,car,"Carolina Panthers",16
player,201809090car,car,McCaCh01,rec_td,0,,,,,
player,201809090car,car,McCaCh01,rec_long,14,,,,,
player,201809090car,car,McCaCh01,fumbles,1,,,,,
player,201809090car,car,McCaCh01,fumbles_lost,1,,,,,
player,201809090car,car,AndeC.00,pass_cmp,0,,,,,
player,201809090car,car,AndeC.00,pass_att,0,,,,,
player,201809090car,car,AndeC.00,pass_yds,0,,,,,
player,201809090car,car,AndeC.00,pass_td,0,,,,,
player,201809090car,car,AndeC.00,pass_int,0,,,,,
player,201809090car,car,AndeC.00,pass_sacked,0,,,,,
player,201809090car,car,AndeC.00,pass_sacked_yds,0,,,,,
player,201809090car,car,AndeC.00,pass_long,0,,,,,
player,201809090car,car,AndeC.00,pass_rating,,,,,,
player,201809090car,car,AndeC.00,rush_att,7,,,,,
player,201809090car,car,AndeC.00,rush_yds,35,,,,,
player,201809090car,car,AndeC.00,rush_td,0,,,,,
player,201809090car,car,AndeC.00,rush_long,9,,,,,
player,201809090car,car,AndeC.00,targets,0,,,,,
player,201809090car,car,AndeC.00,rec,0,,,,,
player,201809090car,car,AndeC.00,rec_yds,0,,,,,
player,201809090car,car,AndeC.00,rec_td,0,,,,,
player,201809090car,car,AndeC.00,rec_long,0,,,,,
player,201809090car,car,AndeC.00,fumbles,0,,,,,
player,201809090car,car,AndeC.00,fumbles_lost,0,,,,,
player,201809090car,car,MoorD.00,pass_cmp,0,,,,,
player,201809090car,car,MoorD.00,pass_att,0,,,,,
player,201809090car,car,MoorD.00,pass_yds,0,,,,,
player,201809090car,car,MoorD.00,pass_td,0,,,,,
player,201809090car,car,MoorD.00,pass_int,0,,,,,
player,201809090car,car,MoorD.00,pass_sacked,0,,,,,
player,201809090car,car,MoorD.00,pass_sacked_yds,0,,,,,
player,201809090car,car,MoorD.00,pass_long,0,,,,,
player,201809090car,car,MoorD.00,pass_rating,,,,,,
player,201809090car,car,MoorD.00,rush_att,1,,,,,
