game,2018,8,20181025,201810250htx,mia,"Miami Dolphins",23,htx,"Houston Texans",42
player,201810250htx,htx,WeedBr00,fumbles,0,,,,,
player,201810250htx,htx,WeedBr00,fumbles_lost,0,,,,,
player,201810250htx,mia,AlonKi00,def_int,0,,,,,
player,201810250htx,mia,AlonKi00,def_int_yds,0,,,,,
player,201810250htx,mia,AlonKi00,def_int_td,0,,,,,
player,201810250htx,mia,AlonKi00,def_int_long,0,,,,,
player,201810250htx,mia,AlonKi00,pass_defended,0,,,,,
player,201810250htx,mia,AlonKi00,sacks,0.0,,,,,
player,201810250htx,mia,AlonKi00,tackles_combined,9,,,,,
player,201810250htx,mia,AlonKi00,tackles_solo,4,,,,,
player,201810250htx,mia,AlonKi00,tackles_assists,5,,,,,
player,201810250htx,mia,AlonKi00,tackles_loss,0,,,,,
player,201810250htx,mia,AlonKi00,qb_hits,0,,,,,
player,201810250htx,mia,AlonKi00,fumbles_rec,0,,,,,
player,201810250htx,mia,AlonKi00,fumbles_rec_yds,0,,,,,
player,201810250htx,mia,AlonKi00,fumbles_rec_td,0,,,,,
player,201810250htx,mia,AlonKi00,fumbles_forced,0,,,,,
player,201810250htx,mia,McMiRa02,def_int,0,,,,,
player,201810250htx,mia,McMiRa02,def_int_yds,0,,,,,
player,201810250htx,mia,McMiRa02,def_int_td,0,,,,,
player,201810250htx,mia,McMiRa02,def_int_long,0,,,,,
player,201810250htx,mia,McMiRa02,pass_defended,0,,,,,
player,201810250htx,mia,McMiRa02,sacks,0.0,,,,,
player,201810250htx,mia,McMiRa02,tackles_combined,9,,,,,
player,201810250htx,mia,McMiRa02,tackles_solo,7,,,,,
player,201810250htx,mia,McMiRa02,tackles_assists,2,,,,,
player,201810250htx,mia,McMiRa02,tackles_loss,0,,,,,
player,201810250htx,mia,McMiRa02,qb_hits,0,,,,,
player,201810250htx,mia,McMiRa02,fumbles_rec,0,,,,,
player,201810250htx,mia,McMiRa02,fumbles_rec_yds,0,,,,,
player,201810250htx,mia,McMiRa02,fumbles_rec_td,0,,,,,
player,201810250htx,mia,McMiRa02,fumbles_forced,0,,,,,
player,201810250htx,mia,JoneRe99,def_int,0,,,,,
player,201810250htx,mia,JoneRe99,def_int_yds,0,,,,,
player,201810250htx,mia,JoneRe99,def_int_td,0,,,,,
player,201810250htx,mia,JoneRe99,def_int_long,0,,,,,
player,201810250htx,mia,JoneRe99,pass_defended,0,,,,,
player,201810250htx,mia,JoneRe99,sacks,0.0,,,,,
player,201810250htx,mia,JoneRe99,tackles_combined,6,,,,,
player,201810250htx,mia,JoneRe99,tackles_solo,3,,,,,
player,201810250htx,mia,JoneRe99,tackles_assists,3,,,,,
player,201810250htx,mia,JoneRe99,tackles_loss,1,,,,,
player,201810250htx,mia,JoneRe99,qb_hits,0,,,,,
player,201810250htx,mia,JoneRe99,fumbles_rec,0,,,,,
player,201810250htx,mia,JoneRe99,fumbles_rec_yds,0,,,,,
player,201810250htx,mia,JoneRe99,fumbles_rec_td,0,,,,,
player,201810250htx,mia,JoneRe99,fumbles_forced,0,,,,,
player,201810250htx,mia,WakeCa00,def_int,0,,,,,
player,201810250htx,mia,WakeCa00,def_int_yds,0,,,,,
player,201810250htx,mia,WakeCa00,def_int_td,0,,,,,
player,201810250htx,mia,WakeCa00,def_int_long,0,,,,,
player,201810250htx,mia,WakeCa00,pass_defended,0,,,,,
player,201810250htx,mia,WakeCa00,sacks,0.0,,,,,
player,201810250htx,mia,WakeCa00,tackles_combined,6,,,,,
player,201810250htx,mia,WakeCa00,tackles_solo,5,,,,,
player,201810250htx,mia,WakeCa00,tackles_assists,1,,,,,
player,201810250htx,mia,WakeCa00,tackles_loss,0,,,,,
player,201810250htx,mia,WakeCa00,qb_hits,0,,,,,
player,201810250htx,mia,WakeCa00,fumbles_rec,0,,,,,
player,201810250htx,mia,WakeCa00,fumbles_rec_yds,0,,,,,
player,201810250htx,mia,WakeCa00,fumbles_rec_td,0,,,,,
player,201810250htx,mia,WakeCa00,fumbles_forced,0,,,,,
player,201810250htx,mia,BakeJe00,def_int,0,,,,,
player,201810250htx,mia,BakeJe00,def_int_yds,0,,,,,
player,201810250htx,mia,BakeJe00,def_int_td,0,,,,,
player,201810250htx,mia,BakeJe00,def_int_long,0,,,,,
player,201810250htx,mia,BakeJe00,pass_defended,0,,,,,
player,201810250htx,mia,BakeJe00,sacks,0.0,,,,,
player,201810250htx,mia,BakeJe00,tackles_combined,5,,,,,
player,201810250htx,mia,BakeJe00,tackles_solo,1,,,,,
player,201810250htx,mia,BakeJe00,tackles_assists,4,,,,,
player,201810250htx,mia,BakeJe00,tackles_loss,0,,,,,
player,201810250htx,mia,BakeJe00,qb_hits,0,,,,,
player,201810250htx,mia,BakeJe00,fumbles_rec,0,,,,,
player,201810250htx,mia,BakeJe00,fumbles_rec_yds,0,,,,,
player,201810250htx,mia,BakeJe00,fumbles_rec_td,0,,,,,
player,201810250htx,mia,BakeJe00,fumbles_forced,0,,,,,
player,201810250htx,mia,FitzMi00,def_int,0,,,,,
player,201810250htx,mia,FitzMi00,def_int_yds,0,,,,,
player,201810250htx,mia,FitzMi00,def_int_td,0,,,,,
player,201810250htx,mia,FitzMi00,def_int_long,0,,,,,
player,201810250htx,mia,FitzMi00,pass_defended,0,,,,,
player,201810250htx,mia,FitzMi00,sacks,0.0,,,,,
player,201810250htx,mia,FitzMi00,tackles_combined,4,,,,,
player,201810250htx,mia,FitzMi00,tackles_solo,2,,,,,
player,201810250htx,mia,FitzMi00,tackles_assists,2,,,,,
player,201810250htx,mia,FitzMi00,tackles_loss,0,,,,,
