game,2018,10,20181111,201811110tam,was,"Washington Redskins",16,tam,"Tampa Bay Buccaneers",3
player,201811110tam,tam,RodgJa00,fumbles,1,,,,,
player,201811110tam,tam,RodgJa00,fumbles_lost,1,,,,,
player,201811110tam,tam,JackDe00,pass_cmp,0,,,,,
player,201811110tam,tam,JackDe00,pass_att,0,,,,,
player,201811110tam,tam,JackDe00,pass_yds,0,,,,,
player,201811110tam,tam,JackDe00,pass_td,0,,,,,
player,201811110tam,tam,JackDe00,pass_int,0,,,,,
player,201811110tam,tam,JackDe00,pass_sacked,0,,,,,
player,201811110tam,tam,JackDe00,pass_sacked_yds,0,,,,,
player,201811110tam,tam,JackDe00,pass_long,0,,,,,
player,201811110tam,tam,JackDe00,pass_rating,,,,,,
player,201811110tam,tam,JackDe00,rush_att,0,,,,,
player,201811110tam,tam,JackDe00,rush_yds,0,,,,,
player,201811110tam,tam,JackDe00,rush_td,0,,,,,
player,201811110tam,tam,JackDe00,rush_long,0,,,,,
player,201811110tam,tam,JackDe00,targets,8,,,,,
player,201811110tam,tam,JackDe00,rec,5,,,,,
player,201811110tam,tam,JackDe00,rec_yds,67,,,,,
player,201811110tam,tam,JackDe00,rec_td,0,,,,,
player,201811110tam,tam,JackDe00,rec_long,24,,,,,
player,201811110tam,tam,JackDe00,fumbles,0,,,,,
player,201811110tam,tam,JackDe00,fumbles_lost,0,,,,,
player,201811110tam,tam,HumpAd00,pass_cmp,0,,,,,
player,201811110tam,tam,HumpAd00,pass_att,0,,,,,
player,201811110tam,tam,HumpAd00,pass_yds,0,,,,,
player,201811110tam,tam,HumpAd00,pass_td,0,,,,,
player,201811110tam,tam,HumpAd00,pass_int,0,,,,,
player,201811110tam,tam,HumpAd00,pass_sacked,0,,,,,
player,201811110tam,tam,HumpAd00,pass_sacked_yds,0,,,,,
player,201811110tam,tam,HumpAd00,pass_long,0,,,,,
player,201811110tam,tam,HumpAd00,pass_rating,,,,,,
player,201811110tam,tam,HumpAd00,rush_att,0,,,,,
player,201811110tam,tam,HumpAd00,rush_yds,0,,,,,
player,201811110tam,tam,HumpAd00,rush_td,0,,,,,
player,201811110tam,tam,HumpAd00,rush_long,0,,,,,
player,201811110tam,tam,HumpAd00,targets,3,,,,,
player,201811110tam,tam,HumpAd00,rec,2,,,,,
player,201811110tam,tam,HumpAd00,rec_yds,53,,,,,
player,201811110tam,tam,HumpAd00,rec_td,0,,,,,
player,201811110tam,tam,HumpAd00,rec_long,29,,,,,
