game,2018,16,20181223,201812230phi,htx,"Houston Texans",30,phi,"Philadelphia Eagles",32
player,201812230phi,phi,GoedDa00,rush_yds,0,,,,,
player,201812230phi,phi,GoedDa00,rush_td,0,,,,,
player,201812230phi,phi,GoedDa00,rush_long,0,,,,,
player,201812230phi,phi,GoedDa00,targets,3,,,,,
player,201812230phi,phi,GoedDa00,rec,3,,,,,
player,201812230phi,phi,GoedDa00,rec_yds,30,,,,,
player,201812230phi,phi,GoedDa00,rec_td,0,,,,,
player,201812230phi,phi,GoedDa00,rec_long,24,,,,,
player,201812230phi,phi,GoedDa00,fumbles,0,,,,,
player,201812230phi,phi,GoedDa00,fumbles_lost,0,,,,,
player,201812230phi,phi,MattJo00,pass_cmp,0,,,,,
player,201812230phi,phi,MattJo00,pass_att,0,,,,,
player,201812230phi,phi,MattJo00,pass_yds,0,,,,,
player,201812230phi,phi,MattJo00,pass_td,0,,,,,
player,201812230phi,phi,MattJo00,pass_int,0,,,,,
player,201812230phi,phi,MattJo00,pass_sacked,0,,,,,
player,201812230phi,phi,MattJo00,pass_sacked_yds,0,,,,,
player,201812230phi,phi,MattJo00,pass_long,0,,,,,
player,201812230phi,phi,MattJo00,pass_rating,,,,,,
player,201812230phi,phi,MattJo00,rush_att,0,,,,,
player,201812230phi,phi,MattJo00,rush_yds,0,,,,,
player,201812230phi,phi,MattJo00,rush_td,0,,,,,
player,201812230phi,phi,MattJo00,rush_long,0,,,,,
player,201812230phi,phi,MattJo00,targets,3,,,,,
player,201812230phi,phi,MattJo00,rec,2,,,,,
player,201812230phi,phi,MattJo00,rec_yds,13,,,,,
player,201812230phi,phi,MattJo00,rec_td,0,,,,,
player,201812230phi,phi,MattJo00,rec_long,11,,,,,
player,201812230phi,phi,MattJo00,fumbles,0,,,,,
player,201812230phi,phi,MattJo00,fumbles_lost,0,,,,,
player,201812230phi,phi,TateGo00,pass_cmp,0,,,,,
player,201812230phi,phi,TateGo00,pass_att,0,,,,,
player,201812230phi,phi,TateGo00,pass_yds,0,,,,,
player,201812230phi,phi,TateGo00,pass_td,0,,,,,
player,201812230phi,phi,TateGo00,pass_int,0,,,,,
player,201812230phi,phi,TateGo00,pass_sacked,0,,,,,
player,201812230phi,phi,TateGo00,pass_sacked_yds,0,,,,,
player,201812230phi,phi,TateGo00,pass_long,0,,,,,
player,201812230phi,phi,TateGo00,pass_rating,,,,,,
player,201812230phi,phi,TateGo00,rush_att,0,,,,,
player,201812230phi,phi,TateGo00,rush_yds,0,,,,,
player,201812230phi,phi,TateGo00,rush_td,0,,,,,
player,201812230phi,phi,TateGo00,rush_long,0,,,,,
player,201812230phi,phi,TateGo00,targets,3,,,,,
player,201812230phi,phi,TateGo00,rec,2,,,,,
player,201812230phi,phi,TateGo00,rec_yds,13,,,,,
player,201812230phi,phi,TateGo00,rec_td,0,,,,,
player,201812230phi,phi,TateGo00,rec_long,9,,,,,
player,201812230phi,phi,TateGo00,fumbles,0,,,,,
player,201812230phi,phi,TateGo00,fumbles_lost,0,,,,,
player,201812230phi,phi,RodgRi00,pass_cmp,0,,,,,
player,201812230phi,phi,RodgRi00,pass_att,0,,,,,
player,201812230phi,phi,RodgRi00,pass_yds,0,,,,,
player,201812230phi,phi,RodgRi00,pass_td,0,,,,,
player,201812230phi,phi,RodgRi00,pass_int,0,,,,,
player,201812230phi,phi,RodgRi00,pass_sacked,0,,,,,
player,201812230phi,phi,RodgRi00,pass_sacked_yds,0,,,,,
player,201812230phi,phi,RodgRi00,pass_long,0,,,,,
