game,2018,9,20181104,201811040car,tam,"Tampa Bay Buccaneers",28,car,"Carolina Panthers",42
player,201811040car,car,AndeC.00,rush_yds_bc_per_rush,1.0,,,,,
player,201811040car,car,AndeC.00,rush_yac,0,,,,,
player,201811040car,car,AndeC.00,rush_yac_per_rush,0.0,,,,,
player,201811040car,car,AndeC.00,rush_broken_tackles,0,,,,,
player,201811040car,car,AndeC.00,rush_broken_tackles_per_rush,,,,,,
player,201811040car,tam,HumpAd00,targets,8,,,,,
player,201811040car,tam,HumpAd00,rec,8,,,,,
player,201811040car,tam,HumpAd00,rec_yds,82,,,,,
player,201811040car,tam,HumpAd00,rec_first_down,6,,,,,
player,201811040car,tam,HumpAd00,rec_air_yds,29,,,,,
player,201811040car,tam,HumpAd00,rec_air_yds_per_rec,3.6,,,,,
player,201811040car,tam,HumpAd00,rec_yac,53,,,,,
player,201811040car,tam,HumpAd00,rec_yac_per_rec,6.6,,,,,
player,201811040car,tam,HumpAd00,rec_broken_tackles,1,,,,,
player,201811040car,tam,HumpAd00,rec_broken_tackles_per_rec,8.0,,,,,
player,201811040car,tam,HumpAd00,rec_drops,0,,,,,
player,201811040car,tam,HumpAd00,rec_drop_pct,0.0,,,,,
player,201811040car,tam,HowaO.00,targets,6,,,,,
player,201811040car,tam,HowaO.00,rec,4,,,,,
player,201811040car,tam,HowaO.00,rec_yds,53,,,,,
player,201811040car,tam,HowaO.00,rec_first_down,4,,,,,
player,201811040car,tam,HowaO.00,rec_air_yds,35,,,,,
player,201811040car,tam,HowaO.00,rec_air_yds_per_rec,8.8,,,,,
player,201811040car,tam,HowaO.00,rec_yac,18,,,,,
player,201811040car,tam,HowaO.00,rec_yac_per_rec,4.5,,,,,
player,201811040car,tam,HowaO.00,rec_broken_tackles,0,,,,,
player,201811040car,tam,HowaO.00,rec_broken_tackles_per_rec,,,,,,
player,201811040car,tam,HowaO.00,rec_drops,0,,,,,
player,201811040car,tam,HowaO.00,rec_drop_pct,0.0,,,,,
player,201811040car,tam,BratCa00,targets,3,,,,,
player,201811040car,tam,BratCa00,rec,3,,,,,
player,201811040car,tam,BratCa00,rec_yds,15,,,,,
player,201811040car,tam,BratCa00,rec_first_down,1,,,,,
player,201811040car,tam,BratCa00,rec_air_yds,14,,,,,
player,201811040car,tam,BratCa00,rec_air_yds_per_rec,4.7,,,,,
player,201811040car,tam,BratCa00,rec_yac,1,,,,,
player,201811040car,tam,BratCa00,rec_yac_per_rec,0.3,,,,,
player,201811040car,tam,BratCa00,rec_broken_tackles,0,,,,,
player,201811040car,tam,BratCa00,rec_broken_tackles_per_rec,,,,,,
player,201811040car,tam,BratCa00,rec_drops,0,,,,,
player,201811040car,tam,BratCa00,rec_drop_pct,0.0,,,,,
player,201811040car,tam,RodgJa00,targets,3,,,,,
player,201811040car,tam,RodgJa00,rec,2,,,,,
player,201811040car,tam,RodgJa00,rec_yds,-4,,,,,
player,201811040car,tam,RodgJa00,rec_first_down,0,,,,,
player,201811040car,tam,RodgJa00,rec_air_yds,-16,,,,,
player,201811040car,tam,RodgJa00,rec_air_yds_per_rec,-8.0,,,,,
player,201811040car,tam,RodgJa00,rec_yac,12,,,,,
player,201811040car,tam,RodgJa00,rec_yac_per_rec,6.0,,,,,
player,201811040car,tam,RodgJa00,rec_broken_tackles,0,,,,,
player,201811040car,tam,RodgJa00,rec_broken_tackles_per_rec,,,,,,
player,201811040car,tam,RodgJa00,rec_drops,0,,,,,
player,201811040car,tam,RodgJa00,rec_drop_pct,0.0,,,,,
player,201811040car,tam,JackDe00,targets,4,,,,,
player,201811040car,tam,JackDe00,rec,2,,,,,
player,201811040car,tam,JackDe00,rec_yds,32,,,,,
player,201811040car,tam,JackDe00,rec_first_down,2,,,,,
player,201811040car,tam,JackDe00,rec_air_yds,25,,,,,
player,201811040car,tam,JackDe00,rec_air_yds_per_rec,12.5,,,,,
player,201811040car,tam,JackDe00,rec_yac,7,,,,,
player,201811040car,tam,JackDe00,rec_yac_per_rec,3.5,,,,,
player,201811040car,tam,JackDe00,rec_broken_tackles,0,,,,,
player,201811040car,tam,JackDe00,rec_broken_tackles_per_rec,,,,,,
player,201811040car,tam,JackDe00,rec_drops,0,,,,,
player,201811040car,tam,JackDe00,rec_drop_pct,0.0,,,,,
player,201811040car,tam,BarbPe01,targets,3,,,,,
player,201811040car,tam,BarbPe01,rec,2,,,,,
player,201811040car,tam,BarbPe01,rec_yds,9,,,,,
player,201811040car,tam,BarbPe01,rec_first_down,1,,,,,
player,201811040car,tam,BarbPe01,rec_air_yds,-4,,,,,
player,201811040car,tam,BarbPe01,rec_air_yds_per_rec,-2.0,,,,,
player,201811040car,tam,BarbPe01,rec_yac,13,,,,,
player,201811040car,tam,BarbPe01,rec_yac_per_rec,6.5,,,,,
player,201811040car,tam,BarbPe01,rec_broken_tackles,0,,,,,
player,201811040car,tam,BarbPe01,rec_broken_tackles_per_rec,,,,,,
player,201811040car,tam,BarbPe01,rec_drops,0,,,,,
player,201811040car,tam,BarbPe01,rec_drop_pct,0.0,,,,,
player,201811040car,tam,GodwCh00,targets,3,,,,,
player,201811040car,tam,GodwCh00,rec,2,,,,,
player,201811040car,tam,GodwCh00,rec_yds,40,,,,,
player,201811040car,tam,GodwCh00,rec_first_down,2,,,,,
player,201811040car,tam,GodwCh00,rec_air_yds,36,,,,,
player,201811040car,tam,GodwCh00,rec_air_yds_per_rec,18.0,,,,,
player,201811040car,tam,GodwCh00,rec_yac,4,,,,,
player,201811040car,tam,GodwCh00,rec_yac_per_rec,2.0,,,,,
player,201811040car,tam,GodwCh00,rec_broken_tackles,0,,,,,
player,201811040car,tam,GodwCh00,rec_broken_tackles_per_rec,,,,,,
player,201811040car,tam,GodwCh00,rec_drops,0,,,,,
player,201811040car,tam,GodwCh00,rec_drop_pct,0.0,,,,,
player,201811040car,tam,EvanMi00,targets,10,,,,,
player,201811040car,tam,EvanMi00,rec,1,,,,,
player,201811040car,tam,EvanMi00,rec_yds,16,,,,,
player,201811040car,tam,EvanMi00,rec_first_down,1,,,,,
player,201811040car,tam,EvanMi00,rec_air_yds,16,,,,,
player,201811040car,tam,EvanMi00,rec_air_yds_per_rec,16.0,,,,,
player,201811040car,tam,EvanMi00,rec_yac,0,,,,,
player,201811040car,tam,EvanMi00,rec_yac_per_rec,0.0,,,,,
player,201811040car,tam,EvanMi00,rec_broken_tackles,0,,,,,
player,201811040car,tam,EvanMi00,rec_broken_tackles_per_rec,,,,,,
player,201811040car,tam,EvanMi00,rec_drops,0,,,,,
player,201811040car,tam,EvanMi00,rec_drop_pct,0.0,,,,,
player,201811040car,tam,CrosAl00,targets,1,,,,,
player,201811040car,tam,CrosAl00,rec,0,,,,,
player,201811040car,tam,CrosAl00,rec_yds,0,,,,,
player,201811040car,tam,CrosAl00,rec_first_down,,,,,,
player,201811040car,tam,CrosAl00,rec_air_yds,0,,,,,
player,201811040car,tam,CrosAl00,rec_air_yds_per_rec,,,,,,
player,201811040car,tam,CrosAl00,rec_yac,0,,,,,
player,201811040car,tam,CrosAl00,rec_yac_per_rec,,,,,,
player,201811040car,tam,CrosAl00,rec_broken_tackles,0,,,,,
player,201811040car,tam,CrosAl00,rec_broken_tackles_per_rec,,,,,,
player,201811040car,tam,CrosAl00,rec_drops,0,,,,,
