game,2018,6,20181014,201810140was,car,"Carolina Panthers",17,was,"Washington Redskins",23
player,201810140was,car,AdamMi21,pass_defended,1,,,,,
player,201810140was,car,AdamMi21,sacks,0.0,,,,,
player,201810140was,car,AdamMi21,tackles_combined,6,,,,,
player,201810140was,car,AdamMi21,tackles_solo,4,,,,,
player,201810140was,car,AdamMi21,tackles_assists,2,,,,,
player,201810140was,car,AdamMi21,tackles_loss,1,,,,,
player,201810140was,car,AdamMi21,qb_hits,0,,,,,
player,201810140was,car,AdamMi21,fumbles_rec,0,,,,,
player,201810140was,car,AdamMi21,fumbles_rec_yds,0,,,,,
player,201810140was,car,AdamMi21,fumbles_rec_td,0,,,,,
player,201810140was,car,AdamMi21,fumbles_forced,0,,,,,
