game,2018,12,20181125,201811250car,sea,"Seattle Seahawks",30,car,"Carolina Panthers",27
player,201811250car,sea,MoorDa03,rec_drops,0,,,,,
player,201811250car,sea,MoorDa03,rec_drop_pct,0.0,,,,,
player,201811250car,sea,CarsCh00,targets,2,,,,,
player,201811250car,sea,CarsCh00,rec,2,,,,,
player,201811250car,sea,CarsCh00,rec_yds,8,,,,,
player,201811250car,sea,CarsCh00,rec_first_down,0,,,,,
player,201811250car,sea,CarsCh00,rec_air_yds,0,,,,,
player,201811250car,sea,CarsCh00,rec_air_yds_per_rec,0.0,,,,,
player,201811250car,sea,CarsCh00,rec_yac,8,,,,,
player,201811250car,sea,CarsCh00,rec_yac_per_rec,4.0,,,,,
player,201811250car,sea,CarsCh00,rec_broken_tackles,0,,,,,
player,201811250car,sea,CarsCh00,rec_broken_tackles_per_rec,,,,,,
player,201811250car,sea,CarsCh00,rec_drops,0,,,,,
player,201811250car,sea,CarsCh00,rec_drop_pct,0.0,,,,,
player,201811250car,sea,DickEd00,targets,2,,,,,
player,201811250car,sea,DickEd00,rec,2,,,,,
player,201811250car,sea,DickEd00,rec_yds,13,,,,,
player,201811250car,sea,DickEd00,rec_first_down,,,,,,
player,201811250car,sea,DickEd00,rec_air_yds,7,,,,,
player,201811250car,sea,DickEd00,rec_air_yds_per_rec,3.5,,,,,
player,201811250car,sea,DickEd00,rec_yac,6,,,,,
player,201811250car,sea,DickEd00,rec_yac_per_rec,3.0,,,,,
player,201811250car,sea,DickEd00,rec_broken_tackles,0,,,,,
player,201811250car,sea,DickEd00,rec_broken_tackles_per_rec,,,,,,
player,201811250car,sea,DickEd00,rec_drops,0,,,,,
player,201811250car,sea,DickEd00,rec_drop_pct,0.0,,,,,
player,201811250car,sea,VannNi00,targets,2,,,,,
player,201811250car,sea,VannNi00,rec,2,,,,,
player,201811250car,sea,VannNi00,rec_yds,22,,,,,
player,201811250car,sea,VannNi00,rec_first_down,2,,,,,
player,201811250car,sea,VannNi00,rec_air_yds,5,,,,,
player,201811250car,sea,VannNi00,rec_air_yds_per_rec,2.5,,,,,
player,201811250car,sea,VannNi00,rec_yac,17,,,,,
player,201811250car,sea,VannNi00,rec_yac_per_rec,8.5,,,,,
player,201811250car,sea,VannNi00,rec_broken_tackles,0,,,,,
player,201811250car,sea,VannNi00,rec_broken_tackles_per_rec,,,,,,
player,201811250car,sea,VannNi00,rec_drops,0,,,,,
player,201811250car,sea,VannNi00,rec_drop_pct,0.0,,,,,
player,201811250car,sea,MaddTr01,targets,1,,,,,
player,201811250car,sea,MaddTr01,rec,1,,,,,
player,201811250car,sea,MaddTr01,rec_yds,28,,,,,
player,201811250car,sea,MaddTr01,rec_first_down,1,,,,,
player,201811250car,sea,MaddTr01,rec_air_yds,19,,,,,
player,201811250car,sea,MaddTr01,rec_air_yds_per_rec,19.0,,,,,
player,201811250car,sea,MaddTr01,rec_yac,9,,,,,
player,201811250car,sea,MaddTr01,rec_yac_per_rec,9.0,,,,,
player,201811250car,sea,MaddTr01,rec_broken_tackles,0,,,,,
player,201811250car,sea,MaddTr01,rec_broken_tackles_per_rec,,,,,,
player,201811250car,sea,MaddTr01,rec_drops,0,,,,,
player,201811250car,sea,MaddTr01,rec_drop_pct,0.0,,,,,
player,201811250car,sea,TurnMa00,targets,2,,,,,
player,201811250car,sea,TurnMa00,rec,1,,,,,
player,201811250car,sea,TurnMa00,rec_yds,19,,,,,
player,201811250car,sea,TurnMa00,rec_first_down,1,,,,,
player,201811250car,sea,TurnMa00,rec_air_yds,9,,,,,
player,201811250car,sea,TurnMa00,rec_air_yds_per_rec,9.0,,,,,
player,201811250car,sea,TurnMa00,rec_yac,10,,,,,
player,201811250car,sea,TurnMa00,rec_yac_per_rec,10.0,,,,,
player,201811250car,sea,TurnMa00,rec_broken_tackles,0,,,,,
player,201811250car,sea,TurnMa00,rec_broken_tackles_per_rec,,,,,,
player,201811250car,sea,TurnMa00,rec_drops,0,,,,,
player,201811250car,sea,TurnMa00,rec_drop_pct,0.0,,,,,
player,201811250car,sea,DaviMi01,targets,1,,,,,
player,201811250car,sea,DaviMi01,rec,0,,,,,
player,201811250car,sea,DaviMi01,rec_yds,0,,,,,
player,201811250car,sea,DaviMi01,rec_first_down,,,,,,
player,201811250car,sea,DaviMi01,rec_air_yds,0,,,,,
