game,2018,17,20181230,201812300oti,clt,"Indianapolis Colts",33,oti,"Tennessee Titans",17
player,201812300oti,oti,DaviCo03,fumbles,0,,,,,
player,201812300oti,oti,DaviCo03,fumbles_lost,0,,,,,
player,201812300oti,oti,PruiMy00,pass_cmp,0,,,,,
player,201812300oti,oti,PruiMy00,pass_att,0,,,,,
player,201812300oti,oti,PruiMy00,pass_yds,0,,,,,
player,201812300oti,oti,PruiMy00,pass_td,0,,,,,
player,201812300oti,oti,PruiMy00,pass_int,0,,,,,
player,201812300oti,oti,PruiMy00,pass_sacked,0,,,,,
player,201812300oti,oti,PruiMy00,pass_sacked_yds,0,,,,,
player,201812300oti,oti,PruiMy00,pass_long,0,,,,,
player,201812300oti,oti,PruiMy00,pass_rating,,,,,,
player,201812300oti,oti,PruiMy00,rush_att,0,,,,,
player,201812300oti,oti,PruiMy00,rush_yds,0,,,,,
player,201812300oti,oti,PruiMy00,rush_td,0,,,,,
player,201812300oti,oti,PruiMy00,rush_long,0,,,,,
player,201812300oti,oti,PruiMy00,targets,2,,,,,
player,201812300oti,oti,PruiMy00,rec,2,,,,,
player,201812300oti,oti,PruiMy00,rec_yds,26,,,,,
player,201812300oti,oti,PruiMy00,rec_td,0,,,,,
player,201812300oti,oti,PruiMy00,rec_long,17,,,,,
player,201812300oti,oti,PruiMy00,fumbles,0,,,,,
player,201812300oti,oti,PruiMy00,fumbles_lost,0,,,,,
player,201812300oti,oti,LewiDi00,pass_cmp,0,,,,,
player,201812300oti,oti,LewiDi00,pass_att,0,,,,,
player,201812300oti,oti,LewiDi00,pass_yds,0,,,,,
player,201812300oti,oti,LewiDi00,pass_td,0,,,,,
player,201812300oti,oti,LewiDi00,pass_int,0,,,,,
player,201812300oti,oti,LewiDi00,pass_sacked,0,,,,,
player,201812300oti,oti,LewiDi00,pass_sacked_yds,0,,,,,
player,201812300oti,oti,LewiDi00,pass_long,0,,,,,
player,201812300oti,oti,LewiDi00,pass_rating,,,,,,
player,201812300oti,oti,LewiDi00,rush_att,0,,,,,
player,201812300oti,oti,LewiDi00,rush_yds,0,,,,,
player,201812300oti,oti,LewiDi00,rush_td,0,,,,,
player,201812300oti,oti,LewiDi00,rush_long,0,,,,,
player,201812300oti,oti,LewiDi00,targets,4,,,,,
player,201812300oti,oti,LewiDi00,rec,3,,,,,
player,201812300oti,oti,LewiDi00,rec_yds,23,,,,,
player,201812300oti,oti,LewiDi00,rec_td,0,,,,,
player,201812300oti,oti,LewiDi00,rec_long,11,,,,,
player,201812300oti,oti,LewiDi00,fumbles,0,,,,,
player,201812300oti,oti,LewiDi00,fumbles_lost,0,,,,,
player,201812300oti,oti,StocLu00,pass_cmp,0,,,,,
player,201812300oti,oti,StocLu00,pass_att,0,,,,,
player,201812300oti,oti,StocLu00,pass_yds,0,,,,,
player,201812300oti,oti,StocLu00,pass_td,0,,,,,
player,201812300oti,oti,StocLu00,pass_int,0,,,,,
player,201812300oti,oti,StocLu00,pass_sacked,0,,,,,
player,201812300oti,oti,StocLu00,pass_sacked_yds,0,,,,,
player,201812300oti,oti,StocLu00,pass_long,0,,,,,
player,201812300oti,oti,StocLu00,pass_rating,,,,,,
player,201812300oti,oti,StocLu00,rush_att,0,,,,,
player,201812300oti,oti,StocLu00,rush_yds,0,,,,,
player,201812300oti,oti,StocLu00,rush_td,0,,,,,
player,201812300oti,oti,StocLu00,rush_long,0,,,,,
player,201812300oti,oti,StocLu00,targets,2,,,,,
player,201812300oti,oti,StocLu00,rec,1,,,,,
player,201812300oti,oti,StocLu00,rec_yds,22,,,,,
player,201812300oti,oti,StocLu00,rec_td,1,,,,,
player,201812300oti,oti,StocLu00,rec_long,22,,,,,
player,201812300oti,oti,StocLu00,fumbles,0,,,,,
player,201812300oti,oti,StocLu00,fumbles_lost,0,,,,,
player,201812300oti,oti,JennDa00,pass_cmp,0,,,,,
player,201812300oti,oti,JennDa00,pass_att,0,,,,,
player,201812300oti,oti,JennDa00,pass_yds,0,,,,,
player,201812300oti,oti,JennDa00,pass_td,0,,,,,
player,201812300oti,oti,JennDa00,pass_int,0,,,,,
player,201812300oti,oti,JennDa00,pass_sacked,0,,,,,
player,201812300oti,oti,JennDa00,pass_sacked_yds,0,,,,,
player,201812300oti,oti,JennDa00,pass_long,0,,,,,
player,201812300oti,oti,JennDa00,pass_rating,,,,,,
player,201812300oti,oti,JennDa00,rush_att,0,,,,,
player,201812300oti,oti,JennDa00,rush_yds,0,,,,,
player,201812300oti,oti,JennDa00,rush_td,0,,,,,
player,201812300oti,oti,JennDa00,rush_long,0,,,,,
player,201812300oti,oti,JennDa00,targets,5,,,,,
player,201812300oti,oti,JennDa00,rec,3,,,,,
player,201812300oti,oti,JennDa00,rec_yds,17,,,,,
player,201812300oti,oti,JennDa00,rec_td,0,,,,,
player,201812300oti,oti,JennDa00,rec_long,7,,,,,
player,201812300oti,oti,JennDa00,fumbles,0,,,,,
player,201812300oti,oti,JennDa00,fumbles_lost,0,,,,,
player,201812300oti,oti,FirkAn00,pass_cmp,0,,,,,
player,201812300oti,oti,FirkAn00,pass_att,0,,,,,
player,201812300oti,oti,FirkAn00,pass_yds,0,,,,,
player,201812300oti,oti,FirkAn00,pass_td,0,,,,,
player,201812300oti,oti,FirkAn00,pass_int,0,,,,,
player,201812300oti,oti,FirkAn00,pass_sacked,0,,,,,
player,201812300oti,oti,FirkAn00,pass_sacked_yds,0,,,,,
player,201812300oti,oti,FirkAn00,pass_long,0,,,,,
player,201812300oti,oti,FirkAn00,pass_rating,,,,,,
player,201812300oti,oti,FirkAn00,rush_att,0,,,,,
player,201812300oti,oti,FirkAn00,rush_yds,0,,,,,
player,201812300oti,oti,FirkAn00,rush_td,0,,,,,
player,201812300oti,oti,FirkAn00,rush_long,0,,,,,
player,201812300oti,oti,FirkAn00,targets,1,,,,,
player,201812300oti,oti,FirkAn00,rec,1,,,,,
player,201812300oti,oti,FirkAn00,rec_yds,8,,,,,
player,201812300oti,oti,FirkAn00,rec_td,0,,,,,
player,201812300oti,oti,FirkAn00,rec_long,8,,,,,
player,201812300oti,oti,FirkAn00,fumbles,0,,,,,
player,201812300oti,oti,FirkAn00,fumbles_lost,0,,,,,
player,201812300oti,oti,TaylTa00,pass_cmp,0,,,,,
player,201812300oti,oti,TaylTa00,pass_att,0,,,,,
player,201812300oti,oti,TaylTa00,pass_yds,0,,,,,
player,201812300oti,oti,TaylTa00,pass_td,0,,,,,
player,201812300oti,oti,TaylTa00,pass_int,0,,,,,
player,201812300oti,oti,TaylTa00,pass_sacked,0,,,,,
player,201812300oti,oti,TaylTa00,pass_sacked_yds,0,,,,,
player,201812300oti,oti,TaylTa00,pass_long,0,,,,,
player,201812300oti,oti,TaylTa00,pass_rating,,,,,,
player,201812300oti,oti,TaylTa00,rush_att,0,,,,,
player,201812300oti,oti,TaylTa00,rush_yds,0,,,,,
player,201812300oti,oti,TaylTa00,rush_td,0,,,,,
player,201812300oti,oti,TaylTa00,rush_long,0,,,,,
player,201812300oti,oti,TaylTa00,targets,6,,,,,
player,201812300oti,oti,TaylTa00,rec,2,,,,,
player,201812300oti,oti,TaylTa00,rec_yds,8,,,,,
player,201812300oti,oti,TaylTa00,rec_td,0,,,,,
player,201812300oti,oti,TaylTa00,rec_long,6,,,,,
player,201812300oti,oti,TaylTa00,fumbles,0,,,,,
player,201812300oti,oti,TaylTa00,fumbles_lost,0,,,,,
player,201812300oti,oti,SharTa00,pass_cmp,0,,,,,
player,201812300oti,oti,SharTa00,pass_att,0,,,,,
player,201812300oti,oti,SharTa00,pass_yds,0,,,,,
player,201812300oti,oti,SharTa00,pass_td,0,,,,,
player,201812300oti,oti,SharTa00,pass_int,0,,,,,
player,201812300oti,oti,SharTa00,pass_sacked,0,,,,,
player,201812300oti,oti,SharTa00,pass_sacked_yds,0,,,,,
player,201812300oti,oti,SharTa00,pass_long,0,,,,,
player,201812300oti,oti,SharTa00,pass_rating,,,,,,
player,201812300oti,oti,SharTa00,rush_att,0,,,,,
player,201812300oti,oti,SharTa00,rush_yds,0,,,,,
player,201812300oti,oti,SharTa00,rush_td,0,,,,,
player,201812300oti,oti,SharTa00,rush_long,0,,,,,
player,201812300oti,oti,SharTa00,targets,1,,,,,
player,201812300oti,oti,SharTa00,rec,0,,,,,
player,201812300oti,oti,SharTa00,rec_yds,0,,,,,
player,201812300oti,oti,SharTa00,rec_td,0,,,,,
player,201812300oti,oti,SharTa00,rec_long,0,,,,,
player,201812300oti,oti,SharTa00,fumbles,0,,,,,
player,201812300oti,oti,SharTa00,fumbles_lost,0,,,,,
player,201812300oti,clt,LeonDa00,def_int,1,,,,,
player,201812300oti,clt,LeonDa00,def_int_yds,28,,,,,
player,201812300oti,clt,LeonDa00,def_int_td,0,,,,,
player,201812300oti,clt,LeonDa00,def_int_long,28,,,,,
player,201812300oti,clt,LeonDa00,pass_defended,2,,,,,
player,201812300oti,clt,LeonDa00,sacks,0.0,,,,,
player,201812300oti,clt,LeonDa00,tackles_combined,8,,,,,
player,201812300oti,clt,LeonDa00,tackles_solo,4,,,,,
player,201812300oti,clt,LeonDa00,tackles_assists,4,,,,,
player,201812300oti,clt,LeonDa00,tackles_loss,0,,,,,
