game,2018,15,20181216,201812160atl,crd,"Arizona Cardinals",14,atl,"Atlanta Falcons",40
player,201812160atl,atl,HoopAu00,pass_att,0,,,,,
player,201812160atl,atl,HoopAu00,pass_yds,0,,,,,
player,201812160atl,atl,HoopAu00,pass_td,0,,,,,
player,201812160atl,atl,HoopAu00,pass_int,0,,,,,
player,201812160atl,atl,HoopAu00,pass_sacked,0,,,,,
player,201812160atl,atl,HoopAu00,pass_sacked_yds,0,,,,,
player,201812160atl,atl,HoopAu00,pass_long,0,,,,,
player,201812160atl,atl,HoopAu00,pass_rating,,,,,,
player,201812160atl,atl,HoopAu00,rush_att,0,,,,,
player,201812160atl,atl,HoopAu00,rush_yds,0,,,,,
player,201812160atl,atl,HoopAu00,rush_td,0,,,,,
player,201812160atl,atl,HoopAu00,rush_long,0,,,,,
player,201812160atl,atl,HoopAu00,targets,1,,,,,
player,201812160atl,atl,HoopAu00,rec,0,,,,,
player,201812160atl,atl,HoopAu00,rec_yds,0,,,,,
player,201812160atl,atl,HoopAu00,rec_td,0,,,,,
player,201812160atl,atl,HoopAu00,rec_long,0,,,,,
player,201812160atl,atl,HoopAu00,fumbles,0,,,,,
player,201812160atl,atl,HoopAu00,fumbles_lost,0,,,,,
player,201812160atl,crd,ReddHa00,def_int,0,,,,,
player,201812160atl,crd,ReddHa00,def_int_yds,0,,,,,
player,201812160atl,crd,ReddHa00,def_int_td,0,,,,,
player,201812160atl,crd,ReddHa00,def_int_long,0,,,,,
player,201812160atl,crd,ReddHa00,pass_defended,1,,,,,
player,201812160atl,crd,ReddHa00,sacks,1.0,,,,,
player,201812160atl,crd,ReddHa00,tackles_combined,5,,,,,
player,201812160atl,crd,ReddHa00,tackles_solo,5,,,,,
player,201812160atl,crd,ReddHa00,tackles_assists,0,,,,,
player,201812160atl,crd,ReddHa00,tackles_loss,1,,,,,
