game,2018,3,20180923,201809230atl,nor,"New Orleans Saints",43,atl,"Atlanta Falcons",37
player,201809230atl,atl,OrtiRi00,st_pct,22%,,,,,
player,201809230atl,atl,SaubEr00,pos,TE,,,,,
player,201809230atl,atl,SaubEr00,offense,5,,,,,
player,201809230atl,atl,SaubEr00,off_pct,7%,,,,,
player,201809230atl,atl,SaubEr00,defense,0,,,,,
player,201809230atl,atl,SaubEr00,def_pct,0%,,,,,
player,201809230atl,atl,SaubEr00,special_teams,21,,,,,
player,201809230atl,atl,SaubEr00,st_pct,58%,,,,,
player,201809230atl,atl,GageRu00,pos,WR,,,,,
player,201809230atl,atl,GageRu00,offense,2,,,,,
player,201809230atl,atl,GageRu00,off_pct,3%,,,,,
player,201809230atl,atl,GageRu00,defense,0,,,,,
player,201809230atl,atl,GageRu00,def_pct,0%,,,,,
player,201809230atl,atl,GageRu00,special_teams,25,,,,,
player,201809230atl,atl,GageRu00,st_pct,69%,,,,,
player,201809230atl,atl,AlfoRo00,pos,CB,,,,,
player,201809230atl,atl,AlfoRo00,offense,0,,,,,
player,201809230atl,atl,AlfoRo00,off_pct,0%,,,,,
player,201809230atl,atl,AlfoRo00,defense,78,,,,,
player,201809230atl,atl,AlfoRo00,def_pct,99%,,,,,
player,201809230atl,atl,AlfoRo00,special_teams,16,,,,,
player,201809230atl,atl,AlfoRo00,st_pct,44%,,,,,
player,201809230atl,atl,TrufDe00,pos,CB,,,,,
player,201809230atl,atl,TrufDe00,offense,0,,,,,
player,201809230atl,atl,TrufDe00,off_pct,0%,,,,,
player,201809230atl,atl,TrufDe00,defense,77,,,,,
player,201809230atl,atl,TrufDe00,def_pct,97%,,,,,
player,201809230atl,atl,TrufDe00,special_teams,3,,,,,
player,201809230atl,atl,TrufDe00,st_pct,8%,,,,,
player,201809230atl,atl,CampDe00,pos,LB,,,,,
player,201809230atl,atl,CampDe00,offense,0,,,,,
player,201809230atl,atl,CampDe00,off_pct,0%,,,,,
player,201809230atl,atl,CampDe00,defense,76,,,,,
player,201809230atl,atl,CampDe00,def_pct,96%,,,,,
player,201809230atl,atl,CampDe00,special_teams,9,,,,,
player,201809230atl,atl,CampDe00,st_pct,25%,,,,,
player,201809230atl,atl,KazeDa00,pos,SS,,,,,
player,201809230atl,atl,KazeDa00,offense,0,,,,,
player,201809230atl,atl,KazeDa00,off_pct,0%,,,,,
player,201809230atl,atl,KazeDa00,defense,72,,,,,
player,201809230atl,atl,KazeDa00,def_pct,91%,,,,,
player,201809230atl,atl,KazeDa00,special_teams,18,,,,,
player,201809230atl,atl,KazeDa00,st_pct,50%,,,,,
player,201809230atl,atl,PoolBr01,pos,CB,,,,,
player,201809230atl,atl,PoolBr01,offense,0,,,,,
player,201809230atl,atl,PoolBr01,off_pct,0%,,,,,
player,201809230atl,atl,PoolBr01,defense,70,,,,,
player,201809230atl,atl,PoolBr01,def_pct,89%,,,,,
player,201809230atl,atl,PoolBr01,special_teams,8,,,,,
player,201809230atl,atl,PoolBr01,st_pct,22%,,,,,
player,201809230atl,atl,JarrGr00,pos,DT,,,,,
player,201809230atl,atl,JarrGr00,offense,0,,,,,
player,201809230atl,atl,JarrGr00,off_pct,0%,,,,,
player,201809230atl,atl,JarrGr00,defense,66,,,,,
player,201809230atl,atl,JarrGr00,def_pct,84%,,,,,
player,201809230atl,atl,JarrGr00,special_teams,9,,,,,
player,201809230atl,atl,JarrGr00,st_pct,25%,,,,,
player,201809230atl,atl,AlleRi00,pos,SS,,,,,
player,201809230atl,atl,AlleRi00,offense,0,,,,,
player,201809230atl,atl,AlleRi00,off_pct,0%,,,,,
player,201809230atl,atl,AlleRi00,defense,66,,,,,
player,201809230atl,atl,AlleRi00,def_pct,84%,,,,,
player,201809230atl,atl,AlleRi00,special_teams,0,,,,,
player,201809230atl,atl,AlleRi00,st_pct,0%,,,,,
player,201809230atl,atl,BeasVi00,pos,LB,,,,,
player,201809230atl,atl,BeasVi00,offense,0,,,,,
player,201809230atl,atl,BeasVi00,off_pct,0%,,,,,
player,201809230atl,atl,BeasVi00,defense,65,,,,,
player,201809230atl,atl,BeasVi00,def_pct,82%,,,,,
player,201809230atl,atl,BeasVi00,special_teams,2,,,,,
player,201809230atl,atl,BeasVi00,st_pct,6%,,,,,
player,201809230atl,atl,RileDu00,pos,LB,,,,,
player,201809230atl,atl,RileDu00,offense,0,,,,,
player,201809230atl,atl,RileDu00,off_pct,0%,,,,,
player,201809230atl,atl,RileDu00,defense,63,,,,,
player,201809230atl,atl,RileDu00,def_pct,80%,,,,,
player,201809230atl,atl,RileDu00,special_teams,9,,,,,
player,201809230atl,atl,RileDu00,st_pct,25%,,,,,
player,201809230atl,atl,ReedBr00,pos,DE,,,,,
player,201809230atl,atl,ReedBr00,offense,0,,,,,
player,201809230atl,atl,ReedBr00,off_pct,0%,,,,,
player,201809230atl,atl,ReedBr00,defense,62,,,,,
player,201809230atl,atl,ReedBr00,def_pct,78%,,,,,
player,201809230atl,atl,ReedBr00,special_teams,15,,,,,
player,201809230atl,atl,ReedBr00,st_pct,42%,,,,,
player,201809230atl,atl,McClTe00,pos,DT,,,,,
player,201809230atl,atl,McClTe00,offense,0,,,,,
player,201809230atl,atl,McClTe00,off_pct,0%,,,,,
player,201809230atl,atl,McClTe00,defense,41,,,,,
player,201809230atl,atl,McClTe00,def_pct,52%,,,,,
player,201809230atl,atl,McClTe00,special_teams,7,,,,,
player,201809230atl,atl,McClTe00,st_pct,19%,,,,,
player,201809230atl,atl,SenaDe00,pos,NT,,,,,
player,201809230atl,atl,SenaDe00,offense,0,,,,,
player,201809230atl,atl,SenaDe00,off_pct,0%,,,,,
player,201809230atl,atl,SenaDe00,defense,28,,,,,
player,201809230atl,atl,SenaDe00,def_pct,35%,,,,,
player,201809230atl,atl,SenaDe00,special_teams,0,,,,,
player,201809230atl,atl,SenaDe00,st_pct,0%,,,,,
player,201809230atl,atl,RichJo00,pos,SS,,,,,
player,201809230atl,atl,RichJo00,offense,0,,,,,
player,201809230atl,atl,RichJo00,off_pct,0%,,,,,
player,201809230atl,atl,RichJo00,defense,25,,,,,
player,201809230atl,atl,RichJo00,def_pct,32%,,,,,
player,201809230atl,atl,RichJo00,special_teams,21,,,,,
player,201809230atl,atl,RichJo00,st_pct,58%,,,,,
player,201809230atl,atl,CrawJa00,pos,DT,,,,,
player,201809230atl,atl,CrawJa00,offense,0,,,,,
player,201809230atl,atl,CrawJa00,off_pct,0%,,,,,
player,201809230atl,atl,CrawJa00,defense,23,,,,,
player,201809230atl,atl,CrawJa00,def_pct,29%,,,,,
player,201809230atl,atl,CrawJa00,special_teams,9,,,,,
player,201809230atl,atl,CrawJa00,st_pct,25%,,,,,
player,201809230atl,atl,OluoFo00,pos,LB,,,,,
player,201809230atl,atl,OluoFo00,offense,0,,,,,
player,201809230atl,atl,OluoFo00,off_pct,0%,,,,,
player,201809230atl,atl,OluoFo00,defense,18,,,,,
player,201809230atl,atl,OluoFo00,def_pct,23%,,,,,
player,201809230atl,atl,OluoFo00,special_teams,22,,,,,
player,201809230atl,atl,OluoFo00,st_pct,61%,,,,,
player,201809230atl,atl,MeanSt00,pos,DE,,,,,
player,201809230atl,atl,MeanSt00,offense,0,,,,,
player,201809230atl,atl,MeanSt00,off_pct,0%,,,,,
player,201809230atl,atl,MeanSt00,defense,18,,,,,
player,201809230atl,atl,MeanSt00,def_pct,23%,,,,,
player,201809230atl,atl,MeanSt00,special_teams,2,,,,,
player,201809230atl,atl,MeanSt00,st_pct,6%,,,,,
player,201809230atl,atl,OlivIs00,pos,CB,,,,,
player,201809230atl,atl,OlivIs00,offense,0,,,,,
player,201809230atl,atl,OlivIs00,off_pct,0%,,,,,
player,201809230atl,atl,OlivIs00,defense,12,,,,,
player,201809230atl,atl,OlivIs00,def_pct,15%,,,,,
player,201809230atl,atl,OlivIs00,special_teams,18,,,,,
player,201809230atl,atl,OlivIs00,st_pct,50%,,,,,
player,201809230atl,atl,ZimmJu00,pos,DT,,,,,
player,201809230atl,atl,ZimmJu00,offense,0,,,,,
player,201809230atl,atl,ZimmJu00,off_pct,0%,,,,,
player,201809230atl,atl,ZimmJu00,defense,9,,,,,
player,201809230atl,atl,ZimmJu00,def_pct,11%,,,,,
player,201809230atl,atl,ZimmJu00,special_teams,0,,,,,
player,201809230atl,atl,ZimmJu00,st_pct,0%,,,,,
player,201809230atl,atl,IshmKe00,pos,FS,,,,,
player,201809230atl,atl,IshmKe00,offense,0,,,,,
player,201809230atl,atl,IshmKe00,off_pct,0%,,,,,
player,201809230atl,atl,IshmKe00,defense,0,,,,,
