game,2014,14,20141207,201412070rai,sfo,"San Francisco 49ers",13,rai,"Oakland Raiders",24
player,201412070rai,rai,JoneJa04,rush_td,0,,,,,
player,201412070rai,rai,JoneJa04,rush_long,0,,,,,
player,201412070rai,rai,JoneJa04,targets,2,,,,,
player,201412070rai,rai,JoneJa04,rec,2,,,,,
player,201412070rai,rai,JoneJa04,rec_yds,11,,,,,
player,201412070rai,rai,JoneJa04,rec_td,0,,,,,
player,201412070rai,rai,JoneJa04,rec_long,9,,,,,
player,201412070rai,rai,JoneJa04,fumbles,0,,,,,
player,201412070rai,rai,JoneJa04,fumbles_lost,0,,,,,
player,201412070rai,rai,PennDo20,pass_cmp,0,,,,,
player,201412070rai,rai,PennDo20,pass_att,0,,,,,
player,201412070rai,rai,PennDo20,pass_yds,0,,,,,
player,201412070rai,rai,PennDo20,pass_td,0,,,,,
player,201412070rai,rai,PennDo20,pass_int,0,,,,,
player,201412070rai,rai,PennDo20,pass_sacked,,,,,,
player,201412070rai,rai,PennDo20,pass_sacked_yds,0,,,,,
player,201412070rai,rai,PennDo20,pass_long,0,,,,,
player,201412070rai,rai,PennDo20,pass_rating,,,,,,
player,201412070rai,rai,PennDo20,rush_att,0,,,,,
player,201412070rai,rai,PennDo20,rush_yds,0,,,,,
player,201412070rai,rai,PennDo20,rush_td,0,,,,,
player,201412070rai,rai,PennDo20,rush_long,0,,,,,
player,201412070rai,rai,PennDo20,targets,1,,,,,
player,201412070rai,rai,PennDo20,rec,1,,,,,
player,201412070rai,rai,PennDo20,rec_yds,3,,,,,
player,201412070rai,rai,PennDo20,rec_td,1,,,,,
player,201412070rai,rai,PennDo20,rec_long,3,,,,,
player,201412070rai,rai,PennDo20,fumbles,0,,,,,
player,201412070rai,rai,PennDo20,fumbles_lost,0,,,,,
player,201412070rai,rai,ButlBr00,pass_cmp,0,,,,,
player,201412070rai,rai,ButlBr00,pass_att,0,,,,,
player,201412070rai,rai,ButlBr00,pass_yds,0,,,,,
player,201412070rai,rai,ButlBr00,pass_td,0,,,,,
player,201412070rai,rai,ButlBr00,pass_int,0,,,,,
player,201412070rai,rai,ButlBr00,pass_sacked,0,,,,,
player,201412070rai,rai,ButlBr00,pass_sacked_yds,0,,,,,
player,201412070rai,rai,ButlBr00,pass_long,0,,,,,
player,201412070rai,rai,ButlBr00,pass_rating,,,,,,
player,201412070rai,rai,ButlBr00,rush_att,0,,,,,
player,201412070rai,rai,ButlBr00,rush_yds,0,,,,,
player,201412070rai,rai,ButlBr00,rush_td,0,,,,,
player,201412070rai,rai,ButlBr00,rush_long,0,,,,,
player,201412070rai,rai,ButlBr00,targets,2,,,,,
player,201412070rai,rai,ButlBr00,rec,0,,,,,
player,201412070rai,rai,ButlBr00,rec_yds,0,,,,,
player,201412070rai,rai,ButlBr00,rec_td,0,,,,,
player,201412070rai,rai,ButlBr00,rec_long,0,,,,,
player,201412070rai,rai,ButlBr00,fumbles,0,,,,,
player,201412070rai,rai,ButlBr00,fumbles_lost,0,,,,,
player,201412070rai,rai,ThomKe02,pass_cmp,0,,,,,
player,201412070rai,rai,ThomKe02,pass_att,0,,,,,
player,201412070rai,rai,ThomKe02,pass_yds,0,,,,,
player,201412070rai,rai,ThomKe02,pass_td,0,,,,,
player,201412070rai,rai,ThomKe02,pass_int,0,,,,,
player,201412070rai,rai,ThomKe02,pass_sacked,0,,,,,
player,201412070rai,rai,ThomKe02,pass_sacked_yds,0,,,,,
player,201412070rai,rai,ThomKe02,pass_long,0,,,,,
player,201412070rai,rai,ThomKe02,pass_rating,,,,,,
player,201412070rai,rai,ThomKe02,rush_att,0,,,,,
player,201412070rai,rai,ThomKe02,rush_yds,0,,,,,
player,201412070rai,rai,ThomKe02,rush_td,0,,,,,
player,201412070rai,rai,ThomKe02,rush_long,0,,,,,
player,201412070rai,rai,ThomKe02,targets,1,,,,,
player,201412070rai,rai,ThomKe02,rec,0,,,,,
player,201412070rai,rai,ThomKe02,rec_yds,0,,,,,
player,201412070rai,rai,ThomKe02,rec_td,0,,,,,
player,201412070rai,rai,ThomKe02,rec_long,0,,,,,
player,201412070rai,rai,ThomKe02,fumbles,0,,,,,
player,201412070rai,rai,ThomKe02,fumbles_lost,0,,,,,
player,201412070rai,sfo,SkutDa00,def_int,0,,,,,
