game,2014,14,20141207,201412070cle,clt,"Indianapolis Colts",25,cle,"Cleveland Browns",24
player,201412070cle,cle,CameJo00,pass_sacked_yds,0,,,,,
player,201412070cle,cle,CameJo00,pass_long,0,,,,,
player,201412070cle,cle,CameJo00,pass_rating,,,,,,
player,201412070cle,cle,CameJo00,rush_att,0,,,,,
player,201412070cle,cle,CameJo00,rush_yds,0,,,,,
player,201412070cle,cle,CameJo00,rush_td,0,,,,,
player,201412070cle,cle,CameJo00,rush_long,0,,,,,
player,201412070cle,cle,CameJo00,targets,5,,,,,
player,201412070cle,cle,CameJo00,rec,4,,,,,
player,201412070cle,cle,CameJo00,rec_yds,41,,,,,
player,201412070cle,cle,CameJo00,rec_td,0,,,,,
player,201412070cle,cle,CameJo00,rec_long,20,,,,,
player,201412070cle,cle,CameJo00,fumbles,0,,,,,
player,201412070cle,cle,CameJo00,fumbles_lost,0,,,,,
player,201412070cle,cle,HawkAn00,pass_cmp,0,,,,,
player,201412070cle,cle,HawkAn00,pass_att,0,,,,,
player,201412070cle,cle,HawkAn00,pass_yds,0,,,,,
player,201412070cle,cle,HawkAn00,pass_td,0,,,,,
player,201412070cle,cle,HawkAn00,pass_int,0,,,,,
player,201412070cle,cle,HawkAn00,pass_sacked,0,,,,,
player,201412070cle,cle,HawkAn00,pass_sacked_yds,0,,,,,
player,201412070cle,cle,HawkAn00,pass_long,0,,,,,
player,201412070cle,cle,HawkAn00,pass_rating,,,,,,
player,201412070cle,cle,HawkAn00,rush_att,0,,,,,
player,201412070cle,cle,HawkAn00,rush_yds,0,,,,,
player,201412070cle,cle,HawkAn00,rush_td,0,,,,,
player,201412070cle,cle,HawkAn00,rush_long,0,,,,,
player,201412070cle,cle,HawkAn00,targets,7,,,,,
player,201412070cle,cle,HawkAn00,rec,4,,,,,
player,201412070cle,cle,HawkAn00,rec_yds,38,,,,,
player,201412070cle,cle,HawkAn00,rec_td,0,,,,,
player,201412070cle,cle,HawkAn00,rec_long,20,,,,,
player,201412070cle,cle,HawkAn00,fumbles,0,,,,,
player,201412070cle,cle,HawkAn00,fumbles_lost,0,,,,,
player,201412070cle,cle,BenjTr00,pass_cmp,0,,,,,
player,201412070cle,cle,BenjTr00,pass_att,0,,,,,
player,201412070cle,cle,BenjTr00,pass_yds,0,,,,,
player,201412070cle,cle,BenjTr00,pass_td,0,,,,,
player,201412070cle,cle,BenjTr00,pass_int,0,,,,,
player,201412070cle,cle,BenjTr00,pass_sacked,0,,,,,
player,201412070cle,cle,BenjTr00,pass_sacked_yds,0,,,,,
player,201412070cle,cle,BenjTr00,pass_long,0,,,,,
player,201412070cle,cle,BenjTr00,pass_rating,,,,,,
player,201412070cle,cle,BenjTr00,rush_att,0,,,,,
player,201412070cle,cle,BenjTr00,rush_yds,0,,,,,
player,201412070cle,cle,BenjTr00,rush_td,0,,,,,
player,201412070cle,cle,BenjTr00,rush_long,0,,,,,
player,201412070cle,cle,BenjTr00,targets,5,,,,,
player,201412070cle,cle,BenjTr00,rec,1,,,,,
player,201412070cle,cle,BenjTr00,rec_yds,27,,,,,
player,201412070cle,cle,BenjTr00,rec_td,0,,,,,
player,201412070cle,cle,BenjTr00,rec_long,27,,,,,
player,201412070cle,cle,BenjTr00,fumbles,0,,,,,
player,201412070cle,cle,BenjTr00,fumbles_lost,0,,,,,
player,201412070cle,cle,GordJo02,pass_cmp,0,,,,,
player,201412070cle,cle,GordJo02,pass_att,0,,,,,
player,201412070cle,cle,GordJo02,pass_yds,0,,,,,
player,201412070cle,cle,GordJo02,pass_td,0,,,,,
player,201412070cle,cle,GordJo02,pass_int,0,,,,,
player,201412070cle,cle,GordJo02,pass_sacked,0,,,,,
player,201412070cle,cle,GordJo02,pass_sacked_yds,0,,,,,
player,201412070cle,cle,GordJo02,pass_long,0,,,,,
player,201412070cle,cle,GordJo02,pass_rating,,,,,,
player,201412070cle,cle,GordJo02,rush_att,0,,,,,
player,201412070cle,cle,GordJo02,rush_yds,0,,,,,
player,201412070cle,cle,GordJo02,rush_td,0,,,,,
player,201412070cle,cle,GordJo02,rush_long,0,,,,,
player,201412070cle,cle,GordJo02,targets,7,,,,,
player,201412070cle,cle,GordJo02,rec,2,,,,,
player,201412070cle,cle,GordJo02,rec_yds,15,,,,,
player,201412070cle,cle,GordJo02,rec_td,0,,,,,
player,201412070cle,cle,GordJo02,rec_long,9,,,,,
player,201412070cle,cle,GordJo02,fumbles,0,,,,,
player,201412070cle,cle,GordJo02,fumbles_lost,0,,,,,
player,201412070cle,cle,DrayJi00,pass_cmp,0,,,,,
player,201412070cle,cle,DrayJi00,pass_att,0,,,,,
player,201412070cle,cle,DrayJi00,pass_yds,0,,,,,
player,201412070cle,cle,DrayJi00,pass_td,0,,,,,
player,201412070cle,cle,DrayJi00,pass_int,0,,,,,
player,201412070cle,cle,DrayJi00,pass_sacked,0,,,,,
player,201412070cle,cle,DrayJi00,pass_sacked_yds,0,,,,,
player,201412070cle,cle,DrayJi00,pass_long,0,,,,,
player,201412070cle,cle,DrayJi00,pass_rating,,,,,,
player,201412070cle,cle,DrayJi00,rush_att,0,,,,,
player,201412070cle,cle,DrayJi00,rush_yds,0,,,,,
player,201412070cle,cle,DrayJi00,rush_td,0,,,,,
player,201412070cle,cle,DrayJi00,rush_long,0,,,,,
player,201412070cle,cle,DrayJi00,targets,3,,,,,
player,201412070cle,cle,DrayJi00,rec,1,,,,,
player,201412070cle,cle,DrayJi00,rec_yds,3,,,,,
player,201412070cle,cle,DrayJi00,rec_td,0,,,,,
player,201412070cle,cle,DrayJi00,rec_long,3,,,,,
player,201412070cle,cle,DrayJi00,fumbles,0,,,,,
player,201412070cle,cle,DrayJi00,fumbles_lost,0,,,,,
player,201412070cle,clt,AdamMi21,def_int,1,,,,,
player,201412070cle,clt,AdamMi21,def_int_yds,0,,,,,
player,201412070cle,clt,AdamMi21,def_int_td,0,,,,,
player,201412070cle,clt,AdamMi21,def_int_long,0,,,,,
player,201412070cle,clt,AdamMi21,pass_defended,1,,,,,
player,201412070cle,clt,AdamMi21,sacks,0.0,,,,,
player,201412070cle,clt,AdamMi21,tackles_combined,4,,,,,
player,201412070cle,clt,AdamMi21,tackles_solo,3,,,,,
player,201412070cle,clt,AdamMi21,tackles_assists,1,,,,,
player,201412070cle,clt,AdamMi21,tackles_loss,0,,,,,
player,201412070cle,clt,AdamMi21,qb_hits,0,,,,,
player,201412070cle,clt,AdamMi21,fumbles_rec,0,,,,,
player,201412070cle,clt,AdamMi21,fumbles_rec_yds,0,,,,,
player,201412070cle,clt,AdamMi21,fumbles_rec_td,0,,,,,
player,201412070cle,clt,AdamMi21,fumbles_forced,0,,,,,
player,201412070cle,clt,GordJo01,def_int,1,,,,,
player,201412070cle,clt,GordJo01,def_int_yds,0,,,,,
player,201412070cle,clt,GordJo01,def_int_td,0,,,,,
player,201412070cle,clt,GordJo01,def_int_long,0,,,,,
player,201412070cle,clt,GordJo01,pass_defended,1,,,,,
player,201412070cle,clt,GordJo01,sacks,0.0,,,,,
player,201412070cle,clt,GordJo01,tackles_combined,1,,,,,
player,201412070cle,clt,GordJo01,tackles_solo,1,,,,,
player,201412070cle,clt,GordJo01,tackles_assists,0,,,,,
player,201412070cle,clt,GordJo01,tackles_loss,0,,,,,
player,201412070cle,clt,GordJo01,qb_hits,0,,,,,
player,201412070cle,clt,GordJo01,fumbles_rec,1,,,,,
player,201412070cle,clt,GordJo01,fumbles_rec_yds,0,,,,,
player,201412070cle,clt,GordJo01,fumbles_rec_td,0,,,,,
player,201412070cle,clt,GordJo01,fumbles_forced,0,,,,,
player,201412070cle,clt,WaldEr99,def_int,0,,,,,
player,201412070cle,clt,WaldEr99,def_int_yds,0,,,,,
player,201412070cle,clt,WaldEr99,def_int_td,0,,,,,
player,201412070cle,clt,WaldEr99,def_int_long,0,,,,,
player,201412070cle,clt,WaldEr99,pass_defended,0,,,,,
player,201412070cle,clt,WaldEr99,sacks,1.0,,,,,
player,201412070cle,clt,WaldEr99,tackles_combined,2,,,,,
player,201412070cle,clt,WaldEr99,tackles_solo,1,,,,,
player,201412070cle,clt,WaldEr99,tackles_assists,1,,,,,
player,201412070cle,clt,WaldEr99,tackles_loss,1,,,,,
player,201412070cle,clt,WaldEr99,qb_hits,1,,,,,
player,201412070cle,clt,WaldEr99,fumbles_rec,0,,,,,
player,201412070cle,clt,WaldEr99,fumbles_rec_yds,0,,,,,
player,201412070cle,clt,WaldEr99,fumbles_rec_td,0,,,,,
player,201412070cle,clt,WaldEr99,fumbles_forced,0,,,,,
player,201412070cle,clt,FreeJe00,def_int,0,,,,,
player,201412070cle,clt,FreeJe00,def_int_yds,0,,,,,
player,201412070cle,clt,FreeJe00,def_int_td,0,,,,,
player,201412070cle,clt,FreeJe00,def_int_long,0,,,,,
player,201412070cle,clt,FreeJe00,pass_defended,1,,,,,
player,201412070cle,clt,FreeJe00,sacks,0.0,,,,,
player,201412070cle,clt,FreeJe00,tackles_combined,9,,,,,
player,201412070cle,clt,FreeJe00,tackles_solo,7,,,,,
player,201412070cle,clt,FreeJe00,tackles_assists,2,,,,,
player,201412070cle,clt,FreeJe00,tackles_loss,0,,,,,
player,201412070cle,clt,FreeJe00,qb_hits,2,,,,,
player,201412070cle,clt,FreeJe00,fumbles_rec,0,,,,,
player,201412070cle,clt,FreeJe00,fumbles_rec_yds,0,,,,,
player,201412070cle,clt,FreeJe00,fumbles_rec_td,0,,,,,
player,201412070cle,clt,FreeJe00,fumbles_forced,0,,,,,
player,201412070cle,clt,JackDQ20,def_int,0,,,,,
player,201412070cle,clt,JackDQ20,def_int_yds,0,,,,,
player,201412070cle,clt,JackDQ20,def_int_td,0,,,,,
player,201412070cle,clt,JackDQ20,def_int_long,0,,,,,
player,201412070cle,clt,JackDQ20,pass_defended,0,,,,,
player,201412070cle,clt,JackDQ20,sacks,0.0,,,,,
