game,2014,2,20140915,201409150clt,phi,"Philadelphia Eagles",30,clt,"Indianapolis Colts",27
player,201409150clt,clt,AlleDw00,pass_int,0,,,,,
player,201409150clt,clt,AlleDw00,pass_sacked,0,,,,,
player,201409150clt,clt,AlleDw00,pass_sacked_yds,0,,,,,
player,201409150clt,clt,AlleDw00,pass_long,0,,,,,
player,201409150clt,clt,AlleDw00,pass_rating,,,,,,
player,201409150clt,clt,AlleDw00,rush_att,0,,,,,
player,201409150clt,clt,AlleDw00,rush_yds,0,,,,,
player,201409150clt,clt,AlleDw00,rush_td,0,,,,,
player,201409150clt,clt,AlleDw00,rush_long,0,,,,,
player,201409150clt,clt,AlleDw00,targets,1,,,,,
player,201409150clt,clt,AlleDw00,rec,0,,,,,
player,201409150clt,clt,AlleDw00,rec_yds,0,,,,,
player,201409150clt,clt,AlleDw00,rec_td,0,,,,,
player,201409150clt,clt,AlleDw00,rec_long,0,,,,,
player,201409150clt,clt,AlleDw00,fumbles,0,,,,,
player,201409150clt,clt,AlleDw00,fumbles_lost,0,,,,,
player,201409150clt,clt,NickHa01,pass_cmp,0,,,,,
player,201409150clt,clt,NickHa01,pass_att,0,,,,,
player,201409150clt,clt,NickHa01,pass_yds,0,,,,,
player,201409150clt,clt,NickHa01,pass_td,0,,,,,
player,201409150clt,clt,NickHa01,pass_int,0,,,,,
player,201409150clt,clt,NickHa01,pass_sacked,0,,,,,
player,201409150clt,clt,NickHa01,pass_sacked_yds,0,,,,,
player,201409150clt,clt,NickHa01,pass_long,0,,,,,
player,201409150clt,clt,NickHa01,pass_rating,,,,,,
player,201409150clt,clt,NickHa01,rush_att,0,,,,,
player,201409150clt,clt,NickHa01,rush_yds,0,,,,,
player,201409150clt,clt,NickHa01,rush_td,0,,,,,
player,201409150clt,clt,NickHa01,rush_long,0,,,,,
player,201409150clt,clt,NickHa01,targets,3,,,,,
player,201409150clt,clt,NickHa01,rec,1,,,,,
player,201409150clt,clt,NickHa01,rec_yds,-4,,,,,
player,201409150clt,clt,NickHa01,rec_td,0,,,,,
player,201409150clt,clt,NickHa01,rec_long,-4,,,,,
player,201409150clt,clt,NickHa01,fumbles,0,,,,,
player,201409150clt,clt,NickHa01,fumbles_lost,0,,,,,
player,201409150clt,phi,JenkMa99,def_int,1,,,,,
player,201409150clt,phi,JenkMa99,def_int_yds,8,,,,,
player,201409150clt,phi,JenkMa99,def_int_td,0,,,,,
player,201409150clt,phi,JenkMa99,def_int_long,8,,,,,
player,201409150clt,phi,JenkMa99,pass_defended,2,,,,,
player,201409150clt,phi,JenkMa99,sacks,0.0,,,,,
player,201409150clt,phi,JenkMa99,tackles_combined,6,,,,,
player,201409150clt,phi,JenkMa99,tackles_solo,1,,,,,
player,201409150clt,phi,JenkMa99,tackles_assists,5,,,,,
player,201409150clt,phi,JenkMa99,tackles_loss,0,,,,,
player,201409150clt,phi,JenkMa99,qb_hits,0,,,,,
player,201409150clt,phi,JenkMa99,fumbles_rec,0,,,,,
player,201409150clt,phi,JenkMa99,fumbles_rec_yds,0,,,,,
player,201409150clt,phi,JenkMa99,fumbles_rec_td,0,,,,,
player,201409150clt,phi,JenkMa99,fumbles_forced,0,,,,,
player,201409150clt,phi,RyanDe20,def_int,0,,,,,
