game,2014,9,20141102,201411020cle,tam,"Tampa Bay Buccaneers",17,cle,"Cleveland Browns",22
player,201411020cle,cle,TateBe00,pass_att,0,,,,,
player,201411020cle,cle,TateBe00,pass_yds,0,,,,,
player,201411020cle,cle,TateBe00,pass_td,0,,,,,
player,201411020cle,cle,TateBe00,pass_int,0,,,,,
player,201411020cle,cle,TateBe00,pass_sacked,0,,,,,
player,201411020cle,cle,TateBe00,pass_sacked_yds,0,,,,,
player,201411020cle,cle,TateBe00,pass_long,0,,,,,
player,201411020cle,cle,TateBe00,pass_rating,,,,,,
player,201411020cle,cle,TateBe00,rush_att,10,,,,,
player,201411020cle,cle,TateBe00,rush_yds,3,,,,,
player,201411020cle,cle,TateBe00,rush_td,0,,,,,
player,201411020cle,cle,TateBe00,rush_long,4,,,,,
player,201411020cle,cle,TateBe00,targets,4,,,,,
player,201411020cle,cle,TateBe00,rec,4,,,,,
player,201411020cle,cle,TateBe00,rec_yds,29,,,,,
player,201411020cle,cle,TateBe00,rec_td,0,,,,,
player,201411020cle,cle,TateBe00,rec_long,16,,,,,
player,201411020cle,cle,TateBe00,fumbles,0,,,,,
player,201411020cle,cle,TateBe00,fumbles_lost,0,,,,,
player,201411020cle,cle,GabrTa00,pass_cmp,0,,,,,
player,201411020cle,cle,GabrTa00,pass_att,0,,,,,
player,201411020cle,cle,GabrTa00,pass_yds,0,,,,,
player,201411020cle,cle,GabrTa00,pass_td,0,,,,,
player,201411020cle,cle,GabrTa00,pass_int,0,,,,,
player,201411020cle,cle,GabrTa00,pass_sacked,0,,,,,
player,201411020cle,cle,GabrTa00,pass_sacked_yds,0,,,,,
player,201411020cle,cle,GabrTa00,pass_long,0,,,,,
player,201411020cle,cle,GabrTa00,pass_rating,,,,,,
player,201411020cle,cle,GabrTa00,rush_att,0,,,,,
player,201411020cle,cle,GabrTa00,rush_yds,0,,,,,
player,201411020cle,cle,GabrTa00,rush_td,0,,,,,
player,201411020cle,cle,GabrTa00,rush_long,0,,,,,
player,201411020cle,cle,GabrTa00,targets,6,,,,,
player,201411020cle,cle,GabrTa00,rec,5,,,,,
player,201411020cle,cle,GabrTa00,rec_yds,87,,,,,
player,201411020cle,cle,GabrTa00,rec_td,1,,,,,
player,201411020cle,cle,GabrTa00,rec_long,34,,,,,
player,201411020cle,cle,GabrTa00,fumbles,0,,,,,
player,201411020cle,cle,GabrTa00,fumbles_lost,0,,,,,
player,201411020cle,cle,AustMi00,pass_cmp,0,,,,,
player,201411020cle,cle,AustMi00,pass_att,0,,,,,
player,201411020cle,cle,AustMi00,pass_yds,0,,,,,
player,201411020cle,cle,AustMi00,pass_td,0,,,,,
player,201411020cle,cle,AustMi00,pass_int,0,,,,,
player,201411020cle,cle,AustMi00,pass_sacked,0,,,,,
player,201411020cle,cle,AustMi00,pass_sacked_yds,0,,,,,
player,201411020cle,cle,AustMi00,pass_long,0,,,,,
player,201411020cle,cle,AustMi00,pass_rating,,,,,,
player,201411020cle,cle,AustMi00,rush_att,0,,,,,
player,201411020cle,cle,AustMi00,rush_yds,0,,,,,
player,201411020cle,cle,AustMi00,rush_td,0,,,,,
player,201411020cle,cle,AustMi00,rush_long,0,,,,,
player,201411020cle,cle,AustMi00,targets,5,,,,,
player,201411020cle,cle,AustMi00,rec,3,,,,,
