game,2014,12,20141123,201411230atl,cle,"Cleveland Browns",26,atl,"Atlanta Falcons",24
player,201411230atl,cle,BenjTr00,rush_att,0,,,,,
player,201411230atl,cle,BenjTr00,rush_yds,0,,,,,
player,201411230atl,cle,BenjTr00,rush_td,0,,,,,
player,201411230atl,cle,BenjTr00,rush_long,0,,,,,
player,201411230atl,cle,BenjTr00,targets,2,,,,,
player,201411230atl,cle,BenjTr00,rec,0,,,,,
player,201411230atl,cle,BenjTr00,rec_yds,0,,,,,
player,201411230atl,cle,BenjTr00,rec_td,0,,,,,
player,201411230atl,cle,BenjTr00,rec_long,0,,,,,
player,201411230atl,cle,BenjTr00,fumbles,0,,,,,
player,201411230atl,cle,BenjTr00,fumbles_lost,0,,,,,
player,201411230atl,atl,RyanMa00,pass_cmp,27,,,,,
player,201411230atl,atl,RyanMa00,pass_att,43,,,,,
player,201411230atl,atl,RyanMa00,pass_yds,273,,,,,
player,201411230atl,atl,RyanMa00,pass_td,2,,,,,
player,201411230atl,atl,RyanMa00,pass_int,1,,,,,
player,201411230atl,atl,RyanMa00,pass_sacked,3,,,,,
player,201411230atl,atl,RyanMa00,pass_sacked_yds,21,,,,,
player,201411230atl,atl,RyanMa00,pass_long,32,,,,,
player,201411230atl,atl,RyanMa00,pass_rating,86.7,,,,,
player,201411230atl,atl,RyanMa00,rush_att,2,,,,,
player,201411230atl,atl,RyanMa00,rush_yds,6,,,,,
player,201411230atl,atl,RyanMa00,rush_td,0,,,,,
player,201411230atl,atl,RyanMa00,rush_long,4,,,,,
player,201411230atl,atl,RyanMa00,targets,0,,,,,
player,201411230atl,atl,RyanMa00,rec,0,,,,,
player,201411230atl,atl,RyanMa00,rec_yds,0,,,,,
player,201411230atl,atl,RyanMa00,rec_td,0,,,,,
player,201411230atl,atl,RyanMa00,rec_long,0,,,,,
player,201411230atl,atl,RyanMa00,fumbles,1,,,,,
player,201411230atl,atl,RyanMa00,fumbles_lost,1,,,,,
player,201411230atl,atl,JackSt00,pass_cmp,0,,,,,
player,201411230atl,atl,JackSt00,pass_att,0,,,,,
player,201411230atl,atl,JackSt00,pass_yds,0,,,,,
player,201411230atl,atl,JackSt00,pass_td,0,,,,,
player,201411230atl,atl,JackSt00,pass_int,0,,,,,
player,201411230atl,atl,JackSt00,pass_sacked,0,,,,,
player,201411230atl,atl,JackSt00,pass_sacked_yds,0,,,,,
player,201411230atl,atl,JackSt00,pass_long,0,,,,,
player,201411230atl,atl,JackSt00,pass_rating,,,,,,
player,201411230atl,atl,JackSt00,rush_att,13,,,,,
player,201411230atl,atl,JackSt00,rush_yds,34,,,,,
player,201411230atl,atl,JackSt00,rush_td,1,,,,,
player,201411230atl,atl,JackSt00,rush_long,7,,,,,
player,201411230atl,atl,JackSt00,targets,3,,,,,
player,201411230atl,atl,JackSt00,rec,2,,,,,
player,201411230atl,atl,JackSt00,rec_yds,17,,,,,
player,201411230atl,atl,JackSt00,rec_td,0,,,,,
