game,2014,17,20141228,201412280sea,ram,"St. Louis Rams",6,sea,"Seattle Seahawks",20
player,201412280sea,sea,NorwKe00,rec_yds,34,,,,,
player,201412280sea,sea,NorwKe00,rec_td,0,,,,,
player,201412280sea,sea,NorwKe00,rec_long,31,,,,,
player,201412280sea,sea,NorwKe00,fumbles,0,,,,,
player,201412280sea,sea,NorwKe00,fumbles_lost,0,,,,,
player,201412280sea,sea,WillLu00,pass_cmp,0,,,,,
player,201412280sea,sea,WillLu00,pass_att,0,,,,,
player,201412280sea,sea,WillLu00,pass_yds,0,,,,,
player,201412280sea,sea,WillLu00,pass_td,0,,,,,
player,201412280sea,sea,WillLu00,pass_int,0,,,,,
player,201412280sea,sea,WillLu00,pass_sacked,0,,,,,
player,201412280sea,sea,WillLu00,pass_sacked_yds,0,,,,,
player,201412280sea,sea,WillLu00,pass_long,0,,,,,
player,201412280sea,sea,WillLu00,pass_rating,,,,,,
player,201412280sea,sea,WillLu00,rush_att,0,,,,,
player,201412280sea,sea,WillLu00,rush_yds,0,,,,,
player,201412280sea,sea,WillLu00,rush_td,0,,,,,
player,201412280sea,sea,WillLu00,rush_long,0,,,,,
player,201412280sea,sea,WillLu00,targets,4,,,,,
player,201412280sea,sea,WillLu00,rec,2,,,,,
player,201412280sea,sea,WillLu00,rec_yds,32,,,,,
player,201412280sea,sea,WillLu00,rec_td,0,,,,,
player,201412280sea,sea,WillLu00,rec_long,28,,,,,
player,201412280sea,sea,WillLu00,fumbles,0,,,,,
player,201412280sea,sea,WillLu00,fumbles_lost,0,,,,,
player,201412280sea,sea,MoeaTo00,pass_cmp,0,,,,,
player,201412280sea,sea,MoeaTo00,pass_att,0,,,,,
player,201412280sea,sea,MoeaTo00,pass_yds,0,,,,,
player,201412280sea,sea,MoeaTo00,pass_td,0,,,,,
player,201412280sea,sea,MoeaTo00,pass_int,0,,,,,
player,201412280sea,sea,MoeaTo00,pass_sacked,0,,,,,
player,201412280sea,sea,MoeaTo00,pass_sacked_yds,0,,,,,
player,201412280sea,sea,MoeaTo00,pass_long,0,,,,,
player,201412280sea,sea,MoeaTo00,pass_rating,,,,,,
player,201412280sea,sea,MoeaTo00,rush_att,0,,,,,
player,201412280sea,sea,MoeaTo00,rush_yds,0,,,,,
player,201412280sea,sea,MoeaTo00,rush_td,0,,,,,
player,201412280sea,sea,MoeaTo00,rush_long,0,,,,,
player,201412280sea,sea,MoeaTo00,targets,1,,,,,
player,201412280sea,sea,MoeaTo00,rec,1,,,,,
player,201412280sea,sea,MoeaTo00,rec_yds,21,,,,,
player,201412280sea,sea,MoeaTo00,rec_td,0,,,,,
player,201412280sea,sea,MoeaTo00,rec_long,21,,,,,
player,201412280sea,sea,MoeaTo00,fumbles,0,,,,,
player,201412280sea,sea,MoeaTo00,fumbles_lost,0,,,,,
player,201412280sea,ram,RobeMa00,def_int,1,,,,,
player,201412280sea,ram,RobeMa00,def_int_yds,18,,,,,
player,201412280sea,ram,RobeMa00,def_int_td,0,,,,,
player,201412280sea,ram,RobeMa00,def_int_long,18,,,,,
player,201412280sea,ram,RobeMa00,pass_defended,1,,,,,
player,201412280sea,ram,RobeMa00,sacks,0.0,,,,,
player,201412280sea,ram,RobeMa00,tackles_combined,4,,,,,
player,201412280sea,ram,RobeMa00,tackles_solo,3,,,,,
player,201412280sea,ram,RobeMa00,tackles_assists,1,,,,,
player,201412280sea,ram,RobeMa00,tackles_loss,1,,,,,
player,201412280sea,ram,RobeMa00,qb_hits,0,,,,,
