game,2014,12,20141123,201411230sfo,was,"Washington Redskins",13,sfo,"San Francisco 49ers",17
player,201411230sfo,sfo,BoldAn00,rush_long,0,,,,,
player,201411230sfo,sfo,BoldAn00,targets,12,,,,,
player,201411230sfo,sfo,BoldAn00,rec,9,,,,,
player,201411230sfo,sfo,BoldAn00,rec_yds,137,,,,,
player,201411230sfo,sfo,BoldAn00,rec_td,1,,,,,
player,201411230sfo,sfo,BoldAn00,rec_long,30,,,,,
player,201411230sfo,sfo,BoldAn00,fumbles,0,,,,,
player,201411230sfo,sfo,BoldAn00,fumbles_lost,0,,,,,
player,201411230sfo,sfo,CrabMi00,pass_cmp,0,,,,,
player,201411230sfo,sfo,CrabMi00,pass_att,0,,,,,
player,201411230sfo,sfo,CrabMi00,pass_yds,0,,,,,
player,201411230sfo,sfo,CrabMi00,pass_td,0,,,,,
player,201411230sfo,sfo,CrabMi00,pass_int,0,,,,,
player,201411230sfo,sfo,CrabMi00,pass_sacked,0,,,,,
player,201411230sfo,sfo,CrabMi00,pass_sacked_yds,0,,,,,
player,201411230sfo,sfo,CrabMi00,pass_long,0,,,,,
player,201411230sfo,sfo,CrabMi00,pass_rating,,,,,,
player,201411230sfo,sfo,CrabMi00,rush_att,0,,,,,
player,201411230sfo,sfo,CrabMi00,rush_yds,0,,,,,
player,201411230sfo,sfo,CrabMi00,rush_td,0,,,,,
player,201411230sfo,sfo,CrabMi00,rush_long,0,,,,,
player,201411230sfo,sfo,CrabMi00,targets,7,,,,,
player,201411230sfo,sfo,CrabMi00,rec,5,,,,,
player,201411230sfo,sfo,CrabMi00,rec_yds,58,,,,,
player,201411230sfo,sfo,CrabMi00,rec_td,0,,,,,
player,201411230sfo,sfo,CrabMi00,rec_long,25,,,,,
player,201411230sfo,sfo,CrabMi00,fumbles,0,,,,,
player,201411230sfo,sfo,CrabMi00,fumbles_lost,0,,,,,
player,201411230sfo,sfo,MillBr02,pass_cmp,0,,,,,
player,201411230sfo,sfo,MillBr02,pass_att,0,,,,,
player,201411230sfo,sfo,MillBr02,pass_yds,0,,,,,
player,201411230sfo,sfo,MillBr02,pass_td,0,,,,,
player,201411230sfo,sfo,MillBr02,pass_int,0,,,,,
player,201411230sfo,sfo,MillBr02,pass_sacked,0,,,,,
player,201411230sfo,sfo,MillBr02,pass_sacked_yds,0,,,,,
player,201411230sfo,sfo,MillBr02,pass_long,0,,,,,
player,201411230sfo,sfo,MillBr02,pass_rating,,,,,,
player,201411230sfo,sfo,MillBr02,rush_att,0,,,,,
player,201411230sfo,sfo,MillBr02,rush_yds,0,,,,,
player,201411230sfo,sfo,MillBr02,rush_td,0,,,,,
player,201411230sfo,sfo,MillBr02,rush_long,0,,,,,
player,201411230sfo,sfo,MillBr02,targets,3,,,,,
player,201411230sfo,sfo,MillBr02,rec,3,,,,,
player,201411230sfo,sfo,MillBr02,rec_yds,40,,,,,
player,201411230sfo,sfo,MillBr02,rec_td,0,,,,,
player,201411230sfo,sfo,MillBr02,rec_long,20,,,,,
player,201411230sfo,sfo,MillBr02,fumbles,0,,,,,
player,201411230sfo,sfo,MillBr02,fumbles_lost,0,,,,,
player,201411230sfo,sfo,DaviVe00,pass_cmp,0,,,,,
player,201411230sfo,sfo,DaviVe00,pass_att,0,,,,,
player,201411230sfo,sfo,DaviVe00,pass_yds,0,,,,,
player,201411230sfo,sfo,DaviVe00,pass_td,0,,,,,
player,201411230sfo,sfo,DaviVe00,pass_int,0,,,,,
player,201411230sfo,sfo,DaviVe00,pass_sacked,0,,,,,
player,201411230sfo,sfo,DaviVe00,pass_sacked_yds,0,,,,,
player,201411230sfo,sfo,DaviVe00,pass_long,0,,,,,
player,201411230sfo,sfo,DaviVe00,pass_rating,,,,,,
player,201411230sfo,sfo,DaviVe00,rush_att,0,,,,,
player,201411230sfo,sfo,DaviVe00,rush_yds,0,,,,,
player,201411230sfo,sfo,DaviVe00,rush_td,0,,,,,
player,201411230sfo,sfo,DaviVe00,rush_long,0,,,,,
player,201411230sfo,sfo,DaviVe00,targets,5,,,,,
player,201411230sfo,sfo,DaviVe00,rec,3,,,,,
player,201411230sfo,sfo,DaviVe00,rec_yds,21,,,,,
player,201411230sfo,sfo,DaviVe00,rec_td,0,,,,,
player,201411230sfo,sfo,DaviVe00,rec_long,12,,,,,
player,201411230sfo,sfo,DaviVe00,fumbles,0,,,,,
player,201411230sfo,sfo,DaviVe00,fumbles_lost,0,,,,,
player,201411230sfo,sfo,LloyBr00,pass_cmp,0,,,,,
player,201411230sfo,sfo,LloyBr00,pass_att,0,,,,,
player,201411230sfo,sfo,LloyBr00,pass_yds,0,,,,,
player,201411230sfo,sfo,LloyBr00,pass_td,0,,,,,
player,201411230sfo,sfo,LloyBr00,pass_int,0,,,,,
player,201411230sfo,sfo,LloyBr00,pass_sacked,0,,,,,
player,201411230sfo,sfo,LloyBr00,pass_sacked_yds,0,,,,,
player,201411230sfo,sfo,LloyBr00,pass_long,0,,,,,
player,201411230sfo,sfo,LloyBr00,pass_rating,,,,,,
player,201411230sfo,sfo,LloyBr00,rush_att,0,,,,,
player,201411230sfo,sfo,LloyBr00,rush_yds,0,,,,,
player,201411230sfo,sfo,LloyBr00,rush_td,0,,,,,
player,201411230sfo,sfo,LloyBr00,rush_long,0,,,,,
player,201411230sfo,sfo,LloyBr00,targets,1,,,,,
player,201411230sfo,sfo,LloyBr00,rec,0,,,,,
player,201411230sfo,sfo,LloyBr00,rec_yds,0,,,,,
player,201411230sfo,sfo,LloyBr00,rec_td,0,,,,,
player,201411230sfo,sfo,LloyBr00,rec_long,0,,,,,
player,201411230sfo,sfo,LloyBr00,fumbles,0,,,,,
player,201411230sfo,sfo,LloyBr00,fumbles_lost,0,,,,,
player,201411230sfo,sfo,JohnSt00,pass_cmp,0,,,,,
player,201411230sfo,sfo,JohnSt00,pass_att,0,,,,,
player,201411230sfo,sfo,JohnSt00,pass_yds,0,,,,,
player,201411230sfo,sfo,JohnSt00,pass_td,0,,,,,
player,201411230sfo,sfo,JohnSt00,pass_int,0,,,,,
player,201411230sfo,sfo,JohnSt00,pass_sacked,0,,,,,
player,201411230sfo,sfo,JohnSt00,pass_sacked_yds,0,,,,,
player,201411230sfo,sfo,JohnSt00,pass_long,0,,,,,
player,201411230sfo,sfo,JohnSt00,pass_rating,,,,,,
player,201411230sfo,sfo,JohnSt00,rush_att,0,,,,,
player,201411230sfo,sfo,JohnSt00,rush_yds,0,,,,,
player,201411230sfo,sfo,JohnSt00,rush_td,0,,,,,
player,201411230sfo,sfo,JohnSt00,rush_long,0,,,,,
player,201411230sfo,sfo,JohnSt00,targets,1,,,,,
player,201411230sfo,sfo,JohnSt00,rec,0,,,,,
player,201411230sfo,sfo,JohnSt00,rec_yds,0,,,,,
player,201411230sfo,sfo,JohnSt00,rec_td,0,,,,,
player,201411230sfo,sfo,JohnSt00,rec_long,0,,,,,
player,201411230sfo,sfo,JohnSt00,fumbles,0,,,,,
player,201411230sfo,sfo,JohnSt00,fumbles_lost,0,,,,,
player,201411230sfo,was,DucrGr00,def_int,1,,,,,
player,201411230sfo,was,DucrGr00,def_int_yds,7,,,,,
player,201411230sfo,was,DucrGr00,def_int_td,0,,,,,
player,201411230sfo,was,DucrGr00,def_int_long,7,,,,,
player,201411230sfo,was,DucrGr00,pass_defended,1,,,,,
