game,2014,4,20140928,201409280sfo,phi,"Philadelphia Eagles",21,sfo,"San Francisco 49ers",26
player,201409280sfo,sfo,JohnSt00,rush_yds,0,,,,,
player,201409280sfo,sfo,JohnSt00,rush_td,0,,,,,
player,201409280sfo,sfo,JohnSt00,rush_long,0,,,,,
player,201409280sfo,sfo,JohnSt00,targets,2,,,,,
player,201409280sfo,sfo,JohnSt00,rec,1,,,,,
player,201409280sfo,sfo,JohnSt00,rec_yds,12,,,,,
player,201409280sfo,sfo,JohnSt00,rec_td,1,,,,,
player,201409280sfo,sfo,JohnSt00,rec_long,12,,,,,
player,201409280sfo,sfo,JohnSt00,fumbles,0,,,,,
player,201409280sfo,sfo,JohnSt00,fumbles_lost,0,,,,,
player,201409280sfo,sfo,CarrDe00,pass_cmp,0,,,,,
player,201409280sfo,sfo,CarrDe00,pass_att,0,,,,,
player,201409280sfo,sfo,CarrDe00,pass_yds,0,,,,,
player,201409280sfo,sfo,CarrDe00,pass_td,0,,,,,
player,201409280sfo,sfo,CarrDe00,pass_int,0,,,,,
player,201409280sfo,sfo,CarrDe00,pass_sacked,0,,,,,
player,201409280sfo,sfo,CarrDe00,pass_sacked_yds,0,,,,,
player,201409280sfo,sfo,CarrDe00,pass_long,0,,,,,
player,201409280sfo,sfo,CarrDe00,pass_rating,,,,,,
player,201409280sfo,sfo,CarrDe00,rush_att,0,,,,,
player,201409280sfo,sfo,CarrDe00,rush_yds,0,,,,,
player,201409280sfo,sfo,CarrDe00,rush_td,0,,,,,
player,201409280sfo,sfo,CarrDe00,rush_long,0,,,,,
player,201409280sfo,sfo,CarrDe00,targets,2,,,,,
player,201409280sfo,sfo,CarrDe00,rec,1,,,,,
player,201409280sfo,sfo,CarrDe00,rec_yds,10,,,,,
player,201409280sfo,sfo,CarrDe00,rec_td,0,,,,,
player,201409280sfo,sfo,CarrDe00,rec_long,10,,,,,
player,201409280sfo,sfo,CarrDe00,fumbles,0,,,,,
player,201409280sfo,sfo,CarrDe00,fumbles_lost,0,,,,,
player,201409280sfo,sfo,DaviVe00,pass_cmp,0,,,,,
player,201409280sfo,sfo,DaviVe00,pass_att,0,,,,,
player,201409280sfo,sfo,DaviVe00,pass_yds,0,,,,,
player,201409280sfo,sfo,DaviVe00,pass_td,0,,,,,
player,201409280sfo,sfo,DaviVe00,pass_int,0,,,,,
player,201409280sfo,sfo,DaviVe00,pass_sacked,0,,,,,
player,201409280sfo,sfo,DaviVe00,pass_sacked_yds,0,,,,,
player,201409280sfo,sfo,DaviVe00,pass_long,0,,,,,
player,201409280sfo,sfo,DaviVe00,pass_rating,,,,,,
player,201409280sfo,sfo,DaviVe00,rush_att,0,,,,,
player,201409280sfo,sfo,DaviVe00,rush_yds,0,,,,,
player,201409280sfo,sfo,DaviVe00,rush_td,0,,,,,
player,201409280sfo,sfo,DaviVe00,rush_long,0,,,,,
player,201409280sfo,sfo,DaviVe00,targets,3,,,,,
player,201409280sfo,sfo,DaviVe00,rec,2,,,,,
player,201409280sfo,sfo,DaviVe00,rec_yds,8,,,,,
player,201409280sfo,sfo,DaviVe00,rec_td,0,,,,,
player,201409280sfo,sfo,DaviVe00,rec_long,5,,,,,
player,201409280sfo,sfo,DaviVe00,fumbles,0,,,,,
player,201409280sfo,sfo,DaviVe00,fumbles_lost,0,,,,,
player,201409280sfo,phi,JenkMa99,def_int,1,,,,,
player,201409280sfo,phi,JenkMa99,def_int_yds,53,,,,,
player,201409280sfo,phi,JenkMa99,def_int_td,1,,,,,
player,201409280sfo,phi,JenkMa99,def_int_long,53,,,,,
player,201409280sfo,phi,JenkMa99,pass_defended,1,,,,,
player,201409280sfo,phi,JenkMa99,sacks,0.0,,,,,
player,201409280sfo,phi,JenkMa99,tackles_combined,7,,,,,
player,201409280sfo,phi,JenkMa99,tackles_solo,6,,,,,
player,201409280sfo,phi,JenkMa99,tackles_assists,1,,,,,
player,201409280sfo,phi,JenkMa99,tackles_loss,0,,,,,
player,201409280sfo,phi,JenkMa99,qb_hits,0,,,,,
player,201409280sfo,phi,JenkMa99,fumbles_rec,0,,,,,
player,201409280sfo,phi,JenkMa99,fumbles_rec_yds,0,,,,,
player,201409280sfo,phi,JenkMa99,fumbles_rec_td,0,,,,,
player,201409280sfo,phi,JenkMa99,fumbles_forced,0,,,,,
player,201409280sfo,phi,BarwCo99,def_int,0,,,,,
player,201409280sfo,phi,BarwCo99,def_int_yds,0,,,,,
player,201409280sfo,phi,BarwCo99,def_int_td,0,,,,,
player,201409280sfo,phi,BarwCo99,def_int_long,0,,,,,
player,201409280sfo,phi,BarwCo99,pass_defended,0,,,,,
player,201409280sfo,phi,BarwCo99,sacks,1.0,,,,,
player,201409280sfo,phi,BarwCo99,tackles_combined,7,,,,,
player,201409280sfo,phi,BarwCo99,tackles_solo,5,,,,,
player,201409280sfo,phi,BarwCo99,tackles_assists,2,,,,,
