game,2014,12,20141123,201411230chi,tam,"Tampa Bay Buccaneers",13,chi,"Chicago Bears",21
player,201411230chi,chi,RosaDa00,pass_sacked_yds,0,,,,,
player,201411230chi,chi,RosaDa00,pass_long,0,,,,,
player,201411230chi,chi,RosaDa00,pass_rating,,,,,,
player,201411230chi,chi,RosaDa00,rush_att,0,,,,,
player,201411230chi,chi,RosaDa00,rush_yds,0,,,,,
player,201411230chi,chi,RosaDa00,rush_td,0,,,,,
player,201411230chi,chi,RosaDa00,rush_long,0,,,,,
player,201411230chi,chi,RosaDa00,targets,1,,,,,
player,201411230chi,chi,RosaDa00,rec,1,,,,,
player,201411230chi,chi,RosaDa00,rec_yds,6,,,,,
player,201411230chi,chi,RosaDa00,rec_td,0,,,,,
player,201411230chi,chi,RosaDa00,rec_long,6,,,,,
player,201411230chi,chi,RosaDa00,fumbles,0,,,,,
player,201411230chi,chi,RosaDa00,fumbles_lost,0,,,,,
player,201411230chi,tam,McCoGe99,def_int,0,,,,,
player,201411230chi,tam,McCoGe99,def_int_yds,0,,,,,
player,201411230chi,tam,McCoGe99,def_int_td,0,,,,,
player,201411230chi,tam,McCoGe99,def_int_long,0,,,,,
player,201411230chi,tam,McCoGe99,pass_defended,0,,,,,
player,201411230chi,tam,McCoGe99,sacks,1.0,,,,,
player,201411230chi,tam,McCoGe99,tackles_combined,3,,,,,
player,201411230chi,tam,McCoGe99,tackles_solo,3,,,,,
player,201411230chi,tam,McCoGe99,tackles_assists,0,,,,,
player,201411230chi,tam,McCoGe99,tackles_loss,0,,,,,
player,201411230chi,tam,McCoGe99,qb_hits,1,,,,,
player,201411230chi,tam,McCoGe99,fumbles_rec,0,,,,,
player,201411230chi,tam,McCoGe99,fumbles_rec_yds,0,,,,,
player,201411230chi,tam,McCoGe99,fumbles_rec_td,0,,,,,
player,201411230chi,tam,McCoGe99,fumbles_forced,1,,,,,
player,201411230chi,tam,McDoCl99,def_int,0,,,,,
player,201411230chi,tam,McDoCl99,def_int_yds,0,,,,,
player,201411230chi,tam,McDoCl99,def_int_td,0,,,,,
player,201411230chi,tam,McDoCl99,def_int_long,0,,,,,
player,201411230chi,tam,McDoCl99,pass_defended,0,,,,,
player,201411230chi,tam,McDoCl99,sacks,1.0,,,,,
player,201411230chi,tam,McDoCl99,tackles_combined,2,,,,,
player,201411230chi,tam,McDoCl99,tackles_solo,2,,,,,
player,201411230chi,tam,McDoCl99,tackles_assists,0,,,,,
player,201411230chi,tam,McDoCl99,tackles_loss,1,,,,,
player,201411230chi,tam,McDoCl99,qb_hits,1,,,,,
player,201411230chi,tam,McDoCl99,fumbles_rec,1,,,,,
player,201411230chi,tam,McDoCl99,fumbles_rec_yds,3,,,,,
player,201411230chi,tam,McDoCl99,fumbles_rec_td,0,,,,,
player,201411230chi,tam,McDoCl99,fumbles_forced,0,,,,,
player,201411230chi,tam,SmitJa01,def_int,0,,,,,
player,201411230chi,tam,SmitJa01,def_int_yds,0,,,,,
player,201411230chi,tam,SmitJa01,def_int_td,0,,,,,
player,201411230chi,tam,SmitJa01,def_int_long,0,,,,,
player,201411230chi,tam,SmitJa01,pass_defended,1,,,,,
player,201411230chi,tam,SmitJa01,sacks,1.0,,,,,
player,201411230chi,tam,SmitJa01,tackles_combined,2,,,,,
player,201411230chi,tam,SmitJa01,tackles_solo,2,,,,,
