game,2014,13,20141130,201411300kan,den,"Denver Broncos",29,kan,"Kansas City Chiefs",16
player,201411300kan,kan,KelcTr00,pass_att,0,,,,,
player,201411300kan,kan,KelcTr00,pass_yds,0,,,,,
player,201411300kan,kan,KelcTr00,pass_td,0,,,,,
player,201411300kan,kan,KelcTr00,pass_int,0,,,,,
player,201411300kan,kan,KelcTr00,pass_sacked,0,,,,,
player,201411300kan,kan,KelcTr00,pass_sacked_yds,0,,,,,
player,201411300kan,kan,KelcTr00,pass_long,0,,,,,
player,201411300kan,kan,KelcTr00,pass_rating,,,,,,
player,201411300kan,kan,KelcTr00,rush_att,0,,,,,
player,201411300kan,kan,KelcTr00,rush_yds,0,,,,,
player,201411300kan,kan,KelcTr00,rush_td,0,,,,,
player,201411300kan,kan,KelcTr00,rush_long,0,,,,,
player,201411300kan,kan,KelcTr00,targets,3,,,,,
player,201411300kan,kan,KelcTr00,rec,3,,,,,
player,201411300kan,kan,KelcTr00,rec_yds,36,,,,,
player,201411300kan,kan,KelcTr00,rec_td,0,,,,,
player,201411300kan,kan,KelcTr00,rec_long,19,,,,,
player,201411300kan,kan,KelcTr00,fumbles,0,,,,,
player,201411300kan,kan,KelcTr00,fumbles_lost,0,,,,,
player,201411300kan,kan,AvanJa00,pass_cmp,0,,,,,
player,201411300kan,kan,AvanJa00,pass_att,0,,,,,
player,201411300kan,kan,AvanJa00,pass_yds,0,,,,,
player,201411300kan,kan,AvanJa00,pass_td,0,,,,,
player,201411300kan,kan,AvanJa00,pass_int,0,,,,,
player,201411300kan,kan,AvanJa00,pass_sacked,0,,,,,
player,201411300kan,kan,AvanJa00,pass_sacked_yds,0,,,,,
player,201411300kan,kan,AvanJa00,pass_long,0,,,,,
player,201411300kan,kan,AvanJa00,pass_rating,,,,,,
player,201411300kan,kan,AvanJa00,rush_att,0,,,,,
player,201411300kan,kan,AvanJa00,rush_yds,0,,,,,
player,201411300kan,kan,AvanJa00,rush_td,0,,,,,
player,201411300kan,kan,AvanJa00,rush_long,0,,,,,
player,201411300kan,kan,AvanJa00,targets,4,,,,,
player,201411300kan,kan,AvanJa00,rec,2,,,,,
player,201411300kan,kan,AvanJa00,rec_yds,30,,,,,
player,201411300kan,kan,AvanJa00,rec_td,0,,,,,
player,201411300kan,kan,AvanJa00,rec_long,19,,,,,
player,201411300kan,kan,AvanJa00,fumbles,0,,,,,
player,201411300kan,kan,AvanJa00,fumbles_lost,0,,,,,
player,201411300kan,kan,AverDo00,pass_cmp,0,,,,,
player,201411300kan,kan,AverDo00,pass_att,0,,,,,
player,201411300kan,kan,AverDo00,pass_yds,0,,,,,
player,201411300kan,kan,AverDo00,pass_td,0,,,,,
player,201411300kan,kan,AverDo00,pass_int,0,,,,,
player,201411300kan,kan,AverDo00,pass_sacked,0,,,,,
player,201411300kan,kan,AverDo00,pass_sacked_yds,0,,,,,
player,201411300kan,kan,AverDo00,pass_long,0,,,,,
player,201411300kan,kan,AverDo00,pass_rating,,,,,,
player,201411300kan,kan,AverDo00,rush_att,0,,,,,
player,201411300kan,kan,AverDo00,rush_yds,0,,,,,
