game,2014,8,20141026,201410260crd,phi,"Philadelphia Eagles",20,crd,"Arizona Cardinals",24
player,201410260crd,phi,JenkMa99,sacks,0.0,,,,,
player,201410260crd,phi,JenkMa99,tackles_combined,5,,,,,
player,201410260crd,phi,JenkMa99,tackles_solo,5,,,,,
player,201410260crd,phi,JenkMa99,tackles_assists,0,,,,,
player,201410260crd,phi,JenkMa99,tackles_loss,1,,,,,
player,201410260crd,phi,JenkMa99,qb_hits,0,,,,,
player,201410260crd,phi,JenkMa99,fumbles_rec,0,,,,,
player,201410260crd,phi,JenkMa99,fumbles_rec_yds,0,,,,,
player,201410260crd,phi,JenkMa99,fumbles_rec_td,0,,,,,
player,201410260crd,phi,JenkMa99,fumbles_forced,0,,,,,
player,201410260crd,phi,AlleNa99,def_int,0,,,,,
player,201410260crd,phi,AlleNa99,def_int_yds,0,,,,,
player,201410260crd,phi,AlleNa99,def_int_td,0,,,,,
player,201410260crd,phi,AlleNa99,def_int_long,0,,,,,
player,201410260crd,phi,AlleNa99,pass_defended,0,,,,,
player,201410260crd,phi,AlleNa99,sacks,0.0,,,,,
player,201410260crd,phi,AlleNa99,tackles_combined,4,,,,,
player,201410260crd,phi,AlleNa99,tackles_solo,3,,,,,
player,201410260crd,phi,AlleNa99,tackles_assists,1,,,,,
player,201410260crd,phi,AlleNa99,tackles_loss,0,,,,,
player,201410260crd,phi,AlleNa99,qb_hits,0,,,,,
player,201410260crd,phi,AlleNa99,fumbles_rec,1,,,,,
player,201410260crd,phi,AlleNa99,fumbles_rec_yds,0,,,,,
player,201410260crd,phi,AlleNa99,fumbles_rec_td,0,,,,,
player,201410260crd,phi,AlleNa99,fumbles_forced,1,,,,,
player,201410260crd,phi,BoykBr00,def_int,0,,,,,
player,201410260crd,phi,BoykBr00,def_int_yds,0,,,,,
player,201410260crd,phi,BoykBr00,def_int_td,0,,,,,
player,201410260crd,phi,BoykBr00,def_int_long,0,,,,,
player,201410260crd,phi,BoykBr00,pass_defended,1,,,,,
player,201410260crd,phi,BoykBr00,sacks,0.0,,,,,
player,201410260crd,phi,BoykBr00,tackles_combined,4,,,,,
player,201410260crd,phi,BoykBr00,tackles_solo,4,,,,,
