game,2014,10,20141110,201411100phi,car,"Carolina Panthers",21,phi,"Philadelphia Eagles",45
player,201411100phi,phi,CoopRi00,pos,WR,,,,,
player,201411100phi,phi,CoopRi00,offense,47,,,,,
player,201411100phi,phi,CoopRi00,off_pct,76%,,,,,
player,201411100phi,phi,CoopRi00,defense,0,,,,,
player,201411100phi,phi,CoopRi00,def_pct,0%,,,,,
player,201411100phi,phi,CoopRi00,special_teams,0,,,,,
player,201411100phi,phi,CoopRi00,st_pct,0%,,,,,
player,201411100phi,phi,McCoLe01,pos,RB,,,,,
player,201411100phi,phi,McCoLe01,offense,45,,,,,
player,201411100phi,phi,McCoLe01,off_pct,73%,,,,,
player,201411100phi,phi,McCoLe01,defense,0,,,,,
player,201411100phi,phi,McCoLe01,def_pct,0%,,,,,
player,201411100phi,phi,McCoLe01,special_teams,0,,,,,
player,201411100phi,phi,McCoLe01,st_pct,0%,,,,,
player,201411100phi,phi,MattJo00,pos,WR,,,,,
player,201411100phi,phi,MattJo00,offense,38,,,,,
player,201411100phi,phi,MattJo00,off_pct,61%,,,,,
player,201411100phi,phi,MattJo00,defense,0,,,,,
player,201411100phi,phi,MattJo00,def_pct,0%,,,,,
player,201411100phi,phi,MattJo00,special_teams,0,,,,,
player,201411100phi,phi,MattJo00,st_pct,0%,,,,,
player,201411100phi,phi,CeleBr00,pos,TE,,,,,
player,201411100phi,phi,CeleBr00,offense,36,,,,,
player,201411100phi,phi,CeleBr00,off_pct,58%,,,,,
player,201411100phi,phi,CeleBr00,defense,0,,,,,
player,201411100phi,phi,CeleBr00,def_pct,0%,,,,,
player,201411100phi,phi,CeleBr00,special_teams,0,,,,,
player,201411100phi,phi,CeleBr00,st_pct,0%,,,,,
player,201411100phi,phi,ErtzZa00,pos,TE,,,,,
player,201411100phi,phi,ErtzZa00,offense,31,,,,,
player,201411100phi,phi,ErtzZa00,off_pct,50%,,,,,
player,201411100phi,phi,ErtzZa00,defense,0,,,,,
player,201411100phi,phi,ErtzZa00,def_pct,0%,,,,,
player,201411100phi,phi,ErtzZa00,special_teams,18,,,,,
player,201411100phi,phi,ErtzZa00,st_pct,50%,,,,,
