game,2014,6,20141012,201410120tam,rav,"Baltimore Ravens",48,tam,"Tampa Bay Buccaneers",17
player,201410120tam,tam,BarrMa00,pass_defended,0,,,,,
player,201410120tam,tam,BarrMa00,sacks,0.0,,,,,
player,201410120tam,tam,BarrMa00,tackles_combined,7,,,,,
player,201410120tam,tam,BarrMa00,tackles_solo,4,,,,,
player,201410120tam,tam,BarrMa00,tackles_assists,3,,,,,
player,201410120tam,tam,BarrMa00,tackles_loss,0,,,,,
player,201410120tam,tam,BarrMa00,qb_hits,0,,,,,
player,201410120tam,tam,BarrMa00,fumbles_rec,0,,,,,
player,201410120tam,tam,BarrMa00,fumbles_rec_yds,0,,,,,
player,201410120tam,tam,BarrMa00,fumbles_rec_td,0,,,,,
player,201410120tam,tam,BarrMa00,fumbles_forced,0,,,,,
player,201410120tam,tam,LansDa00,def_int,0,,,,,
player,201410120tam,tam,LansDa00,def_int_yds,0,,,,,
player,201410120tam,tam,LansDa00,def_int_td,0,,,,,
player,201410120tam,tam,LansDa00,def_int_long,0,,,,,
player,201410120tam,tam,LansDa00,pass_defended,0,,,,,
player,201410120tam,tam,LansDa00,sacks,0.0,,,,,
player,201410120tam,tam,LansDa00,tackles_combined,5,,,,,
player,201410120tam,tam,LansDa00,tackles_solo,4,,,,,
player,201410120tam,tam,LansDa00,tackles_assists,1,,,,,
player,201410120tam,tam,LansDa00,tackles_loss,0,,,,,
player,201410120tam,tam,LansDa00,qb_hits,0,,,,,
player,201410120tam,tam,LansDa00,fumbles_rec,0,,,,,
player,201410120tam,tam,LansDa00,fumbles_rec_yds,0,,,,,
player,201410120tam,tam,LansDa00,fumbles_rec_td,0,,,,,
player,201410120tam,tam,LansDa00,fumbles_forced,0,,,,,
player,201410120tam,tam,WrigMa99,def_int,0,,,,,
player,201410120tam,tam,WrigMa99,def_int_yds,0,,,,,
player,201410120tam,tam,WrigMa99,def_int_td,0,,,,,
player,201410120tam,tam,WrigMa99,def_int_long,0,,,,,
player,201410120tam,tam,WrigMa99,pass_defended,0,,,,,
player,201410120tam,tam,WrigMa99,sacks,0.0,,,,,
player,201410120tam,tam,WrigMa99,tackles_combined,5,,,,,
player,201410120tam,tam,WrigMa99,tackles_solo,4,,,,,
player,201410120tam,tam,WrigMa99,tackles_assists,1,,,,,
player,201410120tam,tam,WrigMa99,tackles_loss,0,,,,,
player,201410120tam,tam,WrigMa99,qb_hits,0,,,,,
player,201410120tam,tam,WrigMa99,fumbles_rec,0,,,,,
player,201410120tam,tam,WrigMa99,fumbles_rec_yds,0,,,,,
player,201410120tam,tam,WrigMa99,fumbles_rec_td,0,,,,,
player,201410120tam,tam,WrigMa99,fumbles_forced,0,,,,,
player,201410120tam,tam,GholWi00,def_int,0,,,,,
player,201410120tam,tam,GholWi00,def_int_yds,0,,,,,
player,201410120tam,tam,GholWi00,def_int_td,0,,,,,
player,201410120tam,tam,GholWi00,def_int_long,0,,,,,
player,201410120tam,tam,GholWi00,pass_defended,0,,,,,
player,201410120tam,tam,GholWi00,sacks,0.0,,,,,
player,201410120tam,tam,GholWi00,tackles_combined,4,,,,,
player,201410120tam,tam,GholWi00,tackles_solo,2,,,,,
player,201410120tam,tam,GholWi00,tackles_assists,2,,,,,
player,201410120tam,tam,GholWi00,tackles_loss,0,,,,,
player,201410120tam,tam,GholWi00,qb_hits,0,,,,,
player,201410120tam,tam,GholWi00,fumbles_rec,0,,,,,
player,201410120tam,tam,GholWi00,fumbles_rec_yds,0,,,,,
player,201410120tam,tam,GholWi00,fumbles_rec_td,0,,,,,
player,201410120tam,tam,GholWi00,fumbles_forced,0,,,,,
player,201410120tam,tam,McDoCl99,def_int,0,,,,,
player,201410120tam,tam,McDoCl99,def_int_yds,0,,,,,
player,201410120tam,tam,McDoCl99,def_int_td,0,,,,,
player,201410120tam,tam,McDoCl99,def_int_long,0,,,,,
player,201410120tam,tam,McDoCl99,pass_defended,0,,,,,
player,201410120tam,tam,McDoCl99,sacks,0.0,,,,,
player,201410120tam,tam,McDoCl99,tackles_combined,4,,,,,
player,201410120tam,tam,McDoCl99,tackles_solo,4,,,,,
player,201410120tam,tam,McDoCl99,tackles_assists,0,,,,,
player,201410120tam,tam,McDoCl99,tackles_loss,2,,,,,
player,201410120tam,tam,McDoCl99,qb_hits,0,,,,,
player,201410120tam,tam,McDoCl99,fumbles_rec,0,,,,,
player,201410120tam,tam,McDoCl99,fumbles_rec_yds,0,,,,,
player,201410120tam,tam,McDoCl99,fumbles_rec_td,0,,,,,
player,201410120tam,tam,McDoCl99,fumbles_forced,0,,,,,
player,201410120tam,tam,McCoGe99,def_int,0,,,,,
player,201410120tam,tam,McCoGe99,def_int_yds,0,,,,,
player,201410120tam,tam,McCoGe99,def_int_td,0,,,,,
player,201410120tam,tam,McCoGe99,def_int_long,0,,,,,
player,201410120tam,tam,McCoGe99,pass_defended,0,,,,,
player,201410120tam,tam,McCoGe99,sacks,0.0,,,,,
player,201410120tam,tam,McCoGe99,tackles_combined,3,,,,,
player,201410120tam,tam,McCoGe99,tackles_solo,2,,,,,
player,201410120tam,tam,McCoGe99,tackles_assists,1,,,,,
player,201410120tam,tam,McCoGe99,tackles_loss,1,,,,,
player,201410120tam,tam,McCoGe99,qb_hits,0,,,,,
player,201410120tam,tam,McCoGe99,fumbles_rec,0,,,,,
player,201410120tam,tam,McCoGe99,fumbles_rec_yds,0,,,,,
player,201410120tam,tam,McCoGe99,fumbles_rec_td,0,,,,,
player,201410120tam,tam,McCoGe99,fumbles_forced,0,,,,,
player,201410120tam,tam,SoloSc00,def_int,0,,,,,
player,201410120tam,tam,SoloSc00,def_int_yds,0,,,,,
player,201410120tam,tam,SoloSc00,def_int_td,0,,,,,
player,201410120tam,tam,SoloSc00,def_int_long,0,,,,,
player,201410120tam,tam,SoloSc00,pass_defended,0,,,,,
player,201410120tam,tam,SoloSc00,sacks,0.0,,,,,
player,201410120tam,tam,SoloSc00,tackles_combined,3,,,,,
player,201410120tam,tam,SoloSc00,tackles_solo,3,,,,,
player,201410120tam,tam,SoloSc00,tackles_assists,0,,,,,
player,201410120tam,tam,SoloSc00,tackles_loss,0,,,,,
player,201410120tam,tam,SoloSc00,qb_hits,0,,,,,
player,201410120tam,tam,SoloSc00,fumbles_rec,0,,,,,
player,201410120tam,tam,SoloSc00,fumbles_rec_yds,0,,,,,
player,201410120tam,tam,SoloSc00,fumbles_rec_td,0,,,,,
player,201410120tam,tam,SoloSc00,fumbles_forced,0,,,,,
player,201410120tam,tam,VernAl99,def_int,0,,,,,
player,201410120tam,tam,VernAl99,def_int_yds,0,,,,,
player,201410120tam,tam,VernAl99,def_int_td,0,,,,,
player,201410120tam,tam,VernAl99,def_int_long,0,,,,,
player,201410120tam,tam,VernAl99,pass_defended,0,,,,,
player,201410120tam,tam,VernAl99,sacks,0.0,,,,,
player,201410120tam,tam,VernAl99,tackles_combined,3,,,,,
player,201410120tam,tam,VernAl99,tackles_solo,2,,,,,
player,201410120tam,tam,VernAl99,tackles_assists,1,,,,,
player,201410120tam,tam,VernAl99,tackles_loss,0,,,,,
player,201410120tam,tam,VernAl99,qb_hits,0,,,,,
player,201410120tam,tam,VernAl99,fumbles_rec,0,,,,,
player,201410120tam,tam,VernAl99,fumbles_rec_yds,0,,,,,
player,201410120tam,tam,VernAl99,fumbles_rec_td,0,,,,,
player,201410120tam,tam,VernAl99,fumbles_forced,0,,,,,
player,201410120tam,tam,ButlCr99,def_int,0,,,,,
player,201410120tam,tam,ButlCr99,def_int_yds,0,,,,,
player,201410120tam,tam,ButlCr99,def_int_td,0,,,,,
player,201410120tam,tam,ButlCr99,def_int_long,0,,,,,
player,201410120tam,tam,ButlCr99,pass_defended,0,,,,,
player,201410120tam,tam,ButlCr99,sacks,0.0,,,,,
player,201410120tam,tam,ButlCr99,tackles_combined,2,,,,,
player,201410120tam,tam,ButlCr99,tackles_solo,2,,,,,
player,201410120tam,tam,ButlCr99,tackles_assists,0,,,,,
player,201410120tam,tam,ButlCr99,tackles_loss,0,,,,,
player,201410120tam,tam,ButlCr99,qb_hits,0,,,,,
player,201410120tam,tam,ButlCr99,fumbles_rec,0,,,,,
player,201410120tam,tam,ButlCr99,fumbles_rec_yds,0,,,,,
player,201410120tam,tam,ButlCr99,fumbles_rec_td,0,,,,,
player,201410120tam,tam,ButlCr99,fumbles_forced,0,,,,,
player,201410120tam,tam,JohnMi98,def_int,0,,,,,
player,201410120tam,tam,JohnMi98,def_int_yds,0,,,,,
player,201410120tam,tam,JohnMi98,def_int_td,0,,,,,
player,201410120tam,tam,JohnMi98,def_int_long,0,,,,,
player,201410120tam,tam,JohnMi98,pass_defended,0,,,,,
player,201410120tam,tam,JohnMi98,sacks,0.0,,,,,
player,201410120tam,tam,JohnMi98,tackles_combined,2,,,,,
player,201410120tam,tam,JohnMi98,tackles_solo,2,,,,,
player,201410120tam,tam,JohnMi98,tackles_assists,0,,,,,
player,201410120tam,tam,JohnMi98,tackles_loss,0,,,,,
player,201410120tam,tam,JohnMi98,qb_hits,0,,,,,
player,201410120tam,tam,JohnMi98,fumbles_rec,0,,,,,
player,201410120tam,tam,JohnMi98,fumbles_rec_yds,0,,,,,
player,201410120tam,tam,JohnMi98,fumbles_rec_td,0,,,,,
player,201410120tam,tam,JohnMi98,fumbles_forced,0,,,,,
player,201410120tam,tam,ShepRu00,def_int,0,,,,,
