game,2014,14,20141204,201412040chi,dal,"Dallas Cowboys",41,chi,"Chicago Bears",28
player,201412040chi,chi,WilsMa02,fumbles_lost,0,,,,,
player,201412040chi,chi,MorgJo00,pass_cmp,0,,,,,
player,201412040chi,chi,MorgJo00,pass_att,0,,,,,
player,201412040chi,chi,MorgJo00,pass_yds,0,,,,,
player,201412040chi,chi,MorgJo00,pass_td,0,,,,,
player,201412040chi,chi,MorgJo00,pass_int,0,,,,,
player,201412040chi,chi,MorgJo00,pass_sacked,0,,,,,
player,201412040chi,chi,MorgJo00,pass_sacked_yds,0,,,,,
player,201412040chi,chi,MorgJo00,pass_long,0,,,,,
player,201412040chi,chi,MorgJo00,pass_rating,,,,,,
player,201412040chi,chi,MorgJo00,rush_att,0,,,,,
player,201412040chi,chi,MorgJo00,rush_yds,0,,,,,
player,201412040chi,chi,MorgJo00,rush_td,0,,,,,
player,201412040chi,chi,MorgJo00,rush_long,0,,,,,
player,201412040chi,chi,MorgJo00,targets,4,,,,,
player,201412040chi,chi,MorgJo00,rec,1,,,,,
player,201412040chi,chi,MorgJo00,rec_yds,8,,,,,
player,201412040chi,chi,MorgJo00,rec_td,0,,,,,
player,201412040chi,chi,MorgJo00,rec_long,8,,,,,
player,201412040chi,chi,MorgJo00,fumbles,0,,,,,
player,201412040chi,chi,MorgJo00,fumbles_lost,0,,,,,
player,201412040chi,dal,ScanOr99,def_int,1,,,,,
player,201412040chi,dal,ScanOr99,def_int_yds,0,,,,,
player,201412040chi,dal,ScanOr99,def_int_td,0,,,,,
player,201412040chi,dal,ScanOr99,def_int_long,0,,,,,
player,201412040chi,dal,ScanOr99,pass_defended,1,,,,,
player,201412040chi,dal,ScanOr99,sacks,0.0,,,,,
player,201412040chi,dal,ScanOr99,tackles_combined,9,,,,,
player,201412040chi,dal,ScanOr99,tackles_solo,9,,,,,
player,201412040chi,dal,ScanOr99,tackles_assists,0,,,,,
player,201412040chi,dal,ScanOr99,tackles_loss,1,,,,,
player,201412040chi,dal,ScanOr99,qb_hits,0,,,,,
player,201412040chi,dal,ScanOr99,fumbles_rec,0,,,,,
player,201412040chi,dal,ScanOr99,fumbles_rec_yds,0,,,,,
player,201412040chi,dal,ScanOr99,fumbles_rec_td,0,,,,,
player,201412040chi,dal,ScanOr99,fumbles_forced,0,,,,,
player,201412040chi,dal,McClRo00,def_int,0,,,,,
player,201412040chi,dal,McClRo00,def_int_yds,0,,,,,
player,201412040chi,dal,McClRo00,def_int_td,0,,,,,
player,201412040chi,dal,McClRo00,def_int_long,0,,,,,
player,201412040chi,dal,McClRo00,pass_defended,0,,,,,
player,201412040chi,dal,McClRo00,sacks,0.0,,,,,
player,201412040chi,dal,McClRo00,tackles_combined,10,,,,,
player,201412040chi,dal,McClRo00,tackles_solo,10,,,,,
player,201412040chi,dal,McClRo00,tackles_assists,0,,,,,
player,201412040chi,dal,McClRo00,tackles_loss,1,,,,,
player,201412040chi,dal,McClRo00,qb_hits,0,,,,,
player,201412040chi,dal,McClRo00,fumbles_rec,0,,,,,
player,201412040chi,dal,McClRo00,fumbles_rec_yds,0,,,,,
player,201412040chi,dal,McClRo00,fumbles_rec_td,0,,,,,
player,201412040chi,dal,McClRo00,fumbles_forced,0,,,,,
player,201412040chi,dal,ChurBa99,def_int,0,,,,,
player,201412040chi,dal,ChurBa99,def_int_yds,0,,,,,
player,201412040chi,dal,ChurBa99,def_int_td,0,,,,,
