game,2014,9,20141102,201411020htx,phi,"Philadelphia Eagles",31,htx,"Houston Texans",21
player,201411020htx,phi,CaseJa00,def_int_long,0,,,,,
player,201411020htx,phi,CaseJa00,pass_defended,0,,,,,
player,201411020htx,phi,CaseJa00,sacks,0.0,,,,,
player,201411020htx,phi,CaseJa00,tackles_combined,1,,,,,
player,201411020htx,phi,CaseJa00,tackles_solo,0,,,,,
player,201411020htx,phi,CaseJa00,tackles_assists,1,,,,,
player,201411020htx,phi,CaseJa00,tackles_loss,0,,,,,
player,201411020htx,phi,CaseJa00,qb_hits,0,,,,,
player,201411020htx,phi,CaseJa00,fumbles_rec,0,,,,,
player,201411020htx,phi,CaseJa00,fumbles_rec_yds,0,,,,,
player,201411020htx,phi,CaseJa00,fumbles_rec_td,0,,,,,
player,201411020htx,phi,CaseJa00,fumbles_forced,0,,,,,
player,201411020htx,phi,ThorCe00,def_int,0,,,,,
player,201411020htx,phi,ThorCe00,def_int_yds,0,,,,,
player,201411020htx,phi,ThorCe00,def_int_td,0,,,,,
player,201411020htx,phi,ThorCe00,def_int_long,0,,,,,
player,201411020htx,phi,ThorCe00,pass_defended,0,,,,,
player,201411020htx,phi,ThorCe00,sacks,0.0,,,,,
player,201411020htx,phi,ThorCe00,tackles_combined,1,,,,,
player,201411020htx,phi,ThorCe00,tackles_solo,0,,,,,
