game,2014,4,20140929,201409290kan,nwe,"New England Patriots",14,kan,"Kansas City Chiefs",41
player,201409290kan,nwe,JoneCh03,qb_hits,1,,,,,
player,201409290kan,nwe,JoneCh03,fumbles_rec,0,,,,,
player,201409290kan,nwe,JoneCh03,fumbles_rec_yds,0,,,,,
player,201409290kan,nwe,JoneCh03,fumbles_rec_td,0,,,,,
player,201409290kan,nwe,JoneCh03,fumbles_forced,0,,,,,
player,201409290kan,nwe,JoneCh04,def_int,0,,,,,
player,201409290kan,nwe,JoneCh04,def_int_yds,0,,,,,
player,201409290kan,nwe,JoneCh04,def_int_td,0,,,,,
player,201409290kan,nwe,JoneCh04,def_int_long,0,,,,,
player,201409290kan,nwe,JoneCh04,pass_defended,0,,,,,
player,201409290kan,nwe,JoneCh04,sacks,0.5,,,,,
player,201409290kan,nwe,JoneCh04,tackles_combined,2,,,,,
player,201409290kan,nwe,JoneCh04,tackles_solo,1,,,,,
player,201409290kan,nwe,JoneCh04,tackles_assists,1,,,,,
player,201409290kan,nwe,JoneCh04,tackles_loss,0,,,,,
player,201409290kan,nwe,JoneCh04,qb_hits,1,,,,,
player,201409290kan,nwe,JoneCh04,fumbles_rec,0,,,,,
player,201409290kan,nwe,JoneCh04,fumbles_rec_yds,0,,,,,
player,201409290kan,nwe,JoneCh04,fumbles_rec_td,0,,,,,
player,201409290kan,nwe,JoneCh04,fumbles_forced,0,,,,,
player,201409290kan,nwe,MayoJe99,def_int,0,,,,,
player,201409290kan,nwe,MayoJe99,def_int_yds,0,,,,,
player,201409290kan,nwe,MayoJe99,def_int_td,0,,,,,
player,201409290kan,nwe,MayoJe99,def_int_long,0,,,,,
player,201409290kan,nwe,MayoJe99,pass_defended,0,,,,,
player,201409290kan,nwe,MayoJe99,sacks,0.0,,,,,
player,201409290kan,nwe,MayoJe99,tackles_combined,10,,,,,
player,201409290kan,nwe,MayoJe99,tackles_solo,10,,,,,
player,201409290kan,nwe,MayoJe99,tackles_assists,0,,,,,
player,201409290kan,nwe,MayoJe99,tackles_loss,0,,,,,
player,201409290kan,nwe,MayoJe99,qb_hits,0,,,,,
player,201409290kan,nwe,MayoJe99,fumbles_rec,0,,,,,
player,201409290kan,nwe,MayoJe99,fumbles_rec_yds,0,,,,,
player,201409290kan,nwe,MayoJe99,fumbles_rec_td,0,,,,,
