game,2014,17,20141228,201412280nyg,phi,"Philadelphia Eagles",34,nyg,"New York Giants",26
player,201412280nyg,nyg,ParkPr00,pass_yds,0,,,,,
player,201412280nyg,nyg,ParkPr00,pass_td,0,,,,,
player,201412280nyg,nyg,ParkPr00,pass_int,0,,,,,
player,201412280nyg,nyg,ParkPr00,pass_sacked,0,,,,,
player,201412280nyg,nyg,ParkPr00,pass_sacked_yds,0,,,,,
player,201412280nyg,nyg,ParkPr00,pass_long,0,,,,,
player,201412280nyg,nyg,ParkPr00,pass_rating,,,,,,
player,201412280nyg,nyg,ParkPr00,rush_att,0,,,,,
player,201412280nyg,nyg,ParkPr00,rush_yds,0,,,,,
player,201412280nyg,nyg,ParkPr00,rush_td,0,,,,,
player,201412280nyg,nyg,ParkPr00,rush_long,0,,,,,
player,201412280nyg,nyg,ParkPr00,targets,4,,,,,
player,201412280nyg,nyg,ParkPr00,rec,2,,,,,
player,201412280nyg,nyg,ParkPr00,rec_yds,20,,,,,
player,201412280nyg,nyg,ParkPr00,rec_td,0,,,,,
player,201412280nyg,nyg,ParkPr00,rec_long,13,,,,,
player,201412280nyg,nyg,ParkPr00,fumbles,1,,,,,
player,201412280nyg,nyg,ParkPr00,fumbles_lost,0,,,,,
player,201412280nyg,nyg,RobiAd00,pass_cmp,0,,,,,
player,201412280nyg,nyg,RobiAd00,pass_att,0,,,,,
player,201412280nyg,nyg,RobiAd00,pass_yds,0,,,,,
player,201412280nyg,nyg,RobiAd00,pass_td,0,,,,,
player,201412280nyg,nyg,RobiAd00,pass_int,0,,,,,
player,201412280nyg,nyg,RobiAd00,pass_sacked,0,,,,,
player,201412280nyg,nyg,RobiAd00,pass_sacked_yds,0,,,,,
player,201412280nyg,nyg,RobiAd00,pass_long,0,,,,,
player,201412280nyg,nyg,RobiAd00,pass_rating,,,,,,
player,201412280nyg,nyg,RobiAd00,rush_att,0,,,,,
player,201412280nyg,nyg,RobiAd00,rush_yds,0,,,,,
player,201412280nyg,nyg,RobiAd00,rush_td,0,,,,,
player,201412280nyg,nyg,RobiAd00,rush_long,0,,,,,
player,201412280nyg,nyg,RobiAd00,targets,1,,,,,
player,201412280nyg,nyg,RobiAd00,rec,0,,,,,
player,201412280nyg,nyg,RobiAd00,rec_yds,0,,,,,
player,201412280nyg,nyg,RobiAd00,rec_td,0,,,,,
player,201412280nyg,nyg,RobiAd00,rec_long,0,,,,,
player,201412280nyg,nyg,RobiAd00,fumbles,0,,,,,
player,201412280nyg,nyg,RobiAd00,fumbles_lost,0,,,,,
player,201412280nyg,phi,AlleNa99,def_int,1,,,,,
player,201412280nyg,phi,AlleNa99,def_int_yds,40,,,,,
player,201412280nyg,phi,AlleNa99,def_int_td,0,,,,,
player,201412280nyg,phi,AlleNa99,def_int_long,40,,,,,
player,201412280nyg,phi,AlleNa99,pass_defended,1,,,,,
player,201412280nyg,phi,AlleNa99,sacks,0.0,,,,,
player,201412280nyg,phi,AlleNa99,tackles_combined,5,,,,,
player,201412280nyg,phi,AlleNa99,tackles_solo,4,,,,,
player,201412280nyg,phi,AlleNa99,tackles_assists,1,,,,,
player,201412280nyg,phi,AlleNa99,tackles_loss,0,,,,,
player,201412280nyg,phi,AlleNa99,qb_hits,0,,,,,
player,201412280nyg,phi,AlleNa99,fumbles_rec,0,,,,,
player,201412280nyg,phi,AlleNa99,fumbles_rec_yds,0,,,,,
player,201412280nyg,phi,AlleNa99,fumbles_rec_td,0,,,,,
player,201412280nyg,phi,AlleNa99,fumbles_forced,0,,,,,
player,201412280nyg,phi,JenkMa99,def_int,0,,,,,
player,201412280nyg,phi,JenkMa99,def_int_yds,0,,,,,
player,201412280nyg,phi,JenkMa99,def_int_td,0,,,,,
player,201412280nyg,phi,JenkMa99,def_int_long,0,,,,,
player,201412280nyg,phi,JenkMa99,pass_defended,2,,,,,
player,201412280nyg,phi,JenkMa99,sacks,0.0,,,,,
player,201412280nyg,phi,JenkMa99,tackles_combined,8,,,,,
player,201412280nyg,phi,JenkMa99,tackles_solo,7,,,,,
player,201412280nyg,phi,JenkMa99,tackles_assists,1,,,,,
player,201412280nyg,phi,JenkMa99,tackles_loss,0,,,,,
player,201412280nyg,phi,JenkMa99,qb_hits,0,,,,,
player,201412280nyg,phi,JenkMa99,fumbles_rec,0,,,,,
player,201412280nyg,phi,JenkMa99,fumbles_rec_yds,0,,,,,
player,201412280nyg,phi,JenkMa99,fumbles_rec_td,0,,,,,
player,201412280nyg,phi,JenkMa99,fumbles_forced,0,,,,,
player,201412280nyg,phi,CoxxFl00,def_int,0,,,,,
player,201412280nyg,phi,CoxxFl00,def_int_yds,0,,,,,
player,201412280nyg,phi,CoxxFl00,def_int_td,0,,,,,
player,201412280nyg,phi,CoxxFl00,def_int_long,0,,,,,
player,201412280nyg,phi,CoxxFl00,pass_defended,0,,,,,
player,201412280nyg,phi,CoxxFl00,sacks,0.0,,,,,
player,201412280nyg,phi,CoxxFl00,tackles_combined,7,,,,,
player,201412280nyg,phi,CoxxFl00,tackles_solo,5,,,,,
player,201412280nyg,phi,CoxxFl00,tackles_assists,2,,,,,
player,201412280nyg,phi,CoxxFl00,tackles_loss,0,,,,,
player,201412280nyg,phi,CoxxFl00,qb_hits,0,,,,,
player,201412280nyg,phi,CoxxFl00,fumbles_rec,0,,,,,
player,201412280nyg,phi,CoxxFl00,fumbles_rec_yds,0,,,,,
player,201412280nyg,phi,CoxxFl00,fumbles_rec_td,0,,,,,
player,201412280nyg,phi,CoxxFl00,fumbles_forced,0,,,,,
player,201412280nyg,phi,KendMy00,def_int,0,,,,,
player,201412280nyg,phi,KendMy00,def_int_yds,0,,,,,
