game,2014,3,20140918,201409180atl,tam,"Tampa Bay Buccaneers",14,atl,"Atlanta Falcons",56
player,201409180atl,atl,SmitAn01,rush_long,38,,,,,
player,201409180atl,atl,SmitAn01,targets,0,,,,,
player,201409180atl,atl,SmitAn01,rec,0,,,,,
player,201409180atl,atl,SmitAn01,rec_yds,0,,,,,
player,201409180atl,atl,SmitAn01,rec_td,0,,,,,
player,201409180atl,atl,SmitAn01,rec_long,0,,,,,
player,201409180atl,atl,SmitAn01,fumbles,1,,,,,
player,201409180atl,atl,SmitAn01,fumbles_lost,1,,,,,
player,201409180atl,atl,HestDe99,pass_cmp,0,,,,,
player,201409180atl,atl,HestDe99,pass_att,0,,,,,
player,201409180atl,atl,HestDe99,pass_yds,0,,,,,
player,201409180atl,atl,HestDe99,pass_td,0,,,,,
player,201409180atl,atl,HestDe99,pass_int,0,,,,,
player,201409180atl,atl,HestDe99,pass_sacked,0,,,,,
player,201409180atl,atl,HestDe99,pass_sacked_yds,0,,,,,
player,201409180atl,atl,HestDe99,pass_long,0,,,,,
player,201409180atl,atl,HestDe99,pass_rating,,,,,,
player,201409180atl,atl,HestDe99,rush_att,1,,,,,
player,201409180atl,atl,HestDe99,rush_yds,20,,,,,
player,201409180atl,atl,HestDe99,rush_td,1,,,,,
player,201409180atl,atl,HestDe99,rush_long,20,,,,,
player,201409180atl,atl,HestDe99,targets,1,,,,,
player,201409180atl,atl,HestDe99,rec,1,,,,,
player,201409180atl,atl,HestDe99,rec_yds,25,,,,,
player,201409180atl,atl,HestDe99,rec_td,0,,,,,
player,201409180atl,atl,HestDe99,rec_long,25,,,,,
player,201409180atl,atl,HestDe99,fumbles,1,,,,,
player,201409180atl,atl,HestDe99,fumbles_lost,0,,,,,
player,201409180atl,atl,FreeDe00,pass_cmp,0,,,,,
player,201409180atl,atl,FreeDe00,pass_att,0,,,,,
player,201409180atl,atl,FreeDe00,pass_yds,0,,,,,
player,201409180atl,atl,FreeDe00,pass_td,0,,,,,
player,201409180atl,atl,FreeDe00,pass_int,0,,,,,
player,201409180atl,atl,FreeDe00,pass_sacked,0,,,,,
player,201409180atl,atl,FreeDe00,pass_sacked_yds,0,,,,,
player,201409180atl,atl,FreeDe00,pass_long,0,,,,,
player,201409180atl,atl,FreeDe00,pass_rating,,,,,,
player,201409180atl,atl,FreeDe00,rush_att,11,,,,,
player,201409180atl,atl,FreeDe00,rush_yds,12,,,,,
player,201409180atl,atl,FreeDe00,rush_td,0,,,,,
player,201409180atl,atl,FreeDe00,rush_long,6,,,,,
player,201409180atl,atl,FreeDe00,targets,1,,,,,
player,201409180atl,atl,FreeDe00,rec,1,,,,,
player,201409180atl,atl,FreeDe00,rec_yds,7,,,,,
player,201409180atl,atl,FreeDe00,rec_td,0,,,,,
player,201409180atl,atl,FreeDe00,rec_long,7,,,,,
player,201409180atl,atl,FreeDe00,fumbles,1,,,,,
player,201409180atl,atl,FreeDe00,fumbles_lost,1,,,,,
player,201409180atl,atl,RodgJa00,pass_cmp,0,,,,,
player,201409180atl,atl,RodgJa00,pass_att,0,,,,,
player,201409180atl,atl,RodgJa00,pass_yds,0,,,,,
player,201409180atl,atl,RodgJa00,pass_td,0,,,,,
player,201409180atl,atl,RodgJa00,pass_int,0,,,,,
player,201409180atl,atl,RodgJa00,pass_sacked,0,,,,,
player,201409180atl,atl,RodgJa00,pass_sacked_yds,0,,,,,
player,201409180atl,atl,RodgJa00,pass_long,0,,,,,
player,201409180atl,atl,RodgJa00,pass_rating,,,,,,
player,201409180atl,atl,RodgJa00,rush_att,5,,,,,
player,201409180atl,atl,RodgJa00,rush_yds,6,,,,,
player,201409180atl,atl,RodgJa00,rush_td,0,,,,,
player,201409180atl,atl,RodgJa00,rush_long,4,,,,,
player,201409180atl,atl,RodgJa00,targets,1,,,,,
player,201409180atl,atl,RodgJa00,rec,1,,,,,
player,201409180atl,atl,RodgJa00,rec_yds,3,,,,,
player,201409180atl,atl,RodgJa00,rec_td,0,,,,,
