game,2014,5,20141005,201410050clt,rav,"Baltimore Ravens",13,clt,"Indianapolis Colts",20
player,201410050clt,rav,DumeEl20,tackles_solo,1,,,,,
player,201410050clt,rav,DumeEl20,tackles_assists,1,,,,,
player,201410050clt,rav,DumeEl20,tackles_loss,1,,,,,
player,201410050clt,rav,DumeEl20,qb_hits,2,,,,,
player,201410050clt,rav,DumeEl20,fumbles_rec,0,,,,,
player,201410050clt,rav,DumeEl20,fumbles_rec_yds,0,,,,,
player,201410050clt,rav,DumeEl20,fumbles_rec_td,0,,,,,
player,201410050clt,rav,DumeEl20,fumbles_forced,0,,,,,
player,201410050clt,rav,ElamMa00,def_int,0,,,,,
player,201410050clt,rav,ElamMa00,def_int_yds,0,,,,,
player,201410050clt,rav,ElamMa00,def_int_td,0,,,,,
player,201410050clt,rav,ElamMa00,def_int_long,0,,,,,
player,201410050clt,rav,ElamMa00,pass_defended,0,,,,,
player,201410050clt,rav,ElamMa00,sacks,0.0,,,,,
player,201410050clt,rav,ElamMa00,tackles_combined,2,,,,,
player,201410050clt,rav,ElamMa00,tackles_solo,2,,,,,
player,201410050clt,rav,ElamMa00,tackles_assists,0,,,,,
player,201410050clt,rav,ElamMa00,tackles_loss,0,,,,,
player,201410050clt,rav,ElamMa00,qb_hits,0,,,,,
player,201410050clt,rav,ElamMa00,fumbles_rec,0,,,,,
player,201410050clt,rav,ElamMa00,fumbles_rec_yds,0,,,,,
player,201410050clt,rav,ElamMa00,fumbles_rec_td,0,,,,,
player,201410050clt,rav,ElamMa00,fumbles_forced,1,,,,,
player,201410050clt,rav,SuggTe99,def_int,0,,,,,
player,201410050clt,rav,SuggTe99,def_int_yds,0,,,,,
player,201410050clt,rav,SuggTe99,def_int_td,0,,,,,
player,201410050clt,rav,SuggTe99,def_int_long,0,,,,,
player,201410050clt,rav,SuggTe99,pass_defended,0,,,,,
player,201410050clt,rav,SuggTe99,sacks,0.0,,,,,
player,201410050clt,rav,SuggTe99,tackles_combined,2,,,,,
player,201410050clt,rav,SuggTe99,tackles_solo,1,,,,,
player,201410050clt,rav,SuggTe99,tackles_assists,1,,,,,
player,201410050clt,rav,SuggTe99,tackles_loss,0,,,,,
player,201410050clt,rav,SuggTe99,qb_hits,0,,,,,
player,201410050clt,rav,SuggTe99,fumbles_rec,0,,,,,
player,201410050clt,rav,SuggTe99,fumbles_rec_yds,0,,,,,
player,201410050clt,rav,SuggTe99,fumbles_rec_td,0,,,,,
player,201410050clt,rav,SuggTe99,fumbles_forced,0,,,,,
player,201410050clt,rav,TrawBr00,def_int,0,,,,,
player,201410050clt,rav,TrawBr00,def_int_yds,0,,,,,
player,201410050clt,rav,TrawBr00,def_int_td,0,,,,,
player,201410050clt,rav,TrawBr00,def_int_long,0,,,,,
player,201410050clt,rav,TrawBr00,pass_defended,0,,,,,
player,201410050clt,rav,TrawBr00,sacks,0.0,,,,,
player,201410050clt,rav,TrawBr00,tackles_combined,2,,,,,
player,201410050clt,rav,TrawBr00,tackles_solo,0,,,,,
player,201410050clt,rav,TrawBr00,tackles_assists,2,,,,,
player,201410050clt,rav,TrawBr00,tackles_loss,0,,,,,
player,201410050clt,rav,TrawBr00,qb_hits,0,,,,,
player,201410050clt,rav,TrawBr00,fumbles_rec,0,,,,,
player,201410050clt,rav,TrawBr00,fumbles_rec_yds,0,,,,,
