game,2014,13,20141127,201411270det,chi,"Chicago Bears",17,det,"Detroit Lions",34
player,201411270det,chi,JoneCh05,tackles_combined,6,,,,,
player,201411270det,chi,JoneCh05,tackles_solo,2,,,,,
player,201411270det,chi,JoneCh05,tackles_assists,4,,,,,
player,201411270det,chi,JoneCh05,tackles_loss,0,,,,,
player,201411270det,chi,JoneCh05,qb_hits,1,,,,,
player,201411270det,chi,JoneCh05,fumbles_rec,0,,,,,
player,201411270det,chi,JoneCh05,fumbles_rec_yds,0,,,,,
player,201411270det,chi,JoneCh05,fumbles_rec_td,0,,,,,
player,201411270det,chi,JoneCh05,fumbles_forced,0,,,,,
player,201411270det,chi,HursDe00,def_int,0,,,,,
player,201411270det,chi,HursDe00,def_int_yds,0,,,,,
player,201411270det,chi,HursDe00,def_int_td,0,,,,,
